"fr_cue","fr_fake_cue","fr_target","fr_fake_target","en_cue","en_target"
"confortable","connortesse","agréable","agueable","comfortable","pleasant"
"extérieur","extesible","intérieur","intrelock","outside","inside"
"chic","chus","élégant","életing","fashionable","elegant"
"maintenant","jourtenant","connaître","connictre","now","know"
"abeille","abdolle","fourmi","mainmi","bee","ant"
"accidentellement","accipontelletriques","intentionnellement","inpentionnellenouille","accidentally","intentionally"
"réception","acnuait","fête","irte","reception","party"
"acheter","chomter","vendre","gondre","buy","sell"
"actif","accla","activité","actignureté","active","activity"
"admettre","adgramme","avouer","guouer","admit","confess"
"administration","admonistragraphe","gouvernement","gouterneville","administration","government"
"admirer","adminute","apprécier","apprésent","admire","appreciate"
"adn","lon","empreinte","emnouille","dna","fingerprint"
"adolescence","adilesnois","adolescent","edolestère","teenage","teenager"
"adulte","adjate","parent","pacott","adult","parent"
"spectacle","specrible","performance","perforniste","show","performance"
"afrique","afisque","amérique","viorique","africa","america"
"agent","uvent","détective","détecrant","agent","detective"
"mignon","mimain","beau","obau","nice","lovely"
"aider","aital","assister","aséclater","help","assist"
"aiguille","aiquable","seringue","setrique","needle","syringe"
"ail","oul","oignon","oidien","garlic","onion"
"ailleurs","ailleuve","endroit","entrole","elsewhere","somewhere"
"air","xer","oxygène","folgène","air","oxygen"
"album","alpec","chanson","ckerson","album","song"
"alerte","joerte","alarme","viarme","alert","alarm"
"alimentation","avimentasance","manger","guéger","feed","eat"
"aliments","borments","repas","retue","food","meal"
"amateur","narteur","professionnel","profestantsnel","amateur","professional"
"ambassade","ambasgrès","ministère","minisneur","embassy","ministry"
"ambassadeur","ambassapable","ministre","mibattre","ambassador","minister"
"ambulance","ambuveuse","hélicoptère","hélicodreau","ambulance","helicopter"
"âme","êpe","esprit","esbite","soul","spirit"
"analyste","anachote","enquêteur","enquêrons","analyst","investigator"
"anarchie","égrachie","capitalisme","capitageons","anarchy","capitalism"
"anatomie","troutomie","psychologie","contichologie","anatomy","psychology"
"ancre","aniée","naviguer","navidocq","anchor","sail"
"âne","nèe","cheval","chebin","donkey","horse"
"ange","anza","diable","disele","angel","devil"
"anglais","anplane","français","frankins","english","french"
"anniversaire","anniverrieur","naissance","prinsance","anniversary","birthday"
"anonyme","anodice","inconnu","inquiénu","anonymous","unknown"
"antidote","antitans","vaccin","vacrot","antidote","vaccine"
"caméra","camétien","microphone","micronance","camera","microphone"
"appel","apbas","téléphone","télétance","call","telephone"
"appliquer","appliland","utiliser","cherliser","apply","use"
"apporter","apchester","envoyer","enclier","bring","send"
"apprendre","apriennes","enseigner","enseitale","learn","teach"
"araignée","préagnée","insecte","indiche","spider","insect"
"arène","arroe","combat","comsez","arena","battlefield"
"reculer","recution","retourner","requinner","back","return"
"arrivée","arridrai","départ","débane","arrival","departure"
"arriver","arrition","venir","velop","arrive","come"
"arsenal","arseport","armurerie","arturejours","arsenal","armory"
"art","lat","littérature","littérageant","art","literature"
"artéfact","artélère","médaillon","mérailles","artifact","medallion"
"article","arsable","journal","jourson","article","newspaper"
"artiste","arcieux","peintre","pelotre","artist","painter"
"aspirine","aspileur","morphine","mortrise","aspirin","morphine"
"assez","aspar","suffisant","sufficher","enough","sufficient"
"astronaute","astrofense","pilote","pireté","astronaut","pilot"
"atelier","elllier","garage","gapore","workshop","garage"
"atomique","radmique","nucléaire","nuchiatre","atomic","nuclear"
"attendre","atrience","espérer","espésion","wait","expect"
"attention","attenment","attirer","attidote","attention","attract"
"alerte","joerte","message","bonsage","warning","message"
"attractif","attraccher","charmant","charrect","attractive","charming"
"littéralement","liméralegraphe","pratiquement","pratiprenique","literally","practically"
"audience","auviette","procès","prosée","hearing","trial"
"augmenter","époumenter","réduire","récière","increase","reduce"
"aujourd'hui","aujourdnaie","hier","néer","today","yesterday"
"auteur","ausion","acteur","acsion","author","actor"
