native_language_translated,cs,da,de,el,en,es,fr,hu,it,ja,ko,pl,pt_combo,ro,ru,sr,tr,zh
Bulgarian,1,0,3,0,8,1,0,0,0,0,0,0,0,0,2,2,0,0
Czech,1269,0,4,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0
Hungarian,1,0,12,0,11,0,1,845,0,0,0,0,0,15,0,9,0,0
Missing,136,45,176,43,660,81,61,41,27,204,201,137,103,44,233,30,241,89
"Multiple: Russian, Czech",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Russian, German",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,2,4,40,2,34,0,3,0,0,0,0,1345,1,2,1,0,0,0
Russian,1,0,39,0,20,0,3,0,2,0,0,9,0,1,2423,1,4,0
Slovak,23,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Arabic,0,1,2,0,32,1,13,0,1,0,0,0,0,0,1,0,7,0
Danish,0,913,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
English,0,5,25,13,4875,3,6,1,0,1,17,2,12,224,1,2,2,19
German,0,1,2524,4,23,3,3,0,1,0,0,0,2,1,0,1,3,0
Icelandic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian,0,1,14,0,17,8,4,1,1178,0,0,0,2,5,0,0,0,0
Kurdish,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,46,0
"Multiple: Danish, Bosnian",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Danish, English",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Danish, Faroese",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Danish, German",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Danish, Italian",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Danish, Swedish",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Danish",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwegian,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Persian,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romanian,0,1,4,1,29,2,0,0,5,0,0,0,1,610,0,3,0,0
Spanish,0,2,7,1,133,1612,5,0,2,0,0,0,10,2,0,0,0,0
Tamil,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Turkish,0,1,51,0,17,0,2,0,1,0,0,0,0,0,0,0,2694,0
Albanian,0,0,10,2,2,0,2,0,4,0,0,0,0,0,0,0,0,0
Aramaic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenian,0,0,2,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0
Bosnian,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese,0,0,4,0,101,1,1,3,0,1,0,0,0,0,0,0,0,92
Croatian,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch,0,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Farsi,0,0,8,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0
French,0,0,1,1,32,5,879,0,0,0,0,0,1,0,2,1,0,0
German-Swiss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greek,0,0,17,745,10,1,0,0,0,0,0,0,0,1,0,0,0,0
Latvian,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonian,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mandarin,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,799
Marathi,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Albanian, German",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: Arabic, German",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, German",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: English, Zulu",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Albanian",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Azerbaijanese",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Bosnian",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, English",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Farsi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, French",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multiple: German, Greek",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
