target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
آئین,قانونآئین,طنزآئین,قانون,طنز
آئینہ,عکسآئینہ,خیالآئینہ,عکس,خیال
آخری,پہلاآخری,گھوںسلاآخری,پہلا,گھوںسلا
آخری.1,حتمیآخری,معصومآخری,حتمی,معصوم
آرمی,لشکرآرمی,جام نوش کرناآرمی,لشکر,جام نوش کرنا
آرڈر,کمانڈآرڈر,مقناطیسیآرڈر,کمانڈ,مقناطیسی
آزاد,آآزاد,مینیجرآزاد,آ,مینیجر
آزاد خیال,قدامت پسندآزاد خیال,شوہرآزاد خیال,قدامت پسند,شوہر
آزمائش,سماعتآزمائش,دائرہآزمائش,سماعت,دائرہ
آسان,ناممکنآسان,سنیماآسان,ناممکن,سنیما
آسمانی,آسمانآسمانی,جائیدادآسمانی,آسمان,جائیداد
آلہ,اوزارآلہ,ملاحآلہ,اوزار,ملاح
آلہ.1,چپآلہ,مہذبآلہ,چپ,مہذب
آمدنی,منافعآمدنی,خوش طبعآمدنی,منافع,خوش طبع
آنا,پہنچناآنا,خلابازآنا,پہنچنا,خلاباز
آواز,شورآواز,مسافرآواز,شور,مسافر
آٹا,اناجآٹا,پہنچناآٹا,اناج,پہنچنا
آکسیجن,ھواآکسیجن,افریقیآکسیجن,ھوا,افریقی
آگاہ کرنا,رپورٹآگاہ کرنا,خوف پیدا کرنے والاآگاہ کرنا,رپورٹ,خوف پیدا کرنے والا
ائیرپورٹ,ٹرمینلائیرپورٹ,حیرت انگیزائیرپورٹ,ٹرمینل,حیرت انگیز
اب بھی,پہلے سےاب بھی,پیدائشاب بھی,پہلے سے,پیدائش
ابلنا,گرمابلنا,انسانی ہنرکا نمونہابلنا,گرم,انسانی ہنرکا نمونہ
اتوار,ہفتہاتوار,اضافی انعاماتوار,ہفتہ,اضافی انعام
اثر,اثر و رسوخاثر,ننجااثر,اثر و رسوخ,ننجا
اجرتی قاتل,بھاڑےکا سپاہیاجرتی قاتل,پرچماجرتی قاتل,بھاڑےکا سپاہی,پرچم
احساس,تاثراحساس,کھیلاحساس,تاثر,کھیل
احمق,ناداناحمق,خوراکاحمق,نادان,خوراک
احمقانہ,نامعقولاحمقانہ,ڈیسکاحمقانہ,نامعقول,ڈیسک
اخبار,آرٹیکلاخبار,مریضاخبار,آرٹیکل,مریض
اختیار,انتخاباختیار,ٹیومراختیار,انتخاب,ٹیومر
اختیار.1,دائرہ کاراختیار,محرک ہونااختیار,دائرہ کار,محرک ہونا
اداکار,مصنفاداکار,صاف طورپراداکار,مصنف,صاف طورپر
ادب,آرٹادب,گائےادب,آرٹ,گائے
ارادہ,مقصدارادہ,چمچارادہ,مقصد,چمچ
ارد گرد,راؤنڈارد گرد,اشارہارد گرد,راؤنڈ,اشارہ
استاد,طالب علماستاد,قطرہاستاد,طالب علم,قطرہ
استعمال,درخواست دیںاستعمال,آدمیاستعمال,درخواست دیں,آدمی
اسرار,خفیہاسرار,پھٹاسرار,خفیہ,پھٹ
اسسٹنٹ,سیکرٹریاسسٹنٹ,دلکشیاسسٹنٹ,سیکرٹری,دلکشی
اسلحہ خانہ,بارود خانہاسلحہ خانہ,کرسمساسلحہ خانہ,بارود خانہ,کرسمس
اسٹرابیری,کیلااسٹرابیری,ایمبولینساسٹرابیری,کیلا,ایمبولینس
اسکول,کلاساسکول,جبلتاسکول,کلاس,جبلت
اسکینڈل,گپ شپاسکینڈل,ڈی این اےاسکینڈل,گپ شپ,ڈی این اے
اشارہ,پوائنٹاشارہ,چالاشارہ,پوائنٹ,چال
اشتراکیت پسند,نسل پرستاشتراکیت پسند,ہارموناشتراکیت پسند,نسل پرست,ہارمون
اضافی,زائداضافی,آتمااضافی,زائد,آتما
اظہار,بیاناظہار,معصوماظہار,بیان,معصوم
اعتراف,تسلیماعتراف,نیچااعتراف,تسلیم,نیچا
اعتماد,احتراماعتماد,خصوصیاعتماد,احترام,خصوصی
اعلی ترین درجے کا,عمومی درجے کااعلی ترین درجے کا,کلباعلی ترین درجے کا,عمومی درجے کا,کلب
اقرار نامہ,معاہدہاقرار نامہ,پودااقرار نامہ,معاہدہ,پودا
الارم,الرٹالارم,زخمالارم,الرٹ,زخم
الزام,شکایتالزام,محفوظالزام,شکایت,محفوظ
الفا,براووالفا,صنعتالفا,براوو,صنعت
المناک,اداسالمناک,ماںالمناک,اداس,ماں
الوداع,ہیلوالوداع,ہیلمٹالوداع,ہیلو,ہیلمٹ
الوھی,دیوتاالوھی,موسم گرماالوھی,دیوتا,موسم گرما
الہام,تحریک دیناالہام,شیرخوارالہام,تحریک دینا,شیرخوار
امریکہ,افریقیامریکہ,لنگرامریکہ,افریقی,لنگر
امکان,موقعامکان,سگریٹ نوشیامکان,موقع,سگریٹ نوشی
امیر,غریبامیر,سرجنامیر,غریب,سرجن
انتخابات,مہمانتخابات,فلوانتخابات,مہم,فلو
انتظامی,دیکھ بھالانتظامی,ماڈلانتظامی,دیکھ بھال,ماڈل
انجام,نتیجہانجام,روکناانجام,نتیجہ,روکنا
انجن,ٹنکیانجن,مصیبتانجن,ٹنکی,مصیبت
انجکشن,خوراکانجکشن,کبھی کبھیانجکشن,خوراک,کبھی کبھی
انداز,تالانداز,غربتانداز,تال,غربت
اندر,باہراندر,توہیناندر,باہر,توہین
اندھیرا,سایہاندھیرا,وائناندھیرا,سایہ,وائن
انسان,آدمیانسان,منگنیانسان,آدمی,منگنی
انصاف,انتقامانصاف,کمبلانصاف,انتقام,کمبل
انعام,اضافی انعامانعام,چرچانعام,اضافی انعام,چرچ
انعام.1,نوبلانعام,سیکنڈریانعام,نوبل,سیکنڈری
انفیکشن,وائرسانفیکشن,غلامانفیکشن,وائرس,غلام
انڈہ,گھوںسلاانڈہ,مافیاانڈہ,گھوںسلا,مافیا
انکسارپسند,عاجزانہانکسارپسند,ٹیکسیانکسارپسند,عاجزانہ,ٹیکسی
انگوٹھا,انگلیانگوٹھا,شان وشوکتانگوٹھا,انگلی,شان وشوکت
اونچا,نیچااونچا,انکار کرنااونچا,نیچا,انکار کرنا
اونچائی,وزناونچائی,فکر منداونچائی,وزن,فکر مند
اوپر,نیچےاوپر,پناہ گزیناوپر,نیچے,پناہ گزین
اوپری,نچلااوپری,زنگ آلوداوپری,نچلا,زنگ آلود
اٹلانٹک,پیسفکاٹلانٹک,مشہور شخصیتاٹلانٹک,پیسفک,مشہور شخصیت
اپارٹمنٹ,گھراپارٹمنٹ,اچھااپارٹمنٹ,گھر,اچھا
اپنی طرف متوجہ کرنا,توجہاپنی طرف متوجہ کرنا,لڑائیاپنی طرف متوجہ کرنا,توجہ,لڑائی
اڑنا,زمیناڑنا,البماڑنا,زمین,البم
اکتوبر,ستمبراکتوبر,تریاقاکتوبر,ستمبر,تریاق
اکثر,کبھی کبھیاکثر,ٹھیک ہےاکثر,کبھی کبھی,ٹھیک ہے
اکھثا کرنا,جمع کرنااکھثا کرنا,شہزادیاکھثا کرنا,جمع کرنا,شہزادی
اہم,قابل قدراہم,عذاباہم,قابل قدر,عذاب
اہمیت,مطلباہمیت,آیااہمیت,مطلب,آیا
ایجنسی,فرمایجنسی,بوٹایجنسی,فرم,بوٹ
ایمان,امیدایمان,سواریایمان,امید,سواری
ایماندار,مہذبایماندار,مخروطیایماندار,مہذب,مخروطی
ایمانداری,وفاداریایمانداری,ہنسایمانداری,وفاداری,ہنس
ایمرجنسی,فوری طور پرایمرجنسی,آسمانایمرجنسی,فوری طور پر,آسمان
ایندھن,گیسایندھن,آنکھایندھن,گیس,آنکھ
ایٹمی,جوہریایٹمی,وفادارایٹمی,جوہری,وفادار
ایچ آئی وی,ایڈزایچ آئی وی,صبرایچ آئی وی,ایڈز,صبر
ایڈریس,نمبرایڈریس,سچایڈریس,نمبر,سچ
ایڈرینالن,ہارمونایڈرینالن,تصویربناناایڈرینالن,ہارمون,تصویربنانا
ایک ارب,دس لاکھایک ارب,قدرتی طور پرایک ارب,دس لاکھ,قدرتی طور پر
ایک قسم کی جھاڑی,ایک قسم کا درختایک قسم کی جھاڑی,شراب نوشیایک قسم کی جھاڑی,ایک قسم کا درخت,شراب نوشی
باتھ روم,شاورباتھ روم,یادگارباتھ روم,شاور,یادگار
بادبان,لنگربادبان,کریمبادبان,لنگر,کریم
بادشاھی,شاھانہبادشاھی,سمت شناسیبادشاھی,شاھانہ,سمت شناسی
بادشاہ,ملکہبادشاہ,تمباکوبادشاہ,ملکہ,تمباکو
بار,کلببار,دماغیبار,کلب,دماغی
بازو,ہاتھبازو,کیمرابازو,ہاتھ,کیمرا
باس,مینیجرباس,بحرانیباس,مینیجر,بحرانی
بالاآخر,آخر میںبالاآخر,تسلیم کرنابالاآخر,آخر میں,تسلیم کرنا
باپ,چچاباپ,جعلیباپ,چچا,جعلی
باپ.1,ماںباپ,واقع ہوناباپ,ماں,واقع ہونا
باڑ,دیوارباڑ,پگھلا ہواباڑ,دیوار,پگھلا ہوا
باکمال آدمی,مشہور شخصیتباکمال آدمی,مندرباکمال آدمی,مشہور شخصیت,مندر
بایاں,دایاںبایاں,ہفتہبایاں,دایاں,ہفتہ
بت,یادگاربت,کھولنابت,یادگار,کھولنا
بتانا,کہہ دوبتانا,پشت درپشت حکومتبتانا,کہہ دو,پشت درپشت حکومت
بجلی,کرنٹبجلی,خٹہبجلی,کرنٹ,خٹہ
بحالی,سروسبحالی,کونہبحالی,سروس,کونہ
بحث,گفتگوبحث,خستہ حالبحث,گفتگو,خستہ حال
بحران,حالاتبحران,تصویربحران,حالات,تصویر
بحریہ,سمندریبحریہ,کنوارہبحریہ,سمندری,کنوارہ
بخار,کھانسیبخار,طاقتبخار,کھانسی,طاقت
بدحالی,غربتبدحالی,رات کا کھانابدحالی,غربت,رات کا کھانا
