"nl_target","nl_cue","nl_fake_cue","nl_fake_target","en_cue","en_target"
"aanklager","advocaat","advostok","aandeelger","lawyer","prosecutor"
"aanname","conclusie","conaversie","vietname","conclusion","assumption"
"aannemelijk","uitleg","uitbun","aannemethaan","explanation","plausible"
"aantrekken","aandacht","aanvaart","aanslagken","attention","attract"
"aanvaarden","weigeren","vormgeren","aanleefden","refuse","accept"
"aanval","invasie","invarend","aanber","invasion","attack"
"aanvaller","slachtoffer","schaamoffer","aanvalstof","victim","attacker"
"aanvullend","extra","exvis","aanvulgair","extra","additional"
"aanwijzen","punt","puza","aansluizen","point","indicate"
"aardbei","banaan","bahhen","aardmak","banana","strawberry"
"aas","val","ull","lds","trap","bait"
"abdominaal","spinale","vietnale","abdomifeest","spinal","abdominal"
"absurd","belachelijk","belachequers","ablumn","ridiculous","absurd"
"accent","stem","stuw","aczelf","voice","accent"
"achterkant","voorkant","voorvens","achterblij","front","rear"
"achternaam","bijnaam","bijneer","achterther","nickname","surname"
"achtervolging","volgen","mangen","achtervolmaakt","follow","chase"
"acteur","schrijver","spraakver","acnaar","author","actor"
"activeren","in gang zetten","in gang zwoest","activenaard","trigger","activate"
"activiteit","actief","aclijn","activivians","active","activity"
"administratief","beheer","bepeld","adminichollstief","management","administrative"
"adrenaline","hormoon","hormuur","klompnaline","hormone","adrenaline"
"adres","nummer","bigmer","wires","number","address"
"adviseren","advies","adrest","adviselaars","advice","advise"
"aflevering","serie","selec","aflevenaard","series","episode"
"afschuwelijk","vies","vikn","afbreekwelijk","dirty","disgusting"
"afstuderen","diploma","digendma","afdroogderen","diploma","graduate"
"afval","afval","afber","afber","trash","garbage"
"afwezigheid","aanwezigheid","aanwezigtisch","afwezigtisch","presence","absence"
"akkoord","contract","constraf","akbeurd","contract","agreement"
"alarm","alert","ueert","qwarm","alert","alarm"
"alibi","motief","moveer","dakbi","motive","alibi"
"alleen","alleen","alfles","alover","alone","lonely"
"alpha","bravo","heivo","nymha","bravo","alpha"
"amerika","afrika","vleika","looprika","africa","america"
"amerikaans voetbal","basketbal","schaketbal","ameriwether voetbal","basketball","football"
"analyse","autopsie","augressie","vuurlyse","autopsy","analysis"
"angst","verschrikking","verspreidking","ancat","horror","fear"
"antwoorden","antwoord","kliwoord","antbeelden","answer","reply"
"apparaat","chip","zoip","appastof","chip","device"
"appartement","huis","alis","apparteraars","house","apartment"
"architect","ingenieur","ingenifoons","archirall","engineer","architect"
"arm","hand","hait","uim","hand","arm"
"arresteren","straffen","strafnie","arschitteren","punish","arrest"
"arrogantie","onwetendheid","onwekwaamheid","arroscriptie","ignorance","arrogance"
"artillerie","cavalerie","cavalefoons","archerslerie","cavalry","artillery"
"arts","chirurg","chiwerp","argu","surgeon","doctor"
"assistent","secretaris","secretamaakt","assiskwam","secretary","assistant"
"atlantische oceaan","grote oceaan","grote ocboerd","atlanceert oceaan","pacific","atlantic"
"atmosfeer","omgeving","omgeweer","atmoskoff","environment","atmosphere"
"auteur","dichter","schuter","aunaar","poet","writer"
"auto","voertuig","erectuig","bijto","vehicle","car"
"avond","nacht","narnt","odond","night","evening"
"baan","planeet","plakern","lyan","planet","orbit"
"baard","haar","habe","snard","hair","beard"
"baas","manager","manalist","bado","manager","boss"
"badkamer","douche","pische","badkaring","shower","bathroom"
"band","orkest","orceel","baha","orchestra","band"
"bar","club","cljs","hér","club","bar"
"basketbal","stadion","bloedion","schaketbal","stadium","baseball"
"bataljon","regiment","regicorp","batalgrid","regiment","battalion"
"batman","superman","superfect","kilman","superman","batman"
"beangstigen","laten schrikken","latenstaartkken","beleefdstigen","scare","frighten"
"bed","bank","bace","cud","sofa","bed"
"bediende","slaaf","sloff","bewoorde","slave","servant"
"bedrijf","industrie","induhardt","belijst","industry","business"
"begeleiden","begeleiden","begemaaktden","begemaaktden","escort","accompany"
"begraafplaats","graf","grrk","bevruchplaats","grave","cemetery"
"begrafenis","kist","otst","beschikfenis","coffin","funeral"
"begraven","graven","disven","bereidven","dig","bury"
"begrijpen","realiseren","flightmarealiseren","bestappen","realize","understand"
"begroeten","feliciteren","feliciteplaats","besnapten","congratulate","greet"
"behandeling","therapie","theranaar","behandejaars","therapy","treatment"
"behoefte","vereist","verbein","besparte","necessary","need"
"bekend","populair","popuchet","bestem","popular","famous"
"belang","betekenis","beteketeerd","bewond","meaning","importance"
"belangrijk","waardevol","zelfdevol","belangmans","valuable","important"
"beledigen","belediging","beledineerd","beleditisch","insult","offend"
"belegger","bankier","bannijd","begrijger","banker","investor"
"belofte","garantie","gaspectie","bequette","guarantee","promise"
"beloning","bonus","boeen","belobell","bonus","reward"
"bepaling","moed","moxi","bepareer","courage","determination"
"bereiden","klaar","kloor","beboarden","ready","prepare"
"berekenen","graaf","shaaf","berekelaars","count","calculate"
"berg","heuvel","sidvel","beso","hill","mountain"
"bericht","waarschuwing","waarschukoop","beleert","warning","message"
"beroven","stelen","chalen","beroprac","steal","rob"
"beroving","diefstal","bindstal","berogaan","theft","robbery"
"beschaving","cultuur","nettuur","bezoekving","culture","civilization"
"bescheiden","nederig","nedeloos","bedachtden","humble","modest"
"beschrijving","profiel","probaal","beschrijgaan","profile","description"
"beschuldiging","klacht","ntacht","betaalddiging","complaint","accusation"
"bestemming","het lot","hetdrow","bekendming","fate","destiny"
"bestuurder","passagier","passalans","bespreider","passenger","driver"
"bevestigen","bevestiging","bevestischer","beschiktigen","confirmation","confirm"
"bevriezen","smelten","aderten","belijdzen","melt","freeze"
"bewijs","bewijs","bezing","benier","evidence","proof"
"bier","drankje","droogje","bido","drink","beer"
"bijdrage","liefdadigheid","transdadigheid","bijstilge","charity","donation"
"bijeenkomen","verzamelen","hoofdzamelen","bijlichtkomen","collect","gather"
"bijstand","steun","stbon","derstand","support","assistance"
"binnen","buiten","winten","volnen","outside","inside"
"biologie","chemie","cheham","bioloschap","chemistry","biology"
"biologisch","chemisch","anamisch","biolowoord","chemical","biological"
"blauw","bruin","brsan","blitw","brown","blue"
"blessure","wond","dund","ricksure","wound","injury"
"blijven","blijven","pijlven","shinven","stay","remain"
"bloem","plant","plnkt","blijm","plant","flower"
"boek","bijbel","bijrij","bohe","bible","book"
"boom","struik","stklik","botu","bush","tree"
"boos","jaloers","jafeert","botu","jealous","angry"
"boot","onderzeeër","onderschapër","bota","submarine","boat"
"bord","schaal","schavi","oard","bowl","plate"
"borst","maag","mafy","boont","stomach","chest"
"boston","washington","wasbraxton","vakton","washington","boston"
"boter","honing","hopigs","bolis","honey","butter"
"bouwen","bouw","bole","hitwen","construction","build"
"bovenste","lager","ladin","bogoorste","lower","upper"
"brandstof","gas-","fos","brandbaan","gas","fuel"
"breed","smal","smns","brigd","narrow","wide"
"brief","telegram","teleheer","bruff","telegram","letter"
"bro","gozer","gorit","swo","dude","bro"
"broer","zus","ubs","brear","sister","brother"
"bruid","bruidegom","nietdegom","brird","groom","bride"
"bruiloft","verloving","verlofoon","bruitret","engagement","wedding"
"buitenaards wezen","ufo","göo","buitenschool wezen","ufo","alien"
"bureau","firma","pemma","bukerd","firm","agency"
"burgemeester","sheriff","gelriff","burgespronter","sheriff","mayor"
"bus","trein","goein","jds","train","bus"
"camping","picknick","picknair","risping","picnic","camping"
"centimeter","mijl","miib","straftimeter","mile","centimeter"
"cerebral","brein","bréén","cerenors","brain","cerebral"
"ceremonie","ritueel","rituzaak","ceremoderns","ritual","ceremony"
"champagne","wijn","witu","frispagne","wine","champagne"
"chantage","omkoping","omkochen","quistage","bribe","blackmail"
"charmant","aantrekkelijk","aanvaardkelijk","charmoes","attractive","charming"
"chef","kok","stk","chri","cook","chef"
"chirurgie","bedienen","beslagnen","chirurloos","operate","surgery"
"chocolade","suiker","padker","strafcolade","sugar","chocolate"
"christen","katholiek","kathonoom","schikten","catholic","christian"
"circus","dierentuin","dierenvels","cirmie","zoo","circus"
"cliënt","geduldig","gespandig","climis","patient","client"
"cognac","rum","xam","rilnac","rum","cognac"
"commissaris","inspecteur","inspecslag","commissamaakt","inspector","commissioner"
"commissie","commissie","commiskers","commiskers","commission","committee"
"communicatie","navigatie","navigahertz","straatmunicatie","navigation","communication"
"communistisch","racistisch","racisteerd","communisstraf","racist","communist"
"compleet","totaal","toclub","comtrent","total","complete"
"computer","software","klimware","compublie","software","computer"
"concentreren","focus","foham","constructreren","focus","concentrate"
"concert","tour","toal","consein","tour","concert"
"correct","fout","foap","cordikt","wrong","correct"
"cowboy","rodeo","robon","hacboy","rodeo","cowboy"
"creativiteit","verbeelding","verklapding","creativischool","imagination","creativity"
"crimineel","dief","thef","crimizaak","thief","criminal"
"crisis","situatie","situaschap","kwasis","situation","crisis"
"cynisch","naief","kefef","cycling","naive","cynical"
"daar","hier","sner","danb","here","there"
"dame","heer","faer","risme","lord","lady"
"dank","dankbaar","laagbaar","daht","grateful","thank"
"dankbaarheid","gastvrijheid","zorgvrijheid","beetbaarheid","hospitality","gratitude"
"dans","danser","bilser","dabe","dancer","dance"
"dat","wat","rpt","irt","what","that"
"december","november","nopinkber","dezachber","november","december"
"decennium","eeuw","eeem","deraarsnium","century","decade"
"deel","fragment","fighment","dewe","fragment","piece"
"deeltje","materie","matepers","sleutje","matter","particle"
"definitie","concept","conchio","definiveaus","concept","definition"
"dek","cabine","catherne","örk","cabin","deck"
"democratie","vrijheid","kendheid","demonischtie","freedom","democracy"
"demonstratie","protest","prokens","demoncrieftie","protest","demonstration"
"denken","beschouwen","bestemdwen","godken","consider","think"
"depressie","spanning","stofning","delendsie","stress","depression"
"detective","tussenpersoon","tussenpervlies","detectivelingstaart","agent","detective"
"deur-","raam","raud","desa","window","door"
"dichtbij","open","opho","dichtset","open","close"
"dier","beest","prest","äper","beast","animal"
"dik","dun","kyn","örk","thin","thick"
"ding","ping","pias","diak","ping","ding"
"dinsdag","maandag","dansdag","drumdag","monday","tuesday"
"direct","direct","diwist","dinets","direct","directly"
"discussie","gesprek","geadres","handcussie","conversation","discussion"
"divisie","eenheid","traheid","divikers","unit","division"
"docent","student","stulaat","donell","student","teacher"
"document","het dossier","het dothren","doculaas","file","document"
"doden","vergif","verbui","dorie","poison","kill"
"doei","hallo","forlo","doma","hello","bye"
"doen","maken","machi","sien","make","do"
"dollar","pond","poit","dolred","pound","dollar"
"dom","naief","kefef","xim","naïve","stupid"
"domheid","krankzinnigheid","spuitzinnigheid","mayheid","madness","stupidity"
"donder","bliksem","blikuur","subder","lightning","thunder"
"donker","schaduw","schasop","subker","shadow","dark"
"dood","in leven","in lvacs","doig","alive","dead"
"dood gaan","lijden","keiden","doodbraal","suffer","die"
"doof","blind","blrod","doël","blind","deaf"
"doorgaan","doorgaan","doordach","doordach","proceed","continue"
