"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
493,"first_blank","first_blank-cog","cog",2,2,"first_blank-tru","tru",2,0,0,1,"cognac","trunac"
108,"first_blank","first_blank-hi","hi",1,29,"first_blank-خم","خم",29,0,0,1,"hiv","خمv"
687,"آئ","آئ-ین","ین",1,10,"نت-ین","نت",10,0,0,1,"آئین","نتین"
642,"آئ","آئ-ین","ین",1,10,"نت-ین","نت",10,0,0,1,"آئینے","نتینے"
82,"آٹ","آٹ-ا","ا",1,1,"ھک-ا","ھک",1,0,0,1,"آٹا","ھکا"
9,"first_blank","first_blank-آخ","آخ",1,34,"first_blank-نز","نز",34,0,0,1,"آخر میں","نزر میں"
217,"first_blank","first_blank-آخ","آخ",1,34,"first_blank-رت","رت",34,0,0,1,"آخری","رتری"
455,"first_blank","first_blank-آر","آر",1,224,"first_blank-کم","کم",224,0,0,1,"آرمی","کممی"
689,"اد","اد- خ"," خ",1,1,"اد-زئ","زئ",1,0,0,1,"آزاد خیال","آزادزئیال"
544,"first_blank","first_blank-آز","آز",1,40,"first_blank-عد","عد",40,0,0,1,"آزمائش","عدمائش"
937,"آس","آس-ان","ان",1,4,"سد-ان","سد",4,0,0,1,"آسان","سدان"
20,"آس","آس-ما","ما",1,6,"اع-ما","اع",6,0,0,1,"آسمانی","اعمانی"
279,"first_blank","first_blank-آف","آف",1,37,"first_blank-رق","رق",37,0,0,1,"آفس","رقس"
106,"جن","جن-last_blank","last_blank",1,48,"مر-last_blank","مر",48,0,0,1,"آکسیجن","آکسیمر"
476,"آگ","آگ-اہ","اہ",1,2,"مز-اہ","مز",2,0,0,1,"آگاہ کرنا","مزاہ کرنا"
351,"آل","آل-ہ","ہ",1,1,"وئ-ہ","وئ",1,0,0,1,"آلہ","وئہ"
903,"دن","دن-ی","ی",1,14,"رگ-ی","رگ",14,0,0,1,"آمدنی","آمرگی"
219,"آو","آو-last_blank","last_blank",1,2,"یة-last_blank","یة",2,0,0,1,"آو","یة"
599,"آو","آو-از","از",1,8,"ال-از","ال",8,0,0,1,"آواز","الاز"
218," ب"," ب-ھی","ھی",1,1,"آڑ-ھی","آڑ",1,0,0,1,"اب بھی","ابآڑھی"
434,"تد","تد-ائ","ائ",1,16,"کر-ائ","کر",16,0,0,1,"ابتدائی","ابکرائی"
954,"اپ","اپ-last_blank","last_blank",1,21,"ئس-last_blank","ئس",21,0,0,1,"اپ","ئس"
806,"اپ","اپ-ار","ار",1,5,"اپ-لی","لی",5,0,0,1,"اپارٹمنٹ","اپلیٹمنٹ"
277,"اپ","اپ-نی","نی",1,10,"ثا-نی","ثا",10,0,0,1,"اپنی طرف متوجہ","ثانی طرف متوجہ"
964,"ات","ات-وا","وا",1,3,"مو-وا","مو",3,0,0,1,"اتوار","مووار"
33,"first_blank","first_blank-اث","اث",1,37,"first_blank-وص","وص",37,0,0,1,"اثر","وصر"
231,"first_blank","first_blank-اٹ","اٹ",1,91,"first_blank-حر","حر",91,0,0,1,"اٹلانٹک","حرلانٹک"
479,"first_blank","first_blank-اح","اح",1,118,"first_blank-ex","ex",118,0,0,1,"احاطہ","exاطہ"
237,"سا","سا-س","س",1,11,"یٹ-س","یٹ",11,0,0,1,"احساس","احیٹس"
16,"اخ","اخ-با","با",1,9,"اخ-تر","تر",9,0,0,1,"اخبار","اخترر"
85,"اخ","اخ-تی","تی",1,16,"ما-تی","ما",16,0,0,1,"اختیار","ماتیار"
871,"اد","اد-اک","اک",1,16,"اد-ری","ری",15,1,0,1,"اداکار","ادریار"
14,"اد","اد-ب","ب",1,5,"ذی-ب","ذی",5,0,0,1,"ادب","ذیب"
891,"اد","اد-ے","ے",1,15,"رس-ے","رس",15,0,0,1,"ارادے","اررسے"
418,"first_blank","first_blank-ار","ار",1,359,"first_blank-re","re",359,0,0,1,"ارب","reب"
464,"ار","ار-د ","د ",1,1,"ار-عم","عم",1,0,0,1,"ارد گرد","ارعمگرد"
624,"اس","اس-تا","تا",1,25,"اس-ٹو","ٹو",25,0,0,1,"استاد","اسٹود"
415,"تع","تع-ما","ما",1,12,"آز-ما","آز",13,1,0,1,"استعمال","اسآزمال"
992,"اس","اس-تغ","تغ",1,6,"اس-نی","نی",6,0,0,1,"استغاثہ","اسنیاثہ"
777,"اب","اب-یر","یر",1,2,"شع-یر","شع",2,0,0,1,"اسٹرابیری","اسٹرشعیری"
398,"اس","اس-را","را",1,25,"وا-را","وا",25,0,0,1,"اسرار","وارار"
562,"اس","اس-سٹ","سٹ",1,2,"اس-بت","بت",2,0,0,1,"اسسٹنٹ","اسبتنٹ"
735,"کو","کو-ل","ل",1,16,"ڈی-ل","ڈی",17,1,0,1,"اسکول","اسڈیل"
788,"کی","کی-نڈ","نڈ",1,13,"کی-را","را",13,0,0,1,"اسکینڈل","اسکیرال"
220,"اش","اش-ار","ار",1,14,"اش-یا","یا",14,0,0,1,"اشارہ","اشیاہ"
63,"first_blank","first_blank-اض","اض",1,25,"first_blank-لف","لف",25,0,0,1,"اضافی","لفافی"
254,"اف","اف-last_blank","last_blank",1,70,"وٹ-last_blank","وٹ",70,0,0,1,"اعتراف","اعتروٹ"
41,"اع","اع-تم","تم",1,6,"اع-ما","ما",6,0,0,1,"اعتماد","اعمااد"
676,"first_blank","first_blank-اع","اع",1,115,"first_blank-کہ","کہ",115,0,0,1,"اعصابی","کہصابی"
67,"first_blank","first_blank-اغ","اغ",1,30,"first_blank-سع","سع",30,0,0,1,"اغوا","سعوا"
409,"تد","تد-ار","ار",1,11,"مک-ار","مک",11,0,0,1,"اقتدار","اقمکار"
529,"اک","اک-تو","تو",1,4,"مف-تو","مف",4,0,0,1,"اکتوبر","مفتوبر"
713,"ثر","ثر-last_blank","last_blank",1,21,"اۃ-last_blank","اۃ",21,0,0,1,"اکثر","اکاۃ"
84,"ال","ال-ار","ار",1,16,"ال-حم","حم",16,0,0,1,"الارم","الحمم"
892,"بی","بی-بی","بی",1,4,"چھ-بی","چھ",4,0,0,1,"البیبی","الچھبی"
662,"ال","ال-ٹی","ٹی",1,5,"ال-أم","أم",5,0,0,1,"الٹی","الأم"
69,"جھ","جھ-اؤ","اؤ",1,2,"جھ-ڑک","ڑک",2,0,0,1,"الجھاؤ","الجھڑک"
592,"زا","زا-م","م",1,3,"شی-م","شی",3,0,0,1,"الزام","الشیم"
138,"فا","فا-last_blank","last_blank",1,27,"سم-last_blank","سم",27,0,0,1,"الفا","السم"
699,"ما","ما-ری","ری",1,52,"او-ری","او",51,1,0,1,"الماری","الاوری"
44,"من","من-اک","اک",1,4,"من-شا","شا",4,0,0,1,"المناک","المنشا"
390,"ال","ال-ہی","ہی",1,9,"تا-ہی","تا",9,0,0,1,"الہی","تاہی"
975,"ود","ود-اع","اع",1,5,"ود-نی","نی",5,0,0,1,"الوداع","الودنی"
70,"ری","ری-کہ","کہ",1,3,"ری-ڈک","ڈک",3,0,0,1,"امریکہ","امریڈک"
77,"ام","ام-کا","کا",1,7,"ام-اس","اس",7,0,0,1,"امکان","اماسن"
649,"first_blank","first_blank-ام","ام",1,375,"first_blank-نی","نی",375,0,0,1,"امیر","نییر"
914,"تخ","تخ-اب","اب",1,6,"مہ-اب","مہ",6,0,0,1,"انتخابات","انمہابات"
931,"ام","ام-یہ","یہ",1,12,"ور-یہ","ور",12,0,0,1,"انتظامیہ","انتظوریہ"
53,"ٹی","ٹی-لج","لج",1,1,"ٹی-نب","نب",1,0,0,1,"انٹیلجنٹ","انٹینبنٹ"
403,"ان","ان-جک","جک",1,1,"ان-بت","بت",1,0,0,1,"انجکشن","انبتشن"
286,"جن","جن-last_blank","last_blank",1,48,"مر-last_blank","مر",48,0,0,1,"انجن","انمر"
240,"دا","دا-ز","ز",1,6,"می-ز","می",6,0,0,1,"انداز","انمیز"
124,"در","در-last_blank","last_blank",1,93,"al-last_blank","al",93,0,0,1,"اندر","انal"
603,"دھ","دھ-یر","یر",1,11,"دھ-ون","ون",11,0,0,1,"اندھیرے","اندھونے"
807,"ڈہ","ڈہ-last_blank","last_blank",1,15,"he-last_blank","he",15,0,0,1,"انڈہ","انhe"
10,"ان","ان-سا","سا",1,28,"ان-گو","گو",28,0,0,1,"انسانی","انگونی"
90,"ان","ان-صا","صا",1,16,"ان-یت","یت",16,0,0,1,"انصاف","انیتف"
