"zh_cue","zh_fake_cue","zh_target","zh_fake_target","en_cue","en_target"
"实际","不子","真的","工警","actually","really"
"钦佩","细携","欣赏","角刷","admire","appreciate"
"特工","索参","侦探","续候","agent","detective"
"艾滋","撤教","hiv","房刀过动曲型","aids","hiv"
"空气","主水","氧气","体契","air","oxygen"
"酒精","轻子","毒品","勒石","alcohol","drug"
"允许","朴鉴","准许","被滴","allow","let"
"孤独","旧子","寂寞","如机","alone","lonely"
"已经","宏止","仍然","殉系","already","still"
"总是","叱详","一直","史红","always","constantly"
"大使","选苦","部长","孽区","ambassador","minister"
"救护车","存养烎","直升机","骨攀狡","ambulance","helicopter"
"天使","同确","魔鬼","务旧","angel","devil"
"匿名","注游","无名","题染","anonymous","unknown"
"解药","方仆","疫苗","兽简","antidote","vaccine"
"申请","投景","采用","贵救","apply","use"
"到达","网行","过来","长磁","arrive","come"
"仿品","奇休","奖章","然分","artifact","medallion"
"诱人","用科","迷人","键进","attractive","charming"
"作家","瘦贵","演员","打历","author","actor"
"签名","药魅","拍照","心着","autograph","photographer"
"解剖","潮道","分析","超获","autopsy","analysis"
"香蕉","赌饱","草莓","官同","banana","strawberry"
"银行家","征毁","投资人","越凌","banker","investor"
"银行业","文蔗","金融业","箱正","banking","financial"
"海湾","缴枝","港口","刻方","bay","harbor"
"野兽","酸脸","动物","手桥","beast","animal"
"蜜蜂","战族","蚂蚁","孙赶","bee","ant"
"诞生","毒点","怀孕","狗着","birth","pregnancy"
"男孩们","认愿","女孩们","日型","boys","girls"
"好极了","高国","一级棒","认语","bravo","alpha"
"公文包","修藤垚","手提箱","苦微蛇","briefcase","suitcase"
"棕色","着凸","蓝色","诡积","brown","blue"
"船舱","部领","甲板","眼班","cabin","deck"
"口径","不蝌","子弹","步纤","caliber","bullet"
"通话","莽让","电话","置魂","call","telephone"
"狂欢","饭掩","节日","穿戏","carnival","festival"
"天主教","商毙","基督教","菜打","catholic","christian"
"名人","称击","巨星","蜜多","celebrity","star"
"水泥","演谋","塑料","断量","cement","plastic"
"冠军","关态","斗士","黑着","champion","fighter"
"校长","了病","总统","刚子","chancellor","president"
"变化","养殡","提升","古卧","change","improvement"
"频道","色动","新闻","花敲","channel","news"
"芯片","处玫","设备","看解","chip","device"
"圣诞","锈战","假期","空立","christmas","holiday"
"打扫","求倒","清洗","实场","clean","wash"
"清楚","细插","明显","杀殒","clearly","obviously"
"抹布","猎笑","手帕","出见","cloth","handkerchief"
"云朵","像商","烟雾","底射","cloud","fog"
"教练","表察","选手","肠策","coach","player"
"煤炭","发警","石油","怨密","coal","oil"
"棺材","变怒","葬礼","进登","coffin","funeral"
"战斗","念手","打架","禁尘","combat","fight"
"舒适","花学","愉快","亲不","comfortable","pleasant"
"指挥","向间","命令","字叶","command","order"
"贸易","抢凝","商业","上况","commercial","merchant"
"竞赛","巨举","冠军","鼻叔","competition","championship"
"抱怨","心羊","指控","酒闭","complaint","accusation"
"忧虑","巧递","担心","出捣","concern","worry"
"推论","声搵","假设","涉将","conclusion","assumption"
"祝贺","感下","欢迎","除芳","congratulate","greet"
"斟酌","勘卜","思考","先聪","consider","think"
"构造","做堡","修建","咐掉","construction","build"
"包含","利一","内容","贼酸","contain","content"
"控制","社虫","操纵","行拘","control","manipulate"
"角落","实守","胡同","妒速","corner","alley"
"数数","恨值","计算","征抗","count","calculate"
"掩盖","恶闲","隐藏","手谷","cover","hide"
"裂缝","碍木","洞穴","食视","crack","hole"
"奶油","意员","酱汁","少常","cream","sauce"
"创造","厕畅","生产","风堕","create","produce"
"创作","白挨","毁灭","人译","creation","destruction"
"关键的","听局","政治的","体观","critical","political"
"皇冠","刑指","王座","肺假","crown","throne"
"水流","持标","电流","囊讯","current","electricity"
"爸爸","狂货","妈妈","漏状","daddy","mum"
"黑暗","至行","光明","袒茗","darkness","light"
"死亡","习讳","消失","有当","death","disappearance"
"体面","径调","诚实","蓝典","decent","honest"
"描述","压底","表达","答饭","describe","express"
"沙漠","乘瞒","山谷","劝盈","desert","valley"
"欲望","消降","心愿","雅出","desire","wish"
"恶心","德念","丑陋","救胶","disgusting","ugly"
"距离","怕慵","速度","酒击","distance","speed"
"怀疑","机印","猜想","预轻","doubt","suspect"
"下","岁评","上","族底","down","up"
"巨龙","逃奖","狮子","考冷","dragon","lion"
"戏剧","译打","浪漫","记细","dramatic","romantic"
"滴","受败","啜","栅赞","drop","sip"
"地震","出后","爆炸","皮住","earthquake","explosion"
"别处","兀热","某地","崩神","elsewhere","somewhere"
"使馆","切机","部委","伸形","embassy","ministry"
"结尾","签大","完毕","间讲","end","finish"
"足够","敬髓","充分","见情","enough","sufficient"
"进入","外过","走出","曲落","enter","go"
"信封","工配","包裹","进拌","envelope","package"
"无穷","凿无","永远","快舌","eternal","forever"
"邪恶","存寻","残忍","抽要","evil","cruelty"
"检验","妻得","调查","护读","examine","investigate"
"优秀","登价","伟大","有咱","excellent","great"
"极其","饭料","非常","光婴","extremely","very"
"工厂","砖丰","生产","令躲","factory","production"
"虚假","把捶","错误","此芭","fake","false"
"农民","太饭","工人","绑艳","farmer","worker"
"联邦","弄公","政府","期酒","federal","state"
"忠诚","腿吹","奉献","便莹","fidelity","devotion"
"金融","起夫","投资","情精","finance","invest"
"公司","船意","机构","气寡","firm","agency"
"第一","同毙","最后","狱养","first","last"
"旗帜","母笔","符号","井秀","flag","symbol"
"流感","回得","疾病","间惨","flu","disease"
"跟随","理坛","追赶","步领","follow","chase"
"原谅","允面","借口","收统","forgive","excuse"
"饶恕","遗碟","仁慈","猪叹","forgiveness","mercy"
"表格","妥源","签名","柔近","form","sign"
"获得","儿下","取胜","营插","gain","win"
"天才","钱射吻躲","科学家","排河货闻","genius","scientist"
"手势","销靡","动作","召男","gesture","act"
"眼镜","里留","帽子","泛僧","glasses","cap"
"上帝","格地","神圣","引湿","god","divine"
"抓住","巨当","捉住","不厂","grab","catch"
"外孙","动置","侄子","生索","grandson","nephew"
"感激","着臼","谢谢","一赛","grateful","thank"
"绿色","电香","橙色","角约","green","orange"
"手掌","滚实","胳膊","细闭","hand","arm"
"绞刑","效海","处决","花议","hanging","execution"
"健康","惹仙","教育","城伴","health","education"
"健康","摇优","正常","枝含","healthy","normal"
"审讯","小起","诉讼","浆手","hearing","trial"
"你好","酵歌","再见","蚀软","hello","bye"
"帮忙","骨警","协助","有起","help","assist"
"这里","革哮","那儿","突实","here","there"
"遗产","清给","继承","供士","heritage","inherit"
"英雄","近茶","救主","痛误","hero","savior"
"聘请","字荼","租赁","奴惯","hire","rent"
"抓住","地承","保持","嫂隐","hold","keep"
"蜜糖","市指","黄油","饭自","honey","butter"
"希望","征腻","信仰","家折","hope","faith"
"恐怖","所繁","害怕","小身","horror","fear"
"打猎","念美","钓鱼","彻观","hunting","fishing"
"错觉","空干","幻觉","素训","illusion","hallucination"
"印象","纽看","感觉","魔闭","impression","feeling"
"工业","要臼","商业","钟调","industry","business"
"冤屈","等口","不公","条示","injustice","unfair"
"国际","印纲","世界","汇雾","international","world"
"吉普","题人","卡车","望缠","jeep","truck"
"刚才","冰修","最近","拆友","just","recently"
"着陆","司好","起飞","对屯","land","fly"
"图书馆","成焚","博物馆","木良","library","museum"
"电闪","业右","雷鸣","耍新","lightning","thunder"
"液体","帮弃","流质","尖族","liquid","fluid"
"很少","打焙","很小","侄车","little","small"
"锁定","刑喂","关闭","化炮","locked","closed"
"看见","诫猎","手表","师藏","look","watch"
"主人","受酸","夫人","粗寄","lord","lady"
"输家","白耳","胜者","缺触","loser","winner"
"低","紧子","高","金景","low","high"
"忠心","烧侦","诚实","会甲","loyalty","honesty"
"魔法","助宝","巫师","某游","magic","wizard"
"磁的","声荒","电的","摇璀","magnetic","electric"
"邮件","化常","传真","皇斑","mail","fax"
"制作","事活","做到","藉玄","make","do"
"经理","偏香","老板","因炊","manager","boss"
"男子","猛实","人类","足终","man","human"
"火星","手者","金星","场然","mars","venus"
"物质","好枝","粒子","芳视","matter","particle"
"可能","跌北","大概","以答","maybe","probably"
"意义","走压","重要","破分","meaning","importance"
"医疗的","堂充","心理的","出粒","medical","psychological"
"英里","食走","厘米","战拨","mile","centimeter"
"牛奶","店捐","果汁","时人","milk","juice"
"百万","睾传","十亿","加爹","million","billion"
"明","码闭","凌","饮街","ming","ling"
"现代","结嗓","传统","胃角","modern","traditional"
"移动","烧抚","转移","皇价","move","transfer"
"天真","余曲","愚蠢","下灭","naïve","stupid"
"姓名","压而","称号","个线","name","title"
"国家","礼下","全球","呆管","national","global"
"近处","确寂","远方","在监","near","far"
"必要","男赶","需要","出枢","necessary","need"
"巢","法驱","蛋","非洗","nest","egg"
"绝不","费疫","曾经","咁子","never","ever"
"美好","奠异","可爱","累童","nice","lovely"
"忍者","气期","武士","板时","ninja","samurai"
"崇高","现桥","勇敢","钢泡","noble","brave"
"一般","部兴","通常","义加","normally","usually"
"没有","归争","某物","世鼻","nothing","something"
"十一月","手喇管","十二月","剂很矿","november","december"
"现在","圣灾","知道","横价","now","know"
"观察","陷水","评估","牛夫","observation","evaluation"
"提供","棚笨","给予","孙他","offer","give"
"好的","示祇","是的","早同","okay","yeah"
"苍老","滥办","年轻","餬屑","old","young"
"一","除女","三","色铐","one","three"
"打开","拔散","关闭","开记","open","close"
"开端","线市","结尾","取怪","opening","closure"
"操作","需揽","手术","开跌","operate","surgery"
"观点","靠山","看法","范鲜","opinion","attitude"
"乐观","小貌","切实","迁夜","optimistic","realistic"
"管弦","倡迭","乐队","陀木","orchestra","band"
"平常","飞隐","通常","听挤","ordinary","usual"
"原件","示子","副本","谬精","original","copy"
"外边","成赛","周围","身食","out","about"
"外部","美平","里面","着更","outside","inside"
"绘画","错鸣","素描","榨抑","paint","draw"
"天堂","梦庵","地狱","代弱","paradise","hell"
"偏执","词步","疯狂","质彩","paranoid","crazy"
"国会","伏催","议院","美嘱","parliament","senate"
"患者","重隐","客户","墓冰","patient","client"
"私人","罚辈","个人","绝僭","person","individual"
"现象","赠光","事件","农关","phenomenon","event"
"哲学","单错","宗教","柳伏","philosophy","religion"
"物理","汇观","数学","重股","physics","mathematics"
"野餐","湿础","露营","节相","picnic","camping"
"手枪","煞边","武器","掠庶","pistol","weapon"
"地点","印虎","位置","尾舅","place","location"
"行星","通实","轨道","王损","planet","orbit"
"花花公子","今跳孟纯","杂志","但叶","playboy","magazine"
"加法","难金","减法","姿刀","plus","minus"
"指出","票痛","表明","味半","point","indicate"
"毒害","珍标","杀死","评山","poison","kill"
"政策","县片","政治家","台迭","policy","politician"
