"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
195,"first_blank","first_blank-1","1",1,1,"first_blank-mè","mè",1,0,1,1,"1","mè"
28,"first_blank","first_blank-abe","abe",2,15,"first_blank-may","may",15,0,0,1,"abelha","maylha"
197,"first_blank","first_blank-aber","aber",3,15,"first_blank-crip","crip",15,0,0,1,"abertura","criptura"
196,"ri","ri-r","r",1,2,"eu-r","eu",2,0,0,1,"abrir","abeur"
640,"ta","ta-men","men",6,100,"ta-kahashi","kahashi",1,99,4,1,"absolutamente","absolutakahashite"
769,"first_blank","first_blank-acam","acam",4,17,"first_blank-triun","triun",15,2,1,1,"acampamento","triunpamento"
938,"first_blank","first_blank-aci","aci",5,22,"first_blank-seqües","seqües",9,13,3,1,"acidentalmente","seqüesdentalmente"
871,"first_blank","first_blank-aci","aci",3,22,"first_blank-exer","exer",22,0,1,1,"acionar","exeronar"
648,"first_blank","first_blank-açú","açú",2,2,"first_blank-xai","xai",2,0,0,1,"açúcar","xaicar"
623,"ção","ção-last_blank","last_blank",5,1057,"wright-last_blank","wright",3,1054,3,1,"administração","administrawright"
2,"mi","mi-rar","rar",3,2,"mi-lhei","lhei",2,0,1,1,"admirar","admilhei"
803,"mi","mi-tem","tem",3,6,"mi-nais","nais",5,1,1,1,"admitem","adminais"
961,"first_blank","first_blank-ado","ado",4,94,"first_blank-triun","triun",15,79,2,1,"adolescência","triunlescência"
880,"adul","adul-to","to",2,1,"caus-to","caus",1,0,0,1,"adulto","causto"
441,"ad","ad-vo","vo",4,7,"ad-mills","mills",1,6,3,1,"advogado","admillsgado"
293,"first_blank","first_blank-afi","afi",2,36,"first_blank-sta","sta",36,0,0,1,"afinar","stanar"
701,"afo","afo-gar","gar",2,2,"oli-gar","oli",2,0,0,1,"afogar","oligar"
405,"first_blank","first_blank-áfri","áfri",2,1,"first_blank-scro","scro",1,0,0,1,"áfrica","scroca"
122,"first_blank","first_blank-agar","agar",2,32,"first_blank-atro","atro",32,0,0,1,"agarrar","atrorar"
3,"first_blank","first_blank-agen","agen",2,16,"first_blank-coin","coin",16,0,0,1,"agente","cointe"
190,"first_blank","first_blank-ago","ago",2,15,"first_blank-vil","vil",15,0,0,1,"agora","vilra"
105,"first_blank","first_blank-agri","agri",3,11,"first_blank-whit","whit",11,0,0,1,"agricultor","whitcultor"
312,"aguar","aguar-de","de",2,2,"almôn-de","almôn",2,0,0,2,"aguarde","almônde"
917,"first_blank","first_blank-agu","agu",2,13,"first_blank-cis","cis",13,0,0,1,"agulha","cislha"
132,"first_blank","first_blank-aju","aju",2,53,"first_blank-bro","bro",53,0,0,1,"ajuda","broda"
660,"bum","bum-last_blank","last_blank",2,5,"vak-last_blank","vak",5,0,0,1,"álbum","álvak"
6,"first_blank","first_blank-ál","ál",3,7,"first_blank-guin","guin",7,0,2,1,"álcool","guincool"
821,"first_blank","first_blank-aler","aler",2,22,"first_blank-ocor","ocor",22,0,0,1,"alerta","ocorta"
840,"ho","ho-last_blank","last_blank",1,13,"bá-last_blank","bá",13,0,0,1,"alho","albá"
733,"ta","ta-ção","ção",4,119,"ta-ríeis","ríeis",2,117,2,1,"alimentação","alimentaríeis"
466,"al","al-ma","ma",2,2,"que-ma","que",2,0,1,1,"alma","quema"
337,"alu","alu-na","na",2,2,"bre-na","bre",2,0,0,1,"aluna","brena"
387,"first_blank","first_blank-ama","ama",2,104,"first_blank-mer","mer",104,0,0,1,"amador","merdor"
298,"nhã","nhã-last_blank","last_blank",2,4,"dog-last_blank","dog",4,0,0,1,"amanhã","amadog"
774,"first_blank","first_blank-aman","aman",2,9,"first_blank-emis","emis",9,0,0,1,"amante","emiste"
12,"cia","cia-last_blank","last_blank",4,425,"lhões-last_blank","lhões",22,403,2,1,"ambulância","ambulânlhões"
951,"ana","ana-lis","lis",3,2,"ana-tomy","tomy",1,1,1,1,"analista","anatomyta"
992,"first_blank","first_blank-anar","anar",2,4,"first_blank-glas","glas",4,0,0,1,"anarquia","glasquia"
967,"ana","ana-to","to",3,4,"flec-to","flec",4,0,1,1,"anatomia","flectomia"
889,"ân","ân-co","co",3,2,"fres-co","fres",2,0,2,1,"âncora","frescora"
397,"an","an-el","el",1,1,"an-sa","sa",1,0,0,1,"anel","ansa"
29,"first_blank","first_blank-ani","ani",4,66,"first_blank-stres","stres",10,56,2,1,"aniversário","stresversário"
13,"an","an-jo","jo",2,1,"an-sat","sat",1,0,1,1,"anjo","ansat"
14,"first_blank","first_blank-anô","anô",3,4,"first_blank-clai","clai",4,0,1,1,"anônimo","clainimo"
15,"to","to-last_blank","last_blank",4,1410,"to-mashevsky","mashevsky",1,1409,1,4,"antídoto","antídotomashevsky"
927,"first_blank","first_blank-anún","anún",2,2,"first_blank-unís","unís",2,0,0,1,"anúncio","uníscio"
66,"ole","ole-last_blank","last_blank",4,1,"grais-last_blank","grais",1,0,2,1,"ao controle","ao contrgrais"
906,"vo","vo-ran","ran",4,2,"vo-luçäo","luçäo",1,1,2,1,"apavorante","apavoluçäote"
835,"ape","ape-li","li",3,10,"equi-li","equi",10,0,1,1,"apelido","equilido"
16,"apli","apli-que","que",2,1,"apli-can","can",1,0,0,1,"aplique","aplican"
681,"orte","orte-last_blank","last_blank",5,1,"kelway-last_blank","kelway",1,0,2,1,"apoio, suporte","apoio, supkelway"
221,"apon","apon-tar","tar",2,2,"fren-tar","fren",2,0,0,1,"apontar","frentar"
411,"apren","apren-der","der",2,2,"dewin-der","dewin",1,1,0,2,"aprender","dewinder"
180,"first_blank","first_blank-apro","apro",3,122,"first_blank-tran","tran",90,32,0,1,"aproximar","tranximar"
133,"ui","ui-last_blank","last_blank",1,9,"gy-last_blank","gy",9,0,0,1,"aqui","aqgy"
5,"ar","ar-last_blank","last_blank",1,367,"ço-last_blank","ço",159,208,0,1,"ar","ço"
710,"ara","ara-nha","nha",2,1,"ara-mai","mai",1,0,0,1,"aranha","aramai"
533,"bus","bus-to","to",3,3,"clep-to","clep",3,0,1,1,"arbusto","arclepto"
630,"first_blank","first_blank-ár","ár",1,13,"first_blank-cú","cú",13,0,0,1,"área","cúea"
975,"first_blank","first_blank-are","are",2,12,"first_blank-sos","sos",12,0,0,1,"arena","sosna"
557,"di","di-lha","lha",4,7,"di-ríeis","ríeis",1,6,2,1,"armadilha","armadiríeis"
474,"qui","qui-vo","vo",3,3,"atre-vo","atre",1,2,1,1,"arquivo","aratrevo"
910,"ran","ran-jo","jo",3,2,"amei-jo","amei",1,1,1,1,"arranjo","arameijo"
252,"ar","ar-ris","ris",4,37,"ar-tland","tland",1,36,2,1,"arriscado","artlandcado"
989,"nal.","nal.-last_blank","last_blank",3,1,"resh-last_blank","resh",1,0,0,1,"arsenal.","arseresh"
638,"ar","ar-te","te",2,19,"cha-te","cha",19,0,1,1,"arte","chate"
18,"to","to-last_blank","last_blank",4,1410,"to-mashevsky","mashevsky",1,1409,1,4,"artefato","artefatomashevsky"
487,"ti","ti-go","go",3,8,"ti-tuir","tuir",8,0,2,1,"artigo","artituir"
425,"tis","tis-ta","ta",3,27,"plan-ta","plan",26,1,1,1,"artista","arplanta"
276,"ezes","ezes-last_blank","last_blank",3,1,"leil-last_blank","leil",1,0,0,1,"às vezes","às vleil"
711,"as","as-no","no",2,1,"as-mas","mas",1,0,1,1,"asno","asmas"
725,"as","as-pi","pi",4,21,"as-tronô","tronô",1,20,3,1,"aspirina","astronôrina"
730,"sas","sas-si","si",4,28,"north-si","north",1,27,2,1,"assassino","asnorthsino"
675,"nau","nau-ta","ta",4,2,"afron-ta","afron",2,0,2,1,"astronauta","astroafronta"
802,"aten","aten-ção","ção",2,1,"plei-ção","plei",1,0,0,1,"atenção","pleição"
742,"first_blank","first_blank-ati","ati",3,84,"first_blank-tran","tran",90,6,1,1,"atirador","tranrador"
430,"first_blank","first_blank-ati","ati",2,84,"first_blank-cul","cul",84,0,0,1,"ativo","culvo"
895,"first_blank","first_blank-atô","atô",3,4,"first_blank-chic","chic",4,0,1,1,"atômico","chicmico"
19,"atra","atra-en","en",3,2,"lowe-en","lowe",2,0,0,1,"atraente","loweente"
410,"atra","atra-sa","sa",3,15,"gres-sa","gres",18,3,0,1,"atrasado","gressado"
76,"first_blank","first_blank-atu","atu",2,40,"first_blank-bre","bre",40,0,0,1,"atual","breal"
949,"at","at-um","um",1,1,"at-wu","wu",1,0,0,1,"atum","atwu"
130,"di","di-ção","ção",3,17,"di-nhas","nhas",17,0,1,1,"audição","audinhas"
565,"tar","tar-last_blank","last_blank",3,446,"ções-last_blank","ções",442,4,1,1,"aumentar","aumenções"
21,"au","au-tó","tó",4,10,"au-champ","champ",1,9,3,1,"autógrafo","auchampgrafo"
22,"tóp","tóp-sia","sia",3,1,"prús-sia","prús",1,0,1,1,"autópsia","auprússia"
20,"au","au-tor","tor",2,1,"au-bri","bri",1,0,0,1,"autor","aubri"
4,"xi","xi-lia","lia",3,1,"xi-nhos","nhos",2,1,1,1,"auxilia","auxinhos"
502,"first_blank","first_blank-ave","ave",3,22,"first_blank-ocor","ocor",22,0,1,1,"avenida","ocornida"
314,"avi","avi-so","so",2,1,"mer-so","mer",1,0,0,1,"aviso","merso"
940,"bá","bá-last_blank","last_blank",2,13,"meu-last_blank","meu",13,0,1,1,"babá","bameu"
26,"ía","ía-last_blank","last_blank",1,10,"xá-last_blank","xá",10,0,0,1,"baía","baxá"
87,"first_blank","first_blank-bai","bai",2,64,"first_blank-cla","cla",64,0,0,1,"baixa","claxa"
158,"first_blank","first_blank-bai","bai",2,64,"first_blank-cla","cla",64,0,0,1,"baixo","claxo"
893,"ju","ju-lar","lar",3,1,"ju-nius","nius",1,0,1,1,"bajular","bajunius"
23,"na","na-na","na",3,4,"ador-na","ador",3,1,2,1,"banana","baadorna"
25,"ban","ban-cá","cá",3,4,"apli-cá","apli",4,0,1,1,"bancário","aplicário"
111,"first_blank","first_blank-ban","ban",3,79,"first_blank-quei","quei",80,1,1,1,"bandeira","queideira"
297,"ba","ba-nhei","nhei",3,4,"ba-gens","gens",2,2,0,1,"banheiro","bagensro"
24,"ban","ban-quei","quei",3,3,"ban-nock","nock",1,2,0,1,"banqueiro","bannockro"
234,"ba","ba-r","r",1,1,"aí-r","aí",1,0,0,1,"bar","aír"
756,"ba","ba-rão","rão",2,5,"ba-nas","nas",5,0,0,1,"barão","banas"
903,"ba","ba-se","se",2,16,"tás-se","tás",15,1,1,1,"base","tásse"
497,"bol","bol-last_blank","last_blank",4,11,"bol-lingsworth","lingsworth",1,10,0,5,"basquetebol","basquetebollingsworth"
281,"bas","bas-tão","tão",2,1,"bas-qui","qui",1,0,0,1,"bastão","basqui"
750,"ta","ta-ta","ta",3,14,"aper-ta","aper",14,0,2,1,"batata","baaperta"
897,"ba","ba-ter","ter",2,7,"ba-ria","ria",6,1,0,1,"bater","baria"
837,"tom","tom-last_blank","last_blank",2,7,"vet-last_blank","vet",7,0,0,1,"batom","bavet"
366,"be","be-bê","bê",2,1,"be-dan","dan",1,0,1,1,"bebê","bedan"
408,"be","be-ber","ber",2,4,"be-nig","nig",4,0,0,1,"beber","benig"
465,"first_blank","first_blank-bei","bei",2,56,"first_blank-sar","sar",56,0,0,1,"beijo","sarjo"
501,"blia","blia-last_blank","last_blank",2,2,"veio-last_blank","veio",2,0,0,1,"bíblia","bíveio"
150,"o","o-te","te",5,19,"o-dlands","dlands",1,18,4,1,"biblioteca","bibliodlandsca"
555,"lhe","lhe-te","te",3,4,"inal-te","inal",4,0,1,1,"bilhete","biinalte"
498,"bis","bis-po","po",2,2,"têm-po","têm",2,0,0,1,"bispo","têmpo"
581,"bo","bo-a","a",1,12,"ce-a","ce",12,0,0,1,"boa","cea"
545,"bo","bo-ca","ca",2,16,"ran-ca","ran",19,3,1,1,"boca","ranca"
553,"first_blank","first_blank-bol","bol",2,18,"first_blank-ces","ces",18,0,0,1,"bolso","cesso"
359,"first_blank","first_blank-bom","bom",3,55,"first_blank-guar","guar",55,0,1,1,"bombear","guarbear"
652,"ne","ne-ca","ca",3,7,"atra-ca","atra",8,1,2,1,"boneca","boatraca"
227,"to","to-last_blank","last_blank",3,1410,"to-mashevsky","mashevsky",1,1409,1,5,"bonito","bonitomashevsky"
709,"nus","nus-last_blank","last_blank",2,31,"zei-last_blank","zei",31,0,0,1,"bônus","bôzei"
365,"bor","bor-bo","bo",4,2,"hills-bo","hills",1,1,2,1,"borboleta","hillsboleta"
779,"bo","bo-ta","ta",2,15,"tac-ta","tac",15,0,1,1,"bota","tacta"
522,"bo","bo-tão","tão",2,2,"bo-ran","ran",2,0,0,1,"botão","boran"
322,"bran","bran-co","co",2,1,"glau-co","glau",1,0,0,1,"branco","glauco"
31,"first_blank","first_blank-bra","bra",2,60,"first_blank-sol","sol",60,0,0,1,"bravo","solvo"
773,"bri","bri-lhar","lhar",2,1,"bri-nhos","nhos",1,0,0,1,"brilhar","brinhos"
295,"brin","brin-de","de",2,2,"ever-de","ever",2,0,0,2,"brinde","everde"
668,"tal","tal-last_blank","last_blank",2,84,"ney-last_blank","ney",84,0,0,1,"brutal","bruney"
859,"first_blank","first_blank-bun","bun",2,18,"first_blank-ray","ray",18,0,0,1,"bunda","rayda"
790,"first_blank","first_blank-bús","bús",3,3,"first_blank-ilía","ilía",3,0,1,1,"bússola","ilíasola"
544,"be","be-lo","lo",3,3,"be-reis","reis",2,1,2,1,"cabelo","cabereis"
34,"ca","ca-bi","bi",3,10,"proi-bi","proi",9,1,2,1,"cabine","proibine"
531,"ca","ca-bo","bo",2,2,"sím-bo","sím",2,0,1,1,"cabo","símbo"
141,"ca","ca-çan","çan",3,1,"ca-reis","reis",1,0,1,1,"caçando","careisdo"
650,"deia","deia-last_blank","last_blank",2,11,"kett-last_blank","kett",11,0,0,1,"cadeia","cakett"
762,"ca","ca-ir","ir",1,3,"ca-vá","vá",3,0,0,1,"cair","cavá"
395,"first_blank","first_blank-cai","cai",2,45,"first_blank-lim","lim",45,0,0,1,"caixa","limxa"
53,"xão","xão-last_blank","last_blank",2,12,"com-last_blank","com",12,0,0,1,"caixão","caicom"
713,"ca","ca-len","len",4,3,"ca-traia","traia",1,2,2,1,"calendário","catraiadário"
35,"li","li-bre","bre",3,2,"li-cais","cais",2,0,1,1,"calibre","calicais"
551,"lor","lor-last_blank","last_blank",2,19,"teu-last_blank","teu",19,0,0,1,"calor","cateu"
313,"lo","lo-ro","ro",4,14,"mashi-ro","mashi",1,13,3,1,"caloroso","camashiroso"
839,"ca","ca-ma","ma",3,30,"ca-ções","ções",30,0,2,1,"camada","caçõesda"
595,"câ","câ-me","me",3,2,"fenô-me","fenô",2,0,2,1,"câmera","fenômera"
420,"mi","mi-sa","sa",3,7,"mi-cros","cros",7,0,2,1,"camisa","camicros"
870,"first_blank","first_blank-cam","cam",3,67,"first_blank-aper","aper",68,1,1,1,"campanha","aperpanha"
41,"peão","peão-last_blank","last_blank",2,3,"nery-last_blank","nery",3,0,0,1,"campeão","camnery"
44,"ca","ca-nal","nal",2,3,"ca-rás","rás",3,0,0,1,"canal","carás"
874,"to","to-last_blank","last_blank",4,1410,"to-mashevsky","mashevsky",1,1409,1,4,"candidato","candidatomashevsky"
968,"ca","ca-ne","ne",3,16,"bour-ne","bour",9,7,2,1,"canela","bournela"
463,"can","can-sa","sa",3,32,"gres-sa","gres",18,14,1,1,"cansado","gressado"
67,"can","can-to","to",2,12,"his-to","his",14,2,0,1,"canto","histo"
490,"can","can-tor","tor",2,1,"can-dei","dei",1,0,0,1,"cantor","candei"
329,"first_blank","first_blank-cã","cã",1,4,"first_blank-sg","sg",4,0,0,1,"cão","sgo"
452,"ca","ca-os","os",2,1,"ca-rai","rai",1,0,1,1,"caos","carai"
573,"ce","ce-te","te",4,7,"truis-te","truis",2,5,3,1,"capacete","capatruiste"
882,"de","de-last_blank","last_blank",5,783,"de-linqüen","linqüen",2,781,3,3,"capacidade","capacidadelinqüen"
651,"pi","pi-tal","tal",3,3,"pi-nhei","nhei",3,0,1,1,"capital","capinhei"
847,"first_blank","first_blank-cáp","cáp",3,2,"first_blank-gins","gins",2,0,1,1,"cápsula","ginssula"
991,"col","col-last_blank","last_blank",3,4,"guês-last_blank","guês",4,0,1,1,"caracol","caraguês"
891,"car","car-bo","bo",3,14,"trom-bo","trom",5,9,1,1,"carbono","trombono"
869,"car","car-ga","ga",2,4,"ben-ga","ben",4,0,0,1,"carga","benga"
654,"ca","ca-ri","ri",4,54,"ca-lhaus","lhaus",2,52,3,1,"caridade","calhausdade"
941,"rim","rim-bo","bo",3,1,"stra-bo","stra",1,0,1,1,"carimbo","castrabo"
37,"val","val-last_blank","last_blank",3,22,"nhou-last_blank","nhou",22,0,1,1,"carnaval","carnanhou"
888,"orco","orco-last_blank","last_blank",5,1,"nitsyn-last_blank","nitsyn",1,0,2,1,"carne de porco","carne de pnitsyn"
559,"ca","ca-ro","ro",2,14,"dou-ro","dou",12,2,1,1,"caro","douro"
475,"car","car-rei","rei",3,4,"trui-rei","trui",2,2,1,1,"carreira","truireira"
52,"car","car-vão","vão",2,1,"car-tes","tes",1,0,0,1,"carvão","cartes"
582,"ca","ca-sa","sa",2,40,"ca-dor","dor",40,0,1,1,"casa","cador"
33,"cas","cas-ta","ta",3,9,"prei-ta","prei",8,1,1,1,"castanho","preitanho"
38,"ca","ca-tó","tó",4,7,"ca-lhaus","lhaus",2,5,3,1,"católico","calhauslico"
722,"la","la-ria","ria",4,17,"la-kesho","kesho",1,16,2,1,"cavalaria","cavalakesho"
477,"ce","ce-go","go",2,4,"ce-len","len",4,0,1,1,"cego","celen"
39,"le","le-bri","bri",5,2,"le-mansky","mansky",1,1,3,1,"celebridade","celemanskydade"
643,"first_blank","first_blank-cé","cé",3,24,"first_blank-adop","adop",24,0,2,1,"célula","adoplula"
763,"re","re-bro","bro",3,2,"re-nais","nais",2,0,1,1,"cérebro","cérenais"
251,"cer","cer-to","to",2,5,"sul-to","sul",5,0,0,1,"certo","sulto"
727,"cé","cé-sar","sar",2,1,"cé-mia","mia",1,0,0,1,"césar","cémia"
273,"first_blank","first_blank-cé","cé",1,24,"first_blank-má","má",24,0,0,1,"céu","máu"
36,"cha","cha-mar","mar",2,2,"cha-res","res",2,0,0,1,"chamar","chares"
586,"first_blank","first_blank-chan","chan",2,47,"first_blank-acei","acei",48,1,0,2,"chance","aceice"
42,"first_blank","first_blank-chan","chan",3,47,"first_blank-elec","elec",46,1,0,1,"chanceler","elecceler"
635,"ch","ch-ão","ão",1,2,"ch-al","al",2,0,0,1,"chão","chal"
740,"char","char-me","me",2,1,"cash-me","cash",1,0,0,1,"charme","cashme"
467,"cha","cha-ve","ve",2,2,"per-ve","per",2,0,0,1,"chave","perve"
528,"first_blank","first_blank-che","che",3,133,"first_blank-apro","apro",122,11,1,1,"chegada","aprogada"
17,"che","che-gar","gar",2,3,"che-che","che",3,0,0,1,"chegar","cheche"
828,"fre","fre-last_blank","last_blank",2,9,"nil-last_blank","nil",9,0,0,1,"chifre","chinil"
907,"chu","chu-par","par",2,1,"tir-par","tir",1,0,0,1,"chupar","tirpar"
373,"first_blank","first_blank-chu","chu",2,85,"first_blank-fun","fun",85,0,0,1,"chuva","funva"
602,"vei","vei-ro","ro",3,5,"amar-ro","amar",5,0,1,1,"chuveiro","chuamarro"
40,"ci","ci-men","men",3,56,"ci-nhos","nhos",7,49,1,1,"cimento","cinhosto"
