"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
57,"آل","آل-ة","ة",1,3,"تح-ة","تح",3,0,0,1,"آلة","تحة"
493,"أح","أح-جي","جي",1,3,"سأ-جي","سأ",3,0,0,1,"أحجية","سأجية"
950,"أخ","أخ-last_blank","last_blank",1,3,"ـذ-last_blank","ـذ",3,0,0,1,"أخ","ـذ"
987,"أد","أد-اء","اء",1,5,"لغ-اء","لغ",5,0,0,1,"أداء","لغاء"
13,"أد","أد-اة","اة",1,2,"أد-مي","مي",2,0,0,1,"أداة","أدمي"
630,"أذ","أذ-ن","ن",1,3,"يه-ن","يه",3,0,0,1,"أذن","يهن"
67,"بع","بع-ة","ة",1,34,"يئ-ة","يئ",33,1,0,1,"أربعة","أريئة"
666,"أر","أر-عب","عب",1,4,"أر-أي","أي",4,0,0,1,"أرعب","أرأي"
680,"نب","نب-last_blank","last_blank",1,25,"دف-last_blank","دف",25,0,0,1,"أرنب","أردف"
284,"first_blank","first_blank-أز","أز",1,58,"first_blank-زا","زا",58,0,0,1,"أزرق","زارق"
292,"اس","اس-ي","ي",1,30,"عت-ي","عت",30,0,0,1,"أساسي","أسعتي"
543,"أس","أس-بو","بو",1,14,"أس-ئل","ئل",14,0,0,1,"أسبوع","أسئلع"
245,"أس","أس-بو","بو",1,14,"أس-ئل","ئل",14,0,0,1,"أسبوعي","أسئلعي"
123,"أس","أس-د","د",1,2,"نه-د","نه",2,0,0,1,"أسد","نهد"
402,"طو","طو-رة","رة",1,11,"يا-رة","يا",11,0,0,1,"أسطورة","أسيارة"
72,"لح","لح-ة","ة",1,15,"عب-ة","عب",15,0,0,1,"أسلحة","أسعبة"
6,"أس","أس-ود","ود",1,4,"را-ود","را",4,0,0,1,"أسود","راود"
470,"أس","أس-ير","ير",1,4,"قر-ير","قر",4,0,0,1,"أسير","قرير"
83,"لق","لق- ا"," ا",1,1,"لق-رب","رب",1,0,0,1,"أطلق النار","أطلقربلنار"
363,"رف","رف-last_blank","last_blank",1,130,"مك-last_blank","مك",130,0,0,1,"أعرف","أعمك"
15,"أع","أع-لى","لى",1,3,"أع-جا","جا",3,0,0,1,"أعلى","أعجا"
26,"أغ","أغ-ني","ني",1,19,"تي-ني","تي",19,0,0,1,"أغنية","تينية"
132,"صى","صى-last_blank","last_blank",1,11,"ظا-last_blank","ظا",11,0,0,1,"أقصى","أقظا"
7,"فا","فا-last_blank","last_blank",1,77,"وى-last_blank","وى",77,0,0,1,"ألفا","ألوى"
458,"أل","أل-فت","فت",1,2,"أل-حا","حا",2,0,0,1,"ألفت","ألحا"
944,"أم","أم-ان","ان",1,16,"يد-ان","يد",16,0,0,1,"أمانة","يدانة"
23,"كا","كا-last_blank","last_blank",1,83,"رس-last_blank","رس",83,0,0,1,"أمريكا","أمريرس"
31,"first_blank","first_blank-أم","أم",1,352,"first_blank-لن","لن",354,2,0,1,"أمير","لنير"
627,"أن","أن-ان","ان",1,12,"نت-ان","نت",12,0,0,1,"أنانية","نتانية"
153,"ثى","ثى-last_blank","last_blank",1,10,"خد-last_blank","خد",10,0,0,1,"أنثى","أنخد"
981,"فق","فق-last_blank","last_blank",1,55,"طر-last_blank","طر",55,0,0,1,"أنفق","أنطر"
231,"أن","أن-يق","يق",1,5,"أن-وا","وا",5,0,0,1,"أنيق","أنوا"
225,"أه","أه-مي","مي",1,8,"تا-مي","تا",8,0,0,1,"أهمية","تامية"
699,"أو","أو-تو","تو",1,6,"سن-تو","سن",6,0,0,1,"أوتوبيس","سنتوبيس"
3," و"," و-قت","قت",1,1,"نف-قت","نف",1,0,0,1,"أي وقت مضى","أينفقت مضى"
521,"ا ","ا -ال","ال",1,1,"وث-ال","وث",1,0,0,1,"أيتها الملازم","أيتهوثالملازم"
417,"إب","إب-دا","دا",1,9,"إب-نت","نت",9,0,0,1,"إبداع","إبنتع"
82,"ها","ها-م","م",1,27,"قد-م","قد",27,0,0,1,"إبهام","إبقدم"
832,"first_blank","first_blank-إج","إج",1,80,"first_blank-بب","بب",80,0,0,1,"إجراء","ببراء"
99,"إخ","إخ-لا","لا",1,9,"حا-لا","حا",9,0,0,1,"إخلاص","حالاص"
43,"إد","إد-ار","ار",1,14,"فج-ار","فج",14,0,0,1,"إداري","فجاري"
242,"first_blank","first_blank-إر","إر",1,120,"first_blank-غا","غا",120,0,0,1,"إرجاع","غاجاع"
70,"إر","إر-سا","سا",1,13,"ست-سا","ست",13,0,0,1,"إرسال","ستسال"
73,"إز","إز-ال","ال",1,4,"طح-ال","طح",4,0,0,1,"إزالة","طحالة"
686,"عا","عا-ج","ج",1,10,"ان-ج","ان",10,0,0,1,"إزعاج","إزانج"
408,"تر","تر-ات","ات",1,16,"تر-كه","كه",16,0,0,1,"إستراتيجية","إستركهيجية"
539,"first_blank","first_blank-إش","إش",1,59,"first_blank-قط","قط",59,0,0,1,"إشارة","قطارة"
324,"first_blank","first_blank-إش","إش",1,59,"first_blank-قط","قط",59,0,0,1,"إشعاع","قطعاع"
338,"first_blank","first_blank-إص","إص",1,51,"first_blank-سج","سج",51,0,0,1,"إصابة","سجابة"
48,"first_blank","first_blank-إض","إض",1,32,"first_blank-اث","اث",32,0,0,1,"إضافي","اثافي"
980,"إض","إض-را","را",1,4,"وف-را","وف",4,0,0,1,"إضراب","وفراب"
335,"إع","إع-دا","دا",1,17,"مي-دا","مي",17,0,0,1,"إعداد","ميداد"
541,"دا","دا-م","م",1,23,"خد-م","خد",23,0,0,1,"إعدام","إعخدم"
84,"إع","إع-صا","صا",1,3,"لر-صا","لر",3,0,0,1,"إعصار","لرصار"
77,"first_blank","first_blank-إق","إق",1,77,"first_blank-جد","جد",77,0,0,1,"إقالة","جدالة"
206,"هي","هي-last_blank","last_blank",1,67,"رع-last_blank","رع",67,0,0,1,"إلهي","إلرع"
97,"first_blank","first_blank-إم","إم",1,81,"first_blank-رأ","رأ",80,1,0,1,"إمبراطورية","رأبراطورية"
664,"first_blank","first_blank-إم","إم",1,81,"first_blank-بب","بب",80,1,0,1,"إمكانية","ببكانية"
828,"إن","إن-تا","تا",1,9,"إن-طل","طل",9,0,0,1,"إنتاج","إنطلج"
56,"ذا","ذا-ر","ر",1,15,"وي-ر","وي",15,0,0,1,"إنذار","إنوير"
442,"إن","إن-طب","طب",1,3,"إن-جي","جي",3,0,0,1,"إنطباع","إنجياع"
87,"إن","إن-ها","ها",1,12,"فع-ها","فع",12,0,0,1,"إنهاء","فعهاء"
1,"إي","إي-ما","ما",1,14,"لك-ما","لك",14,0,0,1,"إيمان","لكمان"
459,"اب","اب-تز","تز",1,3,"أل-تز","أل",3,0,0,1,"ابتزاز","ألتزاز"
282,"first_blank","first_blank-اب","اب",1,198,"first_blank-مج","مج",198,0,0,1,"ابن","مجن"
380,"first_blank","first_blank-اب","اب",1,198,"first_blank-مج","مج",198,0,0,1,"ابن شقيق","مجن شقيق"
815,"ات","ات-حا","حا",1,7,"ات-ور","ور",7,0,0,1,"اتحاد","اتورد"
614,"first_blank","first_blank-ات","ات",1,300,"first_blank-كو","كو",300,0,0,1,"اتفاق","كوفاق"
540,"ات","ات-ها","ها",1,25,"عل-ها","عل",25,0,0,1,"اتهام","علهام"
840,"تف","تف-ظ","ظ",1,8,"اح-ظ","اح",8,0,0,1,"احتفظ","احاحظ"
299,"first_blank","first_blank-اخ","اخ",1,344,"first_blank-بي","بي",344,0,0,1,"اختبار","بيتبار"
409,"first_blank","first_blank-اخ","اخ",1,344,"first_blank-بي","بي",344,0,0,1,"اختطف","بيتطف"
230,"first_blank","first_blank-اخ","اخ",1,344,"first_blank-بي","بي",344,0,0,1,"اختفاء","بيتفاء"
416,"first_blank","first_blank-اخ","اخ",1,344,"first_blank-بي","بي",344,0,0,1,"اختيار","بيتيار"
757,"ال","ال-نه","نه",1,23,"ال-صل","صل",23,0,0,1,"اخر النهار","اخر الصلار"
14,"first_blank","first_blank-اذ","اذ",1,33,"first_blank-نل","نل",33,0,0,1,"اذهب","نلهب"
678,"تب","تب-اك","اك",1,7,"در-اك","در",7,0,0,1,"ارتباك","اردراك"
939,"ار","ار-تف","تف",1,7,"ار-يس","يس",7,0,0,1,"ارتفاع","اريساع"
682,"كب","كب-last_blank","last_blank",1,28,"ـك-last_blank","ـك",28,0,0,1,"اركب","ارـك"
972,"اس","اس-تب","تب",1,15,"اس-با","با",15,0,0,1,"استبدل","اسبادل"
210,"ما","ما-ر","ر",1,27,"دي-ر","دي",27,0,0,1,"استثمار","استثدير"
878,"تد","تد-ار","ار",1,7,"وب-ار","وب",7,0,0,1,"استدارة","اسوبارة"
303,"تر","تر-اح","اح",1,28,"تر-كي","كي",29,1,0,1,"استراحة","استركية"
310,"تع","تع-ما","ما",1,11,"تع-يش","يش",11,0,0,1,"استعمال","استعيشل"
317,"تم","تم-ر","ر",1,16,"وف-ر","وف",16,0,0,1,"استمر","اسوفر"
597,"first_blank","first_blank-اش","اش",1,122,"first_blank-نف","نف",122,0,0,1,"اشخاص","نفخاص"
22,"first_blank","first_blank-اط","اط",1,60,"first_blank-خر","خر",60,0,0,1,"اطرش","خررش"
986,"اع","اع-تر","تر",1,20,"اع-طي","طي",20,0,0,1,"اعترف","اعطيف"
25,"اع","اع-جا","جا",1,6,"نف-جا","نف",6,0,0,1,"اعجاب","نفجاب"
559,"اع","اع-ما","ما",1,13,"يك-ما","يك",13,0,0,1,"اعمال","يكمال"
144,"ما","ما-ل ","ل ",1,1,"ما-ؤه","ؤه",1,0,0,1,"اعمال صيانة","اعماؤهصيانة"
391,"اض","اض-last_blank","last_blank",1,44,"ـل-last_blank","ـل",44,0,0,1,"افتراض","افترـل"
90,"تب","تب-last_blank","last_blank",1,28,"اش-last_blank","اش",28,0,0,1,"اكتب","اكاش"
213,"اك","اك-تم","تم",1,3,"عد-تم","عد",3,0,0,1,"اكتمال","عدتمال"
487,"اك","اك-تو","تو",1,1,"يو-تو","يو",1,0,0,1,"اكتوبر","يوتوبر"
28,"آب","آب-last_blank","last_blank",1,5,"خه-last_blank","خه",5,0,0,1,"الآب","الخه"
199,"ال","ال-أب","أب",1,44,"ال-سو","سو",44,0,0,1,"الأبوين","السووين"
999,"أح","أح-د","د",1,3,"شد-د","شد",3,0,0,1,"الأحد","الشدد"
921,"نا","نا-لي","لي",1,11,"نا-فذ","فذ",11,0,0,1,"الأدرينالين","الأدرينافذن"
604,"أس","أس-رة","رة",1,3,"عو-رة","عو",3,0,0,1,"الأسرة","العورة"
21,"أس","أس-فل","فل",1,8,"أس-اع","اع",8,0,0,1,"الأسفل","الأساع"
715,"لا","لا-ك","ك",1,24,"يد-ك","يد",24,0,0,1,"الأسلاك","الأسيدك"
8,"ال","ال-أص","أص",1,32,"ال-تأ","تأ",32,0,0,1,"الأصفر","التأفر"
449,"ال","ال-صن","صن",1,18,"ال-شب","شب",18,0,0,1,"الأقمار الصناعية","الأقمار الشباعية"
925,"سج","سج-ين","ين",1,14,"أم-ين","أم",14,0,0,1,"الأكسجين","الأكأمين"
281,"أم","أم-ة","ة",1,3,"دا-ة","دا",3,0,0,1,"الأمة","الداة"
145,"ال","ال-ية","ية",1,43,"ال-تك","تك",43,0,0,1,"الأمور المالية","الأمور المالتك"
672,"أن","أن-ف","ف",1,3,"اص-ف","اص",3,0,0,1,"الأنف","الاصف"
440,"ال","ال-أه","أه",1,12,"ال-جذ","جذ",12,0,0,1,"الأهمية","الجذمية"
65,"ال","ال-إت","إت",1,23,"ال-حس","حس",23,0,0,1,"الإتصال","الحسصال"
898,"إج","إج-ما","ما",1,5,"بأ-ما","بأ",5,0,0,1,"الإجمالية","البأمالية"
709,"ال","ال-إخ","إخ",1,28,"ال-تد","تد",28,0,0,1,"الإخبارية","التدبارية"
60,"إس","إس-اء","اء",1,3,"بل-اء","بل",3,0,0,1,"الإساءة","البلاءة"
321,"ال","ال-إش","إش",1,21,"ال-رس","رس",21,0,0,1,"الإشارة","الرسارة"
455,"را","را-دا","دا",1,9,"را-حل","حل",9,0,0,1,"الإيرادات","الإيراحلت"
122,"ال","ال-ات","ات",1,71,"ال-كو","كو",71,0,0,1,"الاتصالات","الكوصالات"
35,"ال","ال-اخ","اخ",1,44,"ال-أب","أب",44,0,0,1,"الاخير","الأبير"
223,"سا","سا-ل","ل",1,11,"طو-ل","طو",11,0,0,1,"الارسال","الارطول"
457,"سا","سا-ن","ن",1,27,"وي-ن","وي",27,0,0,1,"الانسان","الانوين"
343,"سج","سج-ة","ة",1,4,"رث-ة","رث",4,0,0,1,"الانسجة","الانرثة"
640,"يه","يه-ة","ة",1,8,"فح-ة","فح",8,0,0,1,"البديهة","البدفحة"
756,"بر","بر-تق","تق",1,9,"بر-كا","كا",9,0,0,1,"البرتقالي","البركاالي"
130,"بر","بر-د","د",1,6,"ــ-د","ــ",6,0,0,1,"البرد","الــد"
855,"ال","ال-بش","بش",1,12,"ال-زي","زي",12,0,0,1,"البشع","الزيع"
389,"ال","ال-بض","بض",1,3,"ال-إئ","إئ",3,0,0,1,"البضائع","الإئائع"
182,"بط","بط-ني","ني",1,6,"كر-ني","كر",6,0,0,1,"البطني","الكرني"
433,"ال","ال-بو","بو",1,55,"ال-مز","مز",55,0,0,1,"البول","المزل"
861,"سب","سب-ول","ول",1,3,"نق-ول","نق",3,0,0,1,"البيسبول","البينقول"
504,"رب","رب-ة","ة",1,33,"يئ-ة","يئ",33,0,0,1,"التجربة","التجيئة"
