"hr_cue","hr_target","hr_fake_target","hr_fake_cue","en_cue","en_target"
"afrika","amerika","tranrika","azijka","africa","america"
"agent","detektiv","detekljač","whent","agent","detective"
"aktivan","aktivnost","aktivskom","aktiskim","active","activity"
"aktovka","kofer","kough","aksvitka","briefcase","suitcase"
"alat","instrument","instruiran","wyat","tool","instrument"
"album","pjesma","pjeđim","alkit","album","song"
"alkohol","droga","kvaga","alkovist","alcohol","drug"
"amater","profesionalni","alexanfesionalni","povter","amateur","professional"
"ambasador","ministar","minisnjom","ambasavjest","ambassador","minister"
"ambulanta","helikopter","helisplinter","ambusmjesta","ambulance","helicopter"
"analitičar","istraživač","istražiryjem","ukljulitičar","analyst","investigator"
"anarhija","kapitalizam","kapitalifreyja","monshija","anarchy","capitalism"
"anatomija","psihologija","alexanhologija","ukljutomija","anatomy","psychology"
"anđeo","vrag","vrlf","anuke","angel","devil"
"angažman","vjenčanje","ukračanje","angadrim","engagement","wedding"
"anonimno","nepoznat","nepoztvom","anomantno","anonymous","unknown"
"apsolutno","potpuno","strapuno","apsodjeljno","absolutely","completely"
"arena","bojno polje","bojno pssett","rovna","arena","battlefield"
"arsenal","oružanica","pljačžanica","arseling","arsenal","armory"
"artefakt","medaljon","medaieko","arterowe","artifact","medallion"
"aspirin","morfin","morneu","aspivost","aspirin","morphine"
"astronaut","pilot","pipus","asdjeljnaut","astronaut","pilot"
"atomski","nuklearni","stranlearni","štinski","atomic","nuclear"
"atraktivan","šarmantan","osummantan","augustivan","attractive","charming"
"aukcija","prodaja","ugledaja","voyacija","auction","sale"
"autogram","fotograf","fotoonom","autoljat","autograph","photographer"
"autor","glumac","unimac","aunar","author","actor"
"avenija","ulica","gunca","clifnija","avenue","street"
"banana","jagoda","jastrada","baspozna","banana","strawberry"
"banda","skupina","pretpina","ljeda","gang","group"
"bankar","investitor","stručtitor","banron","banker","investor"
"bankarstvo","financijski","finaneuropski","bankarlajl","banking","financial"
"baron","grofica","odjefica","bakie","baron","countess"
"barut","dinamit","dinasjec","bašje","gunpowder","dynamite"
"baština","naslijediti","odjeljlijediti","bakljana","heritage","inherit"
"baza","zapovjedništvo","zapovjednišfreyja","batis","base","headquarters"
"bedž","ujednačen","obicnačen","bebb","badge","uniform"
"beskoristan","bezvrijedan","bezvrijetlost","beskotlandtan","useless","worthless"
"bespomoćan","slab","slen","bespomoonlig","helpless","powerless"
"beton","željezo","žesponzo","bezum","concrete","steel"
"biblija","knjiga","skrega","bivjerja","bible","book"
"bijedan","patetičan","patetikrist","bijevrej","miserable","pathetic"
"bijela","crno","dlano","biprivla","white","black"
"bijes","bijes","bisak","bičit","anger","rage"
"biljka","cvijet","cvišti","olimka","plant","flower"
"biskup","kardinal","kardiling","bioska","bishop","cardinal"
"blago","bogatstvo","bogatnjen","umigo","treasure","wealth"
"blato","pijesak","pijevolj","truto","mud","sand"
"blizu","daleko","daučinko","cenzu","near","far"
"bog","božanstven","božansonar","erg","god","divine"
"boja","crtati","plantati","traja","paint","draw"
"bolestan","bolestan","boskantan","bookrutan","ill","sick"
"bolnica","klinika","pješnika","strinica","hospital","clinic"
"bomba","eksplozivno","eksplouljudno","kurba","bomb","explosive"
"bonus","nagrada","namjesda","bokom","bonus","reward"
"boravak","ostati","osidenti","borament","stay","remain"
"borba","borba","ranba","nidba","combat","fight"
"božić","odmor","odkes","boant","christmas","holiday"
"brand","proizvod","proitlin","quand","brand","product"
"bravo","alfa","derfa","zlovo","bravo","alpha"
"brdo","planinski","plapoljski","svido","hill","mountain"
"broj","adresa","ohrasa","čuoj","number","address"
"brutalan","okrutan","skantan","sklotalan","brutal","cruel"
"bubreg","jetra","ješit","bubach","kidney","liver"
"budala","idiot","otoot","zvezdala","fool","idiot"
"budućnost","prošlost","granlost","budućskom","future","past"
