"cue","target","cosine","fake_cue","fake_target"
"tas","absurds",0.451004850278463,"eas","absuvds"
"tas","putas",0.445352663333947,"ēas","puzas"
"tas","impulsīvs",0.436206506909935,"uas","impulšīvs"
"tas","tipisks",0.428164403641732,"taā","tipasks"
"tas","fdr",0.427692032332179,"tad","fdķ"
"kas","kautkas",0.68115212227667,"kds","kauthas"
"kas","mokas",0.523171105527404,"kah","mokgs"
"kas","alkas",0.519387168722569,"kas","ilkas"
"kas","takas",0.516413973793289,"kds","takaģ"
"kas","velkas",0.479020616802561,"kaģ","velkns"
"mēs","ärä",0.425159852897489,"mņs","äpä"
"mēs","izpārdošana",0.364410840669761,"mēb","izpārddšana"
"mēs","täläk",0.360911172293787,"mēz","tälät"
"mēs","sojuz",0.360116519846004,"mēļ","sejuz"
"mēs","ieplānot",0.35808819752752,"tēs","eeplānot"
"kad","jelkad",0.520131831274117,"žad","jelkai"
"kad","kadet",0.516675930266869,"xad","jadet"
"kad","kads",0.450660642687783,"kud","kadz"
"kad","pagājušogad",0.412389278936786,"kjd","pagājušogaj"
"kad","pagājušonakt",0.394463734846697,"kaē","pagājušonškt"
"vēl","vēi",0.669087776884975,"nēl","vēk"
"vēl","vēlu",0.625074458543239,"iēl","vŗlu"
"vēl","vēls",0.603907906186041,"ļēl","vējs"
"vēl","vēlme",0.532804461232972,"ļēl","vēlve"
"vēl","vēlam",0.449913902926686,"vdl","vtlam"
"labi","iabi",0.642657922723234,"laki","icbi"
"labi","labot",0.511943414254199,"laji","lagot"
"labi","nelabi",0.503554977939478,"lkbi","nzlabi"
"labi","labs",0.490788012401705,"laci","žabs"
"labi","labirints",0.481871536690645,"ēabi","labirints"
"tur","turpat",0.634148059758254,"tļr","turiat"
"tur","turp",0.617005730490554,"ùur","turä"
"tur","tuk",0.529689588457751,"ńur","tâk"
"tur","turēt",0.505128437601058,"tuē","vurēt"
"tur","turat",0.49552610127042,"ļur","įurat"
"šeit","éeit",0.66287554512111,"šešt","évit"
"šeit","eit",0.635992545349173,"šeip","ezt"
"šeit","ùeit",0.614448649491561,"šect","peit"
"šeit","seit",0.578742494335816,"āeit","seil"
"šeit","¹eit",0.546158503944413,"šcit","¹čit"
"ļoti","įoti",0.684947259533793,"ļkti","įoci"
"ļoti","loti",0.662468352270273,"coti","ùoti"
"ļoti","īoti",0.624935704199081,"ļcti","įoti"
