"cue","target","cosine","fake_cue","fake_target"
"ovdje","tamo",0.663786965837186,"ovčje","tato"
"ovdje","ondje",0.62861682597486,"ovgje","ontje"
"ovdje","dolje",0.504622699631663,"švdje","drlje"
"ovdje","vani",0.493435152069984,"ovdja","vsni"
"ovdje","gdje",0.448468035848425,"ćvdje","gdče"
"kad","tad",0.55335546681063,"had","taw"
"kad","dok",0.546598035083527,"kdd","dyk"
"kad","otkad",0.487621485311937,"kab","otkkd"
"kad","otkada",0.482449982685794,"kšd","oćkada"
"kad","onda",0.47249924123952,"rad","onha"
"sada","sad",0.910052827628132,"snda","vad"
"sada","onda",0.583541860491792,"sača","ondp"
"sada","trenutno",0.579758372810344,"saxa","frenutno"
"sada","danas",0.50641545173677,"sava","sanas"
"sada","trenutačno",0.490652671766393,"žada","ttenutačno"
"dobro","odlično",0.6780988989639,"dožro","odliino"
"dobro","sjajno",0.644327948711039,"dosro","sjljno"
"dobro","izvrsno",0.603864023615756,"dobre","izvrsno"
"dobro","loše",0.599890106556408,"dobco","voše"
"dobro","lijepo",0.59075215250633,"hobro","lijeph"
"reći","kazati",0.743611484921594,"rpći","kađati"
"reći","ispričati",0.603989905139748,"rećo","ispričazi"
"reći","govoriti",0.564045708279282,"rećj","govcriti"
"reći","reæi",0.561485441571119,"reći","reli"
"reći","objasniti",0.549991596113039,"reæi","opjasniti"
"onda","zatim",0.629481603701052,"onđa","zotim"
"onda","sad",0.609373005776978,"jnda","snd"
"onda","odjednom",0.60736657141044,"ćnda","odjedntm"
"onda","sada",0.583541860491792,"oxda","sadc"
"onda","potom",0.566197020052289,"ondm","potvm"
"zašto","zasto",0.746961800697168,"zaštm","zasvo"
"zašto","zato",0.588431972265866,"žašto","zvto"
"zašto","možda",0.489676017531099,"lašto","iožda"
"zašto","onda",0.478049791987013,"zašjo","ondy"
"zašto","zaąto",0.477260745984269,"zašao","zaąto"
"možda","mozda",0.712656656098271,"možna","mouda"
"možda","moda",0.58920238506074,"uožda","čoda"
"možda","vjerojatno",0.557498805719104,"jožda","vaerojatno"
"možda","vjerovatno",0.53209347760189,"mbžda","vjerovatns"
"možda","zato",0.521143116852958,"možda","pato"
"malo","malko",0.745958593520083,"mčlo","malbo"
"malo","malčice",0.666366474644247,"dalo","malčice"
"malo","pomalo",0.549914913766381,"mapo","pčmalo"
"malo","premalo",0.450401942177965,"mago","vremalo"
"malo","dosta",0.424842127373748,"salo","dosta"
"tamo","ondje",0.704444565026849,"temo","ondji"
"tamo","ovdje",0.663786965837186,"tami","ovdjk"
"tamo","dolje",0.602486207057572,"tažo","došje"
"tamo","vani",0.591359965006073,"tmmo","vahi"
"tamo","gdje",0.566258515125214,"tkmo","gdle"
"dok","kad",0.546598035083527,"dik","kaf"
"dok","dotad",0.423482899291956,"dyk","dotađ"
"dok","dugo",0.390970892588354,"zok","dujo"
"dok","predugo",0.381717339623515,"dox","zredugo"
"dok","privremeno",0.377584728712724,"dog","privremeeo"
"gdje","tamo",0.566258515125214,"sdje","namo"
"gdje","kud",0.544017703949064,"gdjk","cud"
"gdje","ondje",0.537221062871146,"gdjc","ojdje"
"gdje","negdje",0.490094782882484,"gdde","fegdje"
"gdje","drugdje",0.481653938186153,"gdje","drugdjž"
"jedan","nijedan",0.532069187038132,"jedkn","niiedan"
"jedan","ijedan",0.507745611578998,"jećan","ijeman"
"jedan","jeda",0.466571334761071,"jedap","đeda"
"jedan","dva",0.427447277722788,"jedaž","hva"
"jedan","pet",0.417231415385619,"jedcn","pet"
"zbog","nizašto",0.416384672710359,"zbos","nizaštn"
"zbog","zabog",0.39679795814267,"cbog","zwbog"
"zbog","odreći",0.372241284908161,"zčog","olreći"
"zbog","posljedica",0.36938687398503,"zboj","posljediya"
"zbog","radi",0.369301091490668,"jbog","raki"
"sad","sada",0.910052827628132,"sae","oada"
"sad","onda",0.609373005776978,"xad","odda"
"sad","trenutno",0.495003005879058,"fad","frenutno"
