"target_word","avgRT_related","avgRT_unrelated","avgZ_RT_related","avgZ_RT_unrelated","samplesize_related","samplesize_unrelated","seRT_related","seRT_unrelated","seZ_RT_related","seZ_RT_unrelated","avgRT_prime","avgZ_prime"
"abdominal",690,NA,-0.673524837432446,NA,1,NA,NA,NA,NA,NA,NA,NA
"ability",593.336750002214,NA,-0.353904593541164,NA,4,NA,50.6630497440524,NA,0.276315006080865,NA,NA,NA
"absence",575.354750000727,NA,-0.390463841038108,NA,4,NA,20.5354598248652,NA,0.0465862860011961,NA,NA,NA
"absurd",482.180000008957,NA,-0.599455690396321,NA,2,NA,131.819999991043,NA,0.698833463071126,NA,NA,NA
"accept",494.463163928331,NA,-0.588516128248772,NA,61,NA,14.4556686713782,NA,0.0529266908862262,NA,NA,NA
"accident",445.866666653155,NA,-0.724410956375029,NA,6,NA,33.6251300897586,NA,0.144805089554644,NA,NA,NA
"accompany",601.807500002978,NA,-0.272947571522712,NA,2,NA,94.8585000089515,NA,0.435485663348538,NA,NA,NA
"accusation",575.936499967181,NA,-0.218400899658173,NA,6,NA,35.0400920747396,NA,0.143806568157862,NA,NA,NA
"act",413.198999976157,NA,-0.979772679852706,NA,2,NA,11.76600002381,NA,0.155088132424671,NA,NA,NA
"activate",530.343599999696,NA,-0.665286748118583,NA,5,NA,37.3655983365256,NA,0.096855490845868,NA,NA,NA
"activity",496.264696967936,NA,-0.623768504289734,NA,66,NA,14.9979318992923,NA,0.0486123272309182,NA,NA,NA
"actor",438.132000000049,NA,-0.964462093693212,NA,4,NA,62.755313910418,NA,0.373343983535525,NA,NA,NA
"additional",622.314000000013,NA,-0.397132740853502,NA,1,NA,NA,NA,NA,NA,NA,NA
"administrative",695.606000005966,NA,0.158938311853185,NA,1,NA,NA,NA,NA,NA,NA,NA
"adrenaline",636.633416636614,NA,-0.15269469280404,NA,12,NA,27.5980862142568,NA,0.102687290802194,NA,NA,NA
"advise",599.985374992954,NA,-0.287157129479736,NA,8,NA,58.3011055418588,NA,0.19809706966003,NA,NA,NA
"agency",588.261500003893,NA,-0.388241327687331,NA,8,NA,57.7803512047002,NA,0.189633053856886,NA,NA,NA
"agreement",580.418999996968,NA,-0.539272730671258,NA,1,NA,NA,NA,NA,NA,NA,NA
"airport",495.858000000298,NA,-0.928777733850146,NA,1,NA,NA,NA,NA,NA,NA,NA
"alarm",465.50199998822,NA,-0.825151515717934,NA,2,NA,53.4980000120125,NA,0.204988945676583,NA,NA,NA
"alibi",501.914000000106,NA,-0.883783519827605,NA,1,NA,NA,NA,NA,NA,NA,NA
"alien",662.270999999833,NA,1.30968859661334,NA,1,NA,NA,NA,NA,NA,NA,NA
"alley",828.19900000596,NA,0.609226635652159,NA,1,NA,NA,NA,NA,NA,NA,NA
"amazing",476.614749929911,NA,-0.597649658667825,NA,4,NA,21.0327386615341,NA,0.116040831727608,NA,NA,NA
"amount",461.126249924055,NA,-0.780761757363962,NA,4,NA,23.318899806814,NA,0.0964585892849542,NA,NA,NA
"analysis",577,NA,-0.398843231355873,NA,1,NA,NA,NA,NA,NA,NA,NA
"angry",548.232000000998,NA,-0.550289879066317,NA,3,NA,100.3577174508,NA,0.369128499436153,NA,NA,NA
"animal",438.629800002417,NA,-0.804313553449668,NA,5,NA,41.5007212239378,NA,0.169774895485375,NA,NA,NA
"ant",436.203666666173,NA,-0.677953948945646,NA,3,NA,26.1621472274828,NA,0.206436384892323,NA,NA,NA
"apartment",473.798999999999,NA,-0.367118793299704,NA,1,NA,NA,NA,NA,NA,NA,NA
"appreciate",597.653999999253,NA,-0.282520128079038,NA,2,NA,21.85400000072,NA,0.272423795161692,NA,NA,NA
"approval",469.057666666534,NA,-0.765614549420385,NA,6,NA,23.813031872553,NA,0.0707970971913141,NA,NA,NA
