tr_cue,tr_target,type,cue_type,target_type,tr_cosine
azımsamak,abartmak,related,word,word,
abla,abi,related,word,word,0.617457162133019
saçma,absürt,related,word,word,0.522781089059453
yorgun,acıkmış,related,word,word,0.429555856263233
acil,aciliyet,related,word,word,0.504731578844758
yetersizlik,yapamayan,related,word,word,0.236386666184273
edepli,dürüst,related,word,word,0.42286700350314
açıkça,besbelli,related,word,word,0.366847709765466
vahşi,acımasız,related,word,word,0.573626711545074
zavallı,acınası,related,word,word,0.578581713988857
intikam,adalet,related,word,word,0.445210834004069
hırsız,suçlu,related,word,word,0.397534991334661
hormon,adrenalin,related,word,word,0.573133350512771
numara,adres,related,word,word,0.418793630946794
internet,ağ,related,word,word,0.426064910319592
çalı,ağaç,related,word,word,0.43350592813519
ağır,ağır şekilde,related,word,word,
ızdırap,sancı,related,word,word,0.449629719012344
kabile,aile,related,word,word,0.351380797302642
firma,ajans,related,word,word,0.559293306028662
gece,akşam,related,word,word,0.788137298014488
ses,aksan,related,word,word,0.269989047219009
zıt,aksine,related,word,word,0.20565922869586
taşınmak,nakletmek,related,word,word,0.365780051388222
tetiklemek,etkinleştirmek,related,word,word,0.576398352015558
aktif,aktivite,related,word,word,0.383504108642116
yazar,aktör,related,word,word,0.460989016042855
alan,bölge,related,word,word,0.400182468650002
tetikte,alarm,related,word,word,0.282766251945525
naif,alaycı,related,word,word,0.346991201428272
generavite,albay,related,word,word,
atme,alev,related,word,word,0.144560202367092
bravo,alfa,related,word,word,0.465307411960181
güdü,mazeret,related,word,word,0.216769283929792
satıcı,alıcı,related,word,word,0.583170584282717
çekici,alımlı,related,word,word,0.474987851488169
kader,yazgı,related,word,word,0.589483817745709
üst,alt,related,word,word,0.649211660080742
ameliyat etmek,ameliyat,related,word,word,
afrika,amerika,related,word,word,0.585616394146841
otopsi,analiz,related,word,word,0.414503938411598
kanun,anayasa,related,word,word,0.567863339006068
fark etmek,anlamak,related,word,word,
sözleşme,anlaşma,related,word,word,0.728450610359324
anlaşmazlık,çekişme,related,word,word,0.577205365515824
baba,anne,related,word,word,0.893623051400609
ev,apartman,related,word,word,0.597245683085878
toy,aptal,related,word,word,0.346831807398026
delilik,aptallık,related,word,word,0.65221489484504
araç,araba,related,word,word,0.765383559454051
kasım,aralık,related,word,word,0.572665723466319
analist,araştırmacı,related,word,word,0.527337893183838
incelemek,araştırmak,related,word,word,0.77148473964363
başarı,başarısızlık,related,word,word,0.661700715122047
ön,arka,related,word,word,0.674474999522805
iş arkadaşı,arkadaş,related,word,word,
kibar,dostane,related,word,word,0.47593757028251
toplardamar,atardamar,related,word,word,0.771186383591086
sekreter,asistan,related,word,word,0.569328470337945
panzehir,aşı,related,word,word,0.46997645011173
nefret,aşk,related,word,word,0.390999197150092
sivil,askeri,related,word,word,0.564013058726126
ejderha,aslan,related,word,word,0.462024330945905
paralı asker,suikastçi,related,word,word,
eşek,at,related,word,word,0.36612397041443
öksürük,ateş,related,word,word,0.242764523813772
pasifik,atlantik,related,word,word,0.62780685678359
tuvalet,lavabo,related,word,word,0.674700090634485
çevre,atmosfer,related,word,word,0.420026164508666
av,avcı,related,word,word,0.656897754566027
bot,ayakkabı,related,word,word,0.518303464247307
emekli maaşı,aylık maaş,related,word,word,
yansıma,ayna,related,word,word,0.54869012894739
sağ,sol,related,word,word,0.741980270906951
arttırmak,azaltmak,related,word,word,0.717478047559502
amca,baba,related,word,word,0.506038590311897
anne,baba,related,word,word,0.893623051400609
irtibat,iletişim,related,word,word,0.690706457128502
hayırseverlik,bağış,related,word,word,0.495141124529569
sarmak,bağlamak,related,word,word,0.518181216491543
