"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
25,"first_blank","first_blank-aaf","aaf",3,7,"first_blank-chuc","chuc",7,0,1,1,"aafrika","chucrika"
675,"first_blank","first_blank-aa","aa",2,25,"first_blank-res","res",25,0,1,1,"aare","resre"
908,"mi","mi-selt","selt",3,9,"mi-tiiv","tiiv",5,4,0,1,"äärmiselt","äärmitiiv"
760,"ta","ta-päev","päev",3,2,"ta-vaim","vaim",2,0,0,1,"aastapäev","aastavaim"
869,"first_blank","first_blank-aato","aato",2,9,"first_blank-ahel","ahel",9,0,0,1,"aatomi-","ahelmi"
3,"elu","elu-la","la",5,1,"võibol-la","võibol",1,0,3,1,"abielulahutus","abivõibollahutus"
494,"kaa","kaa-sa","sa",3,28,"täht-sa","täht",18,10,1,1,"abikaasa","abitähtsa"
989,"abi","abi-tu","tu",2,6,"ves-tu","ves",6,0,0,1,"abitu","vestu"
784,"luut","luut-selt","selt",4,1,"stiil-selt","stiil",1,0,1,1,"absoluutselt","absostiilselt"
627,"kaat","kaat-last_blank","last_blank",3,6,"lius-last_blank","lius",6,0,0,1,"advokaat","advolius"
152,"ja","ja-lt","lt",1,1,"ja-re","re",1,0,0,1,"aeg-ajalt","aegajare"
264,"first_blank","first_blank-aeg","aeg",3,36,"first_blank-liik","liik",36,0,1,1,"aeglane","liiklane"
265,"la","la-selt","selt",3,7,"la-mise","mise",8,1,0,1,"aeglaselt","aeglamise"
79,"first_blank","first_blank-ag","ag",1,35,"first_blank-we","we",35,0,0,1,"agent","weent"
301,"ahe","ahe-la","la",2,6,"dek-la","dek",6,0,0,1,"ahela","dekla"
601,"ah","ah-i","i",1,2,"kk-i","kk",2,0,0,1,"ahi","kki"
129,"first_blank","first_blank-ah","ah",1,71,"first_blank-fo","fo",72,1,0,1,"ahv","fov"
166,"ds","ds-last_blank","last_blank",1,8,"ye-last_blank","ye",8,0,0,1,"aids","aiye"
5,"ai","ai-ta","ta",3,26,"tuse-ta","tuse",11,15,2,1,"aitama","tusetama"
611,"aja","aja-kir","kir",4,32,"aja-looks","looks",1,31,2,1,"ajakirjandus","ajalooksjandus"
849,"aj","aj-u","u",1,1,"rk-u","rk",1,0,0,1,"aju","rku"
874,"ak","ak-en","en",1,2,"ma-en","ma",2,0,0,1,"aken","maen"
535,"first_blank","first_blank-äk","äk",2,3,"first_blank-hac","hac",3,0,1,1,"äkki","hacki"
812,"tiiv","tiiv-ne","ne",3,23,"väär-ne","väär",19,4,0,1,"aktiivne","akväärne"
853,"al","al-a","a",1,5,"ju-a","ju",6,1,0,1,"ala","jua"
389,"ala","ala-hin","hin",4,13,"enese-hin","enese",4,9,2,1,"alahinnata","enesehinnata"
772,"first_blank","first_blank-aland","aland",2,8,"first_blank-ühend","ühend",8,0,0,1,"alandlik","ühendlik"
18,"first_blank","first_blank-alas","alas",2,12,"first_blank-isan","isan",12,0,0,1,"alasti","isanti"
586,"ala","ala-ti","ti",2,3,"mid-ti","mid",3,0,0,1,"alati","midti"
374,"bum","bum-last_blank","last_blank",2,2,"noi-last_blank","noi",2,0,0,1,"album","alnoi"
