"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
726,"first_blank","first_blank-dv","dv",1,1,"first_blank-ои","ои",1,0,0,1,"dvd","оиd"
219,"ay","ay-bo","bo",1,1,"ay-st","st",1,0,0,1,"playboy","playsty"
640,"лют","лют-но","но",4,2,"ораль-но","ораль",2,0,2,1,"абсолютно","абсоорально"
21,"то","то-граф","граф",3,3,"то-вишь","вишь",3,0,0,1,"автограф","автовишь"
20,"тор","тор-last_blank","last_blank",2,110,"кам-last_blank","кам",111,1,0,1,"автор","авкам"
3,"ен","ен-т","т",1,4,"ос-т","ос",4,0,0,1,"агент","агост"
623,"ция","ция-last_blank","last_blank",5,171,"братьс-last_blank","братьс",3,168,3,1,"администрация","администрабратьс"
430,"тив","тив-ный","ный",3,22,"наль-ный","наль",12,10,1,1,"активный","акнальный"
455,"first_blank","first_blank-аку","аку",2,14,"first_blank-сыг","сыг",14,0,0,1,"акула","сыгла"
829,"еста","еста-last_blank","last_blank",6,1,"тepecнo-last_blank","тepecнo",1,0,3,1,"акция протеста","акция проттepecнo"
6,"голь","голь-last_blank","last_blank",3,4,"нент-last_blank","нент",4,0,0,1,"алкоголь","алконент"
569,"маз","маз-last_blank","last_blank",2,1,"арк-last_blank","арк",1,0,0,1,"алмаз","аларк"
660,"first_blank","first_blank-аль","аль",2,65,"first_blank-дра","дра",65,0,0,1,"альбом","драбом"
951,"first_blank","first_blank-ана","ана",3,45,"first_blank-вклю","вклю",45,0,1,1,"аналитик","вклюлитик"
269,"гич","гич-ный","ный",4,3,"смерт-ный","смерт",3,0,2,1,"аналогичный","аналосмертный"
992,"хия","хия-last_blank","last_blank",2,6,"реи-last_blank","реи",6,0,0,1,"анархия","анарреи"
967,"ана","ана-то","то",3,5,"флир-то","флир",5,0,1,1,"анатомия","флиртомия"
13,"гел","гел-last_blank","last_blank",2,3,"вык-last_blank","вык",3,0,0,1,"ангел","анвык"
325,"глий","глий-ский","ский",3,1,"араб-ский","араб",1,0,0,1,"английский","анарабский"
14,"first_blank","first_blank-ано","ано",2,19,"first_blank-дар","дар",19,0,0,1,"аноним","дарним"
975,"аре","аре-на","на",2,1,"бод-на","бод",1,0,0,1,"арена","бодна"
989,"се","се-нал","нал",3,1,"се-лоне","лоне",1,0,1,1,"арсенал","арселоне"
18,"факт","факт-last_blank","last_blank",3,1,"гилл-last_blank","гилл",1,0,0,1,"артефакт","артегилл"
725,"пи","пи-рин","рин",3,1,"пи-таль","таль",1,0,1,1,"аспирин","аспиталь"
675,"навт","навт-last_blank","last_blank",3,2,"всем-last_blank","всем",2,0,0,1,"астронавт","астровсем"
895,"first_blank","first_blank-атом","атом",2,8,"first_blank-стэн","стэн",8,0,0,1,"атомный","стэнный"
666,"first_blank","first_blank-аук","аук",3,5,"first_blank-голь","голь",5,0,1,1,"аукцион","гольцион"
405,"first_blank","first_blank-аф","аф",3,27,"first_blank-свет","свет",27,0,2,1,"африка","светрика"
365,"ба","ба-боч","боч",3,6,"ба-вить","вить",6,0,1,1,"бабочка","бавитька"
288,"ба","ба-к","к",1,1,"хь-к","хь",1,0,0,1,"бак","хьк"
23,"нан","нан-last_blank","last_blank",2,10,"етс-last_blank","етс",10,0,0,1,"банан","баетс"
601,"first_blank","first_blank-бан","бан",2,74,"first_blank-глу","глу",74,0,0,1,"банда","глуда"
24,"кир","кир-last_blank","last_blank",2,1,"жое-last_blank","жое",1,0,0,1,"банкир","банжое"
25,"ело","ело-last_blank","last_blank",5,1,"пяпппп-last_blank","пяпппп",1,0,3,1,"банковское дело","банковское дпяпппп"
756,"рон","рон-last_blank","last_blank",2,28,"пал-last_blank","пал",28,0,0,1,"барон","бапал"
497,"бол","бол-last_blank","last_blank",3,7,"стия-last_blank","стия",7,0,1,1,"баскетбол","баскетстия"
527,"first_blank","first_blank-баш","баш",2,13,"first_blank-оли","оли",13,0,0,1,"башня","олиня"
539,"гать","гать-last_blank","last_blank",2,50,"стер-last_blank","стер",51,1,0,2,"бегать","бестер"
680,"бе","бе-да","да",2,4,"оза-да","оза",4,0,1,1,"беда","озада"
924,"бед","бед-ность","ность",2,1,"ван-ность","ван",1,0,0,1,"бедность","ванность"
412,"бед","бед-ных","ных",2,1,"зоч-ных","зоч",1,0,0,1,"бедных","зочных"
746,"жать","жать-last_blank","last_blank",2,75,"ским-last_blank","ским",76,1,0,2,"бежать","беским"
242,"бе","бе-жен","жен",3,6,"бе-рёшь","рёшь",6,0,1,1,"беженцы","берёшьцы"
728,"опас","опас-но","но",3,14,"маль-но","маль",14,0,0,1,"безопасно","безмально"
547,"опас","опас-ность","ность",3,3,"наль-ность","наль",4,1,0,1,"безопасность","безнальность"
743,"first_blank","first_blank-безу","безу",2,5,"first_blank-ерун","ерун",5,0,0,1,"безумие","ерунмие"
841,"бел","бел-ка","ка",2,2,"роз-ка","роз",2,0,0,1,"белка","розка"
789,"бе","бе-лок","лок",2,1,"бе-вер","вер",1,0,0,1,"белок","бевер"
322,"бе","бе-лый","лый",2,1,"бе-вер","вер",1,0,0,1,"белый","бевер"
512,"се","се-да","да",3,17,"се-рьёз","рьёз",21,4,2,1,"беседа","бесерьёз"
60,"ство","ство-last_blank","last_blank",4,189,"гнать-last_blank","гнать",14,175,1,1,"беспокойство","беспокойгнать"
868,"лез","лез-ный","ный",4,3,"траль-ный","траль",3,0,2,1,"бесполезный","беспотральный"
922,"мощ","мощ-ный","ный",4,2,"страш-ный","страш",2,0,2,1,"беспомощный","беспострашный"
150,"first_blank","first_blank-биб","биб",4,19,"first_blank-разыг","разыг",19,0,2,1,"библиотека","разыглиотека"
501,"first_blank","first_blank-биб","биб",2,19,"first_blank-уле","уле",19,0,0,1,"библия","улелия"
124,"дар","дар-ный","ный",4,3,"крест-ный","крест",2,1,2,1,"благодарный","благокрестный"
186,"род","род-ный","ный",4,9,"смерт-ный","смерт",3,6,2,1,"благородный","благосмертный"
654,"ность","ность-last_blank","last_blank",6,242,"ставлет-last_blank","ставлет",2,240,2,1,"благотворительность","благотворительставлет"
773,"бл","бл-ес","ес",1,1,"бл-ок","ок",1,0,0,1,"блеск","блокк"
121,"бо","бо-г","г",1,1,"ей-г","ей",1,0,0,1,"бог","ейг"
54,"бо","бо-й","й",1,1,"ер-й","ер",1,0,0,1,"бой","ерй"
340,"боль","боль-ни","ни",3,10,"след-ни","след",11,1,0,1,"больница","следница"
810,"боль","боль-ной","ной",2,5,"боль-шин","шин",5,0,0,1,"больной","большин"
783,"first_blank","first_blank-боль","боль",3,61,"first_blank-опре","опре",62,1,0,1,"большинство","опрешинство"
583,"шой","шой-last_blank","last_blank",2,7,"жми-last_blank","жми",7,0,0,1,"большой","больжми"
