"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
220,"first_blank","first_blank-..","..",1,1,"first_blank-얹은","얹은",1,0,0,1,"...을 더한","얹은.을 더한"
964,"first_blank","first_blank-~ ","~ ",1,1,"first_blank-밥만","밥만",1,0,0,1,"~ 할 수있게하다","밥만할 수있게하다"
862,"first_blank","first_blank-~받","~받",1,1,"first_blank-군다","군다",1,0,0,1,"~받을 만하다","군다을 만하다"
503,"first_blank","first_blank-6 ","6 ",1,1,"first_blank-발키","발키",1,0,0,1,"6 월","발키월"
962,"a.","a.-last_blank","last_blank",1,1,"폴락-last_blank","폴락",1,0,0,1,"dna.","dn폴락"
726,"first_blank","first_blank-dv","dv",1,2,"first_blank-네브","네브",2,0,0,1,"dvd","네브d"
794,"o.","o.-last_blank","last_blank",1,1,"근무-last_blank","근무",1,0,0,1,"romeo.","rome근무"
307,"first_blank","first_blank-uf","uf",1,3,"first_blank-안톤","안톤",3,0,0,1,"ufo.","안톤o."
767,"first_blank","first_blank-가게","가게",1,13,"first_blank-모니","모니",13,0,0,1,"가게","모니"
973,"first_blank","first_blank-가끔","가끔",1,5,"first_blank-너였","너였",5,0,0,1,"가끔","너였"
412,"first_blank","first_blank-가난","가난",1,3,"first_blank-마트","마트",3,0,0,1,"가난한","마트한"
586,"first_blank","first_blank-가능","가능",1,47,"first_blank-방법","방법",47,0,0,1,"가능성","방법성"
221,"키다","키다-last_blank","last_blank",1,1,"길러-last_blank","길러",1,0,0,1,"가리키다","가리길러"
490,"가수","가수-last_blank","last_blank",1,1,"령께-last_blank","령께",1,0,0,1,"가수","령께"
600,"가스","가스-last_blank","last_blank",1,2,"브랑-last_blank","브랑",2,0,0,1,"가스","브랑"
796,"오다","오다-last_blank","last_blank",1,2,"해제-last_blank","해제",2,0,0,1,"가져오다","가져해제"
104,"가짜","가짜-last_blank","last_blank",1,1,"더에-last_blank","더에",1,0,0,1,"가짜","더에"
38,"first_blank","first_blank-가톨","가톨",1,1,"first_blank-서를","서를",1,0,0,1,"가톨릭","서를릭"
637,"first_blank","first_blank-간단","간단",1,18,"first_blank-빠르","빠르",18,0,0,1,"간단히","빠르히"
956,"간식","간식-last_blank","last_blank",1,1,"교인-last_blank","교인",1,0,0,1,"간식","교인"
154,"first_blank","first_blank-갇혀","갇혀",1,9,"first_blank-쫓겨","쫓겨",9,0,0,1,"갇혀있다","쫓겨있다"
778,"갈등","갈등-last_blank","last_blank",1,1,"틴은-last_blank","틴은",1,0,0,1,"갈등","틴은"
33,"갈색","갈색-last_blank","last_blank",1,1,"픽에-last_blank","픽에",1,0,0,1,"갈색","픽에"
619,"first_blank","first_blank-감동","감동",1,9,"first_blank-들렀","들렀",9,0,0,1,"감동적인","들렀적인"
750,"감자","감자-last_blank","last_blank",1,1,"카인-last_blank","카인",1,0,0,1,"감자","카인"
628,"first_blank","first_blank-감지","감지",1,12,"first_blank-환상","환상",12,0,0,1,"감지기","환상기"
