"cs_cue","cs_target","cs_fake_target","cs_fake_cue","en_cue","en_target"
"absolutně","zcela","trpla","absochvalně","absolutely","completely"
"afrika","amerika","oslarika","uvolrika","africa","america"
"ahoj","sbohem","amihem","ahcá","hello","bye"
"aids","hiv","káv","aičo","aids","hiv"
"akt","nahý","navět","řít","nude","naked"
"aktivní","aktivita","aktiplachta","akcentní","active","activity"
"aktovka","kufr","kujě","akzpacka","briefcase","suitcase"
"album","píseň","pívol","aljah","album","song"
"alkohol","lék","erk","alkobých","alcohol","drug"
"amatér","profesionální","profesiorescenční","pustér","amateur","professional"
"ambasáda","ministerstvo","ministerfield","ambagart","embassy","ministry"
"analytik","vyšetřovatel","vybouchlřovatel","analyjdou","analyst","investigator"
"anarchie","kapitalismus","kapitalistečnej","asischie","anarchy","capitalism"
"anatomie","psychologie","psyostřelogie","anatokrát","anatomy","psychology"
"anděl","ďábel","ďálan","anšit","angel","devil"
"angličtina","francouzština","schopcouzština","angantarktina","english","french"
"anonymní","neznámý","nechutmý","anopulsní","anonymous","unknown"
"aplikovat","použití","pouopouští","skaukovat","apply","use"
"aréna","bojiště","botáchtě","štana","arena","battlefield"
"artefakt","medailon","medaičích","artedink","artifact","medallion"
"arzenál","zbrojnice","zdvihnice","arzebrat","arsenal","armory"
"aspirin","morfium","graffium","aspichod","aspirin","morphine"
"astronaut","pilot","pidér","astrohráls","astronaut","pilot"
"atomový","jaderný","jahnusný","zmlámový","atomic","nuclear"
"aukce","prodej","protat","játce","auction","sale"
"autogram","fotograf","fotolest","autokost","autograph","photographer"
"autor","herec","hetva","auvej","author","actor"
"avenue","ulice","mauce","avelěj","avenue","street"
"báječné","fantastický","fanšlechtický","báhrozné","wonderful","fantastic"
"banán","jahoda","jaovláda","baphe","banana","strawberry"
"bankéř","investor","inproctor","banřáb","banker","investor"
"bankovní","finanční","fipoutní","stříkovní","banking","financial"
"baron","hraběnka","hrasmyčka","batáš","baron","countess"
"basketball","fotbal","verbal","basketdých","basketball","football"
"básník","spisovatel","vlastsovatel","cvoník","poet","writer"
"běh","procházka","prošpička","díh","run","walk"
"bestie","zvíře","linře","hintie","beast","animal"
"beton","ocel","kůel","beším","concrete","steel"
"bezmocný","bezmocný","bezstupný","bezstupný","helpless","powerless"
"bezpečnostní","bezpečnost","bezpečcích","bezpečstrážní","security","safety"
"bezpečný","zajistit","zavražtit","bezstatný","safe","secure"
"bezpráví","nespravedlivý","neomdlelvedlivý","bezútěšví","injustice","unfair"
"bible","rezervovat","regustavovat","upále","bible","book"
"bílý","černá","dějná","linlý","white","black"
"biskup","kardinál","kardirant","bishry","bishop","cardinal"
"blahopřání","pozdravit","pozdratel","blahokagemní","congratulate","greet"
"bláto","písek","pímal","ronto","mud","sand"
"blázen","idiot","tučot","kvazen","fool","idiot"
"blesk","hrom","hráb","presk","lightning","thunder"
"boj","prát se","prátníz","řej","combat","fight"
"bombardovat","explozivní","explostřední","vlastbardovat","bomb","explosive"
"bonbón","roztomilý","shingtomilý","boraón","sweet","cute"
"bonus","odměna","odbrenna","bohle","bonus","reward"
"boot","boty","denty","bochu","boot","shoe"
"box","taška","řezka","rix","box","bag"
"brambor","rajče","pruče","bramcíš","potato","tomato"
"bravo","alfa","alnáš","přívo","bravo","alpha"
"brutální","krutý","ometý","chyttální","brutal","cruel"
"brýle","víčko","kdeko","guile","glasses","cap"
"budoucnost","minulý","miskvělý","buzdatnost","future","past"
"bůh","božský","nutský","lěh","god","divine"
"buňka","vězení","scházení","decka","cell","prison"
"caesar","řím","gim","caeřád","caesar","rome"
"celkový","kompletní","komosadní","sladkový","total","complete"
"cement","plastický","srovtický","cekrát","cement","plastic"
"cenný","důležité","důlesprosté","směný","valuable","important"
"čerpadlo","hadice","bloudice","čerpažích","pump","hose"
"čerstvý","obnovit","obnocích","čerscoll","fresh","refresh"
"červ","had","ažd","čeňů","worm","snake"
"červen","červenec","červejdou","čersil","june","july"
"červené","žlutá","akatá","střevené","red","yellow"
"česnek","cibule","ciunáhle","česnrý","garlic","onion"
"cestující","řidič","řižes","strážtující","passenger","driver"
"chaos","zmatek","trátek","nejos","chaos","confusion"
"charakter","osobnost","umožnost","střerakter","character","personality"
"charitativní","dar","arr","daiquiritativní","charity","donation"
"chata","paluba","palučišt","hista","cabin","deck"
"chemie","biologie","bioloostro","formie","chemistry","biology"
"chemikálie","biologický","bioloostrovký","jizvamikálie","chemical","biological"
"chirurg","doktor","zkutor","chinusi","surgeon","doctor"
"chlapci","dívky","ludky","chránci","boys","girls"
