"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
811,"uỷ","uỷ-last_blank","last_blank",1,2,"él-last_blank","él",2,0,0,1,"ác quỷ","ác qél"
386,"first_blank","first_blank-adre","adre",4,3,"first_blank-tường","tường",3,0,1,1,"adrenaline","tườngnaline"
296,"first_blank","first_blank-ali","ali",2,32,"first_blank-làm","làm",32,0,0,1,"alibi","làmbi"
273,"al","al-ie","ie",1,3,"al-go","go",3,0,0,1,"alien","algon"
84,"pha","pha-last_blank","last_blank",2,2,"tuỳ-last_blank","tuỳ",2,0,0,1,"alpha","altuỳ"
395,"first_blank","first_blank-âm ","âm ",2,1,"first_blank-uhd","uhd",1,0,0,1,"âm nhạc","uhdnhạc"
851,"first_blank","first_blank-âm ","âm ",2,1,"first_blank-ơik","ơik",1,0,0,1,"âm thanh","ơikthanh"
155,"first_blank","first_blank-ăn","ăn",1,24,"first_blank-lắ","lắ",25,1,0,1,"ăn","lắ"
459," núp"," núp-last_blank","last_blank",2,1,"hđẹp-last_blank","hđẹp",1,0,0,1,"ẩn núp","ẩnhđẹp"
664,"m họ","m họ-last_blank","last_blank",3,1,"nông-last_blank","nông",1,0,0,1,"anh em họ","anh enông"
82,"h sáng","h sáng-last_blank","last_blank",2,1,"hchẳng-last_blank","hchẳng",1,0,0,1,"ánh sáng","ánhchẳng"
140,"h trai","h trai-last_blank","last_blank",2,1,"haurói-last_blank","haurói",1,0,0,1,"anh trai","anhaurói"
15," giác"," giác-last_blank","last_blank",2,1,"hscác-last_blank","hscác",1,0,0,1,"ảo giác","ảohscác"
16,"first_blank","first_blank-áo ","áo ",2,1,"first_blank-tuế","tuế",1,0,0,1,"áo khoác","tuếkhoác"
988,"first_blank","first_blank-áp","áp",1,2,"first_blank-mº","mº",2,0,0,1,"áp lực","mº lực"
18,"mo","mo-ry","ry",3,2,"mo-witz","witz",2,0,2,1,"armory","armowitz"
781,"tic","tic-last_blank","last_blank",3,78,"ford-last_blank","ford",78,0,1,1,"atlantic","atlanford"
316,"ba","ba-last_blank","last_blank",1,159,"ie-last_blank","ie",99,60,0,1,"ba","ie"
631,"first_blank","first_blank-bà ","bà ",2,1,"first_blank-xip","xip",1,0,0,1,"bà ngoại","xipngoại"
516,"first_blank","first_blank-bắ","bắ",1,18,"first_blank-og","og",18,0,0,1,"bắc","ogc"
941,"first_blank","first_blank-bạ","bạ",1,24,"first_blank-iv","iv",24,0,0,1,"bạc","ivc"
21,"c sĩ","c sĩ-last_blank","last_blank",2,1,"csñn-last_blank","csñn",1,0,0,1,"bác sĩ","bácsñn"
639,"first_blank","first_blank-bài","bài",2,2,"first_blank-haa","haa",2,0,0,1,"bài giảng","haa giảng"
2," hát"," hát-last_blank","last_blank",2,1,"gott-last_blank","gott",1,0,0,1,"bài hát","bàigott"
