"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
86,"first_blank","first_blank-abe","abe",4,34,"first_blank-sprog","sprog",29,5,2,1,"abejojimas","sprogjojimas"
640,"čiai","čiai-last_blank","last_blank",4,172,"versk-last_blank","versk",11,161,1,1,"absoliučiai","absoliuversk"
430,"first_blank","first_blank-ac","ac",3,18,"first_blank-reiš","reiš",18,0,2,1,"active","reištive"
917,"first_blank","first_blank-ada","ada",2,15,"first_blank-pės","pės",15,0,0,1,"adata","pėsta"
623,"first_blank","first_blank-ad","ad",6,69,"first_blank-švieska","švieska",4,65,5,1,"administracija","švieskaministracija"
405,"first_blank","first_blank-af","af",3,23,"first_blank-cent","cent",23,0,2,1,"afrika","centrika"
3,"agen","agen-tas","tas",2,1,"trin-tas","trin",1,0,0,1,"agentas","trintas"
4,"ds","ds-last_blank","last_blank",1,4,"iš-last_blank","iš",4,0,0,1,"aids","aiiš"
48,"first_blank","first_blank-aiš","aiš",2,42,"first_blank-sep","sep",42,0,0,1,"aišku","sepku"
120,"aki","aki-niai","niai",2,1,"lio-niai","lio",1,0,0,1,"akiniai","lioniai"
546,"ak","ak-is","is",1,1,"ak-no","no",1,0,0,1,"akis","akno"
477,"ak","ak-la","la",1,4,"su-la","su",4,0,0,1,"aklas","sulas"
660,"bu","bu-mas","mas",3,1,"bu-džio","džio",1,0,1,1,"albumas","albudžio"
6,"lis","lis-last_blank","last_blank",4,468,"trauk-last_blank","trauk",19,449,2,1,"alkoholis","alkohotrauk"
387,"first_blank","first_blank-ama","ama",3,13,"first_blank-kons","kons",13,0,1,1,"amateur","konsteur"
93,"sa","sa-da","da",4,6,"žvelg-da","žvelg",5,1,3,1,"ambasada","ambažvelgda"
11,"rius","rius-last_blank","last_blank",5,165,"buklai-last_blank","buklai",1,164,2,1,"ambasadorius","ambasadobuklai"
453,"žiaus","žiaus-last_blank","last_blank",2,7,"giant-last_blank","giant",7,0,0,1,"amžiaus","amgiant"
98,"ži","ži-nas","nas",3,3,"ži-miui","miui",1,2,1,1,"amžinas","amžimiui"
951,"first_blank","first_blank-ana","ana",4,38,"first_blank-elekt","elekt",46,8,2,1,"analitikas","elektlitikas"
992,"first_blank","first_blank-anar","anar",3,6,"first_blank-dmit","dmit",6,0,0,1,"anarchija","dmitchija"
967,"ana","ana-to","to",4,7,"skirs-to","skirs",3,4,2,1,"anatomija","skirstomija"
13,"ge","ge-las","las",3,3,"ge-sink","sink",2,1,1,1,"angelas","angesink"
891,"ang","ang-lies","lies",2,1,"pri-lies","pri",1,0,0,1,"anglies","prilies"
52,"first_blank","first_blank-ang","ang",2,35,"first_blank-įsa","įsa",35,0,0,1,"anglis","įsalis"
325,"ang","ang-lų","lų",2,1,"kyk-lų","kyk",1,0,0,1,"anglų","kyklų"
14,"first_blank","first_blank-ano","ano",4,19,"first_blank-krikš","krikš",19,0,2,1,"anoniminis","krikšniminis"
959,"gam","gam-ti","ti",4,8,"kreip-ti","kreip",7,1,2,1,"antgamtinis","antkreiptinis"
530,"first_blank","first_blank-antk","antk",3,8,"first_blank-įkur","įkur",8,0,0,1,"antklodė","įkurlodė"
263,"first_blank","first_blank-ant","ant",2,92,"first_blank-lie","lie",91,1,0,1,"antra","liera"
848,"ant","ant-ri","ri",3,9,"stip-ri","stip",12,3,1,1,"antrinis","stiprinis"
941,"spau","spau-das","das",3,3,"dfor-das","dfor",2,1,0,1,"antspaudas","antdfordas"
123,"anū","anū-kas","kas",2,1,"giu-kas","giu",1,0,0,1,"anūkas","giukas"
