target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
กด,ปุ่มกด,ระยะทางกด,ปุ่ม,ระยะทาง
กรกฎาคม,มิถุนายนกรกฎาคม,เคลื่อนไหวกรกฎาคม,มิถุนายน,เคลื่อนไหว
กรรมการ,คณะกรรมการกรรมการ,กอล์ฟกรรมการ,คณะกรรมการ,กอล์ฟ
กรรมาธิการ,ผู้ตรวจการณ์กรรมาธิการ,อาหารกรรมาธิการ,ผู้ตรวจการณ์,อาหาร
กระจก,ภาพสะท้อนกระจก,ความคิดกระจก,ภาพสะท้อน,ความคิด
กระต่าย,สุนัขจิ้งจอกกระต่าย,วิทยุกระต่าย,สุนัขจิ้งจอก,วิทยุ
กระทรวง,สถานทูตกระทรวง,ติดตาม,สถานทูต,ติดตาม
กระสุน,ลำกล้องปืนกระสุน,นับกระสุน,ลำกล้องปืน,นับ
กระเป๋าสตางค์,กระเป๋าเสื้อหรือกางเกงกระเป๋าสตางค์,เวทมนตร์กระเป๋าสตางค์,กระเป๋าเสื้อหรือกางเกง,เวทมนตร์
กระเป๋าเดินทาง,กระเป๋าเอกสารกระเป๋าเดินทาง,วิทยาลัยกระเป๋าเดินทาง,กระเป๋าเอกสาร,วิทยาลัย
กระโดด,ปีนกระโดด,วิสกี้กระโดด,ปีน,วิสกี้
กรัม,กิโลกรัม,เสนอกรัม,กิโล,เสนอ
กริ๊ง,เปรี้ยงกริ๊ง,ที่นี่กริ๊ง,เปรี้ยง,ที่นี่
กรีก,โรมันกรีก,พื้นกรีก,โรมัน,พื้น
กลยุทธ์,แผนการกลยุทธ์,ผับกลยุทธ์,แผนการ,ผับ
กลวิธี,วิธีการกลวิธี,นายกรัฐมนตรีกลวิธี,วิธีการ,นายกรัฐมนตรี
กลางวัน,เที่ยงคืนกลางวัน,สายลับกลางวัน,เที่ยงคืน,สายลับ
กลิ่น,รสชาติกลิ่น,ความอยุติธรรมกลิ่น,รสชาติ,ความอยุติธรรม
กลุ่ม,แก๊งกลุ่ม,ตามธรรมชาติกลุ่ม,แก๊ง,ตามธรรมชาติ
กลุ่มสหพันธ์,มาเฟียกลุ่มสหพันธ์,เปียโนกลุ่มสหพันธ์,มาเฟีย,เปียโน
กลุ้มใจ,กังวลกลุ้มใจ,เสื้อกลุ้มใจ,กังวล,เสื้อ
กล้องจุลทรรศน์,กล้องโทรทรรศน์กล้องจุลทรรศน์,สวยกล้องจุลทรรศน์,กล้องโทรทรรศน์,สวย
กล้ามเนื้อ,เส้นประสาทกล้ามเนื้อ,อาชีพกล้ามเนื้อ,เส้นประสาท,อาชีพ
กล้าหาญ,มีคุณธรรมสูงกล้าหาญ,แบบฟอร์มกล้าหาญ,มีคุณธรรมสูง,แบบฟอร์ม
กว้าง,แคบกว้าง,มีสติกว้าง,แคบ,มีสติ
กองทัพ,พยุหเสนากองทัพ,ขนมปังปิ้งกองทัพ,พยุหเสนา,ขนมปังปิ้ง
กองทัพเรือ,ทหารเรือกองทัพเรือ,จินตนาการกองทัพเรือ,ทหารเรือ,จินตนาการ
กองบัญชาการ,ฐานทัพกองบัญชาการ,รับประกันกองบัญชาการ,ฐานทัพ,รับประกัน
กองพัน,กองทหารกองพัน,อบเชยกองพัน,กองทหาร,อบเชย
กอด,จูบกอด,เหตุการณ์กอด,จูบ,เหตุการณ์
กอริลลา,ลิงกอริลลา,การมาถึงกอริลลา,ลิง,การมาถึง
กะลาสี,โจรสลัดกะลาสี,งานแสดงโชว์กะลาสี,โจรสลัด,งานแสดงโชว์
กะโหลก,กระดูกกะโหลก,รองกะโหลก,กระดูก,รอง
กัปตัน,ผู้บัญชาการกัปตัน,ลำคอกัปตัน,ผู้บัญชาการ,ลำคอ
การกระทำ,ท่าทางการกระทำ,ถนนการกระทำ,ท่าทาง,ถนน
การกลายพันธุ์,วิวัฒนาการการกลายพันธุ์,กังวลการกลายพันธุ์,วิวัฒนาการ,กังวล
การกล่าวหา,การร้องเรียนการกล่าวหา,ปลอดภัยการกล่าวหา,การร้องเรียน,ปลอดภัย
การขาย,การประมูลการขาย,สถานการณ์การขาย,การประมูล,สถานการณ์
การคุมขัง,การลงโทษการคุมขัง,รถถังการคุมขัง,การลงโทษ,รถถัง
การฆาตกรรม,การฆ่าตัวตายการฆาตกรรม,น่าประทับใจการฆาตกรรม,การฆ่าตัวตาย,น่าประทับใจ
การจัดหาเงินทุน,ทางการเงินการจัดหาเงินทุน,ทะเลทรายการจัดหาเงินทุน,ทางการเงิน,ทะเลทราย
การจับปลา,การล่าสัตว์การจับปลา,เงียบการจับปลา,การล่าสัตว์,เงียบ
การฉีดยา,ปริมาณยาการฉีดยา,บางครั้งการฉีดยา,ปริมาณยา,บางครั้ง
การฉ้อโกง,การสมคบคิดการฉ้อโกง,จูบการฉ้อโกง,การสมคบคิด,จูบ
การซ่อมบำรุง,การบริการการซ่อมบำรุง,มุมการซ่อมบำรุง,การบริการ,มุม
การตรวจสอบ,การทดสอบการตรวจสอบ,ยากจนการตรวจสอบ,การทดสอบ,ยากจน
การตลาด,การโฆษณาการตลาด,การติดต่อการตลาด,การโฆษณา,การติดต่อ
การตั้งครรภ์,การเกิดการตั้งครรภ์,เข็มทิศการตั้งครรภ์,การเกิด,เข็มทิศ
