"el_cue","el_fake_cue","el_target","el_fake_target","en_cue","en_target"
"dvd","ύεντ","βίντεο","βιντόκ","dvd","video"
"νίντζα","σμίτζα","σαμουράι","σαμοεμάι","ninja","samurai"
"ufo","ύυο","εξωγήινο","εξωγκόνο","ufo","alien"
"άβολος","κέολος","δυσάρεστος","δυσατέστος","uncomfortable","unpleasant"
"άγγελος","άγουλος","διάβολος","διάβολαμ","angel","devil"
"αγγλικά","αγγλυτά","γαλλικά","γήαλικ","english","french"
"αγελάδα","αγελήςα","γουρούνι","χόφλος","cow","pig"
"αγία γραφή","τσία γραφη","βιβλίο","βιυρίο","bible","book"
"άγκυρα","ξυκυρά","σαλπάρω","πανιχίλοιου","anchor","sail"
"άγνοια","ύπνοια","αλαζονεία","ιραζονεία","ignorance","arrogance"
"αγόρια","αγχόγια","κορίτσια","κορίατσ","boys","girls"
"αγοράζω","αγαλά","πουλώ","πολιώ","buy","sell"
"αγρότης","περότης","εργάτης","ερλύτης","farmer","worker"
"άδεια","όξαει","εγκαταλείπω","εγκαταφείπω","leave","abandon"
"άδεια","όξαει","έγκριση","έγπειση","permission","approval"
"αδειάζω","αδιράζω","γεμάτος","γεμάνις","empty","full"
"αδελφή","άδελαϊ","αδελφός","άδελασς","sister","brother"
"αδικία","άδικερ","άδικος","φάικος","injustice","unfair"
"αδυναμία","αδυνηρία","ανίκανος","αντήανος","inability","unable"
"αδύνατο","αδώτατο","εύκολο","ανίλα","impossible","easy"
"αέρας","όθρας","οξυγόνο","οξανόνο","air","oxygen"
"αέριο","έριο","καύσιμα","κανστία","gas","fuel"
"άθλιος","ύαλιος","αξιολύπητο","άξιουλπητο","miserable","pathetic"
"άθροισμα","αθροάτμα","ποσό","πομέ","sum","amount"
"αθώος","άθεις","ένοχος","ενάνος","innocent","guilty"
"αίμα","όφμα","ούρο","όλρο","blood","urine"
"αισθητήρας","κυσθητήρας","πομπός","πομπάξ","sensor","transmitter"
"αισιόδοξος","αισιόδωρος","ρεαλιστικός","επαλιστικός","optimistic","realistic"
"αιώνας","στώνας","δεκαετία","δεεμετία","century","decade"
"αιώνιος","αιόμιος","για πάντα","γιωνπάντα","eternal","forever"
"ακολουθήστε","άκολουοαστε","κυνηγητό","κυνημπτό","follow","chase"
"αφουγκράζομαι","άκσχω","ακούω","άκωνω","listen","hear"
"ακριβός","άκρισπς","φτηνός","φτμπός","expensive","cheap"
"ακρόαση","ακοήαση","δοκιμή","δοκιτά","hearing","trial"
"ακτίνα κύκλου","ακτιναζεύκλου","περίμετρος","περίνγτρος","radius","perimeter"
"αλεπού","αλλιού","κουνέλι","κουνάςι","fox","rabbit"
"αληθής","άληθhu","αληθινός","προχματικός","TRUE","real"
"αλκοόλ","αλκοβή","φάρμακο","φάυλακο","alcohol","drug"
"αλλαγή","άλλαπε","βελτίωση","βεγείωση","change","improvement"
"αλλού-κάπου αλλού","αλποκάπονα","κάπου","τσπόυ","elsewhere","somewhere"
"άλμπουμ","νόμπουμ","τραγούδι","τραγούσο","album","song"
"αλυσίδα","αλωτίδα","σκοινί","σκκανί","chain","rope"
"αμαρτία","αμαρκέα","έγκλημα","τίκλημα","sin","crime"
"αμφιβολία","αμφιζαλία","ύποπτος","νποπίας","doubt","suspect"
"αναγνωρίζω","αναγχαρίζω","γνώριζα","γνάσιζα","recognize","knew"
"ανάγνωση","άναγταση","γραφή","γρομή","reading","writing"
"διαβάζω","άνοηνωση","γράφω","γρύγω","read","write"
"αναζήτηση","αναζέρηση","βρίσκω","σόρημα","search","find"
"αναλυτής","αναλμαής","ερευνητής","ανακρινές","analyst","investigator"
"αναρρίχηση","αναρριώτση","άλμα","θλήμπα","climb","jump"
"αναρρώνω","άναρτηνω","θεραπεύω","θέραπεγχ","recover","heal"
"αναρχία","άναραζα","καπιταλισμός","καταταλισμός","anarchy","capitalism"
"ανατομία","αναταφία","ψυχολογία","ψυχόλουσα","anatomy","psychology"
"άνδρας","ανλέας","άνθρωπος","cβάνθρωπος","man","human"
"άνεμος","ύαεμος","καταιγίδα","κλάταιγισο","wind","storm"
"άνετος","άνιρος","ευχάριστος","έυημριστος","comfortable","pleasant"
"ανήμπορος","άνξεπορος","ανίσχυρος","ανίσετρος","helpless","powerless"
"έγνοια","άνησυχισ","ανησυχία","ανδρυχία","concern","worry"
"ανήσυχος","ανίζυχος","νευρικός","βιυρικός","worried","nervous"
"άνθρακας","άνθρακωθ","υδρογόνο","υδρόεθνο","carbon","hydrogen"
"ανόητος","άνειτος","ηλίθιος","βλάκλι","fool","idiot"
"άνοιγμα","όμοιγμα","κλείσιμο","κλμτσίμο","opening","closure"
"άνοιξε","αννάξε","κλείνω","κλδύσε","open","close"
"άνοιξη","άνναξη","φθινόπωρο","φθεκόπωρο","spring","autumn"
"ανταγωνισμός","αντανονισμός","πρωτάθλημα","πρωτμόλημα","competition","championship"
"αντανάκλαση","άνταρεκλαση","καθρέφτης","καυπέφτης","reflection","mirror"
"αντίδοτο","αντιφάτο","εμβόλιο","εμγέλιο","antidote","vaccine"
"αντικαθιστώ","αντικαλυστώ","υποκατάστατο","υποκατάσταιρ","replace","substitute"
"αντικείμενο","αντικείμασο","θέμα","υμμά","object","subject"
"αντίσταση","άνεισταση","αντιστέκομαι","αντιστέκιααι","resistance","resist"
"αντλία","ανμπία","μάνικα","μαάγκα","pump","hose"
"ανώνυμος","ανώνρτος","άγνωστος","αγείστος","anonymous","unknown"
"αξία","αξιώ","τιμή","τίακ","value","price"
"αξίζω","πνίζω","άξιος","υφίος","deserve","worthy"
"απαγορευμένος","απαγοραζμένος","απαγορεύω","άπαγοριαω","forbidden","prohibit"
"απαγωγέας","απαγδρέας","λύτρα","ψάτρα","kidnapper","ransom"
"απαγωγή","απαγοφή","απαγάγω","άπιοω","kidnap","abduct"
"απάντηση","απζήτηση","απαντώ","άπαρτηση","answer","reply"
"απαραίτητη","άπαρνιτητη","χρειάζομαι","χρέισβομαι","necessary","need"
"απέναντι από","απεναντιtίπο","αντίθετος","άνληθετος","opposite","contrary"
"απευθείας","απευοβίας","κατευθείαν","κατευθείvο","direct","directly"
"απλά","απόβ","απλός","απόπς","simply","simple"
"απόβλητα","απόβλησπ","ξοδεύω","δασενούν","waste","spend"
"αποδεικνύω","απόδαυξη","απόδειξη","απόδειγμ","evidence","proof"
"αποικία","αποτκία","ομοσπονδία","ομοσποληία","colony","federation"
"αποκάλυψη","άποκρουψη","όραμα","όρδοα","revelation","vision"
"απολύτως","απολύτρε","εντελώς","έντεμας","absolutely","completely"
"απομίμηση","άπομυρηση","ψευδής","ψέυδhi","fake","FALSE"
"απόσταση","απυόταση","ταχύτητα","ταόπτητα","distance","speed"
"εξαγόμενο","αποτέλιδμα","αποτέλεσμα","άποτημεσμα","result","outcome"
"αποτρέψει","άποτωθψει","σταμάτα","ναυιταματήσει","prevent","stop"
"αράχνη","αρρόνη","έντομο","ζήτομο","spider","insect"
"αργά","αρόρ","νωρίς","guρίς","late","early"
"αργά","αρόρ","γρήγορα","γράτορα","slowly","quickly"
"αργός","αρνής","γρήγορα","γράτορα","slow","fast"
"πλεϊμπόι","αργόσχημος","περιοδικό","περιασικό","playboy","magazine"
"αρένα","υβένα","πεδίο μάχης","πεδιο μάιος","arena","battlefield"
"άρης","άρετ","αφροδίτη","άφρολατη","mars","venus"
"άρθρο","άρηλο","εφημερίδα","έφημερωσα","article","newspaper"
"αριθμός","άριθεσς","διεύθυνση","διάτθυνση","number","address"
"αρκετά","αρχατά","επαρκής","επαρτύς","enough","sufficient"
"χαριτωμένη","αρχατά","όμορφος","πανεμοάλη","pretty","beautiful"
"αρκούδα","άρκοιvα","λύκος","λύχρς","bear","wolf"
"αρνηθεί","αρραθεί","αποδέχομαι","άποδεζομαι","refuse","accept"
"αρπάζω","αρπάιπ","πιάνω","σύρεηψη","grab","catch"
"αρσενικός","αρφωνικός","θηλυκό","θηλυτές","male","female"
"αρχαιότερος","άρχαρμτερος","νεώτερος","καράτερος","senior","junior"
"αρχείο","άρχεκη","έγγραφο","έγιvαφο","file","document"
"άρχοντας","άρντντας","κυρία","κυτία","lord","lady"
"ασθενοφόρο","ασελνοφόρο","ελικόπτερο","ινικόπτερο","ambulance","helicopter"
"ασπίδα","άστεδα","πανοπλία","πανοπλάι","shield","armor"
