"observation","duration_demographics","time_run_demographics","time_render_demographics","time_show_demographics","time_end_demographics","time_commit_demographics","timestamp_demographics","time_switch_demographics","please_tell_us_your_gender","which_year_were_you_born","please_tell_us_your_education_level","native_language","url_special_code","duration_consent","time_run_consent","time_render_consent","time_show_consent","time_end_consent","time_commit_consent","timestamp_consent","time_switch_consent","url_lab","meta_labjs_version","meta_location","meta_user_agent","meta_platform","meta_language","meta_locale","meta_time_zone","meta_timezone_offset","meta_screen_width","meta_screen_height","meta_scroll_width","meta_scroll_height","meta_window_inner_width","meta_window_inner_height","meta_device_pixel_ratio","meta_labjs_build_flavor","meta_labjs_build_commit","keep","n_trials","correct"
"01e00",20852.32,11505,11505,11515.68,32368,32368,2022-08-27 06:06:57,32373.54,"female",1953,"high school",NA,220813846587485,9850.42,1611,1615.92,1632.58,11483,11503,2022-08-27 06:06:36,11515.68,"ZPID","20.2.4","https://psa007.psysciacc.org/cs/?lab=ZPID&?special_code=220813846587485","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1093,614,1093,491,1093,491,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.980049875311721
"08d3a",39624.72,13456,13456.18,13475.28,53100,53101,2022-08-27 09:53:22,53108.66,"female",1957,"high school","česky",220827738710161,11116.42,2244,2241.92,2308.58,13425,13454,2022-08-27 09:52:42,13475.28,"ZPID","20.2.4","https://psa007.psysciacc.org/cs5/?lab=ZPID&?special_code=220827738710161","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0","Win32","cs","cs-CZ","Europe/Prague",-120,1280,720,1280,595,1280,595,1.5,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",708,0.870056497175141
"09422",32102.0720001907,23056.3000001907,23059.445,23076.228,55178.3000001907,55178.6000001431,2022-08-26 16:30:00,55201.362,"male",1950,"high school","CESKY",220763592363205,21688.7090001431,1323.5,1331.527,1364.891,23053.6000001431,23056,2022-08-26 16:29:27,23076.228,"ZPID","20.2.4","https://psa007.psysciacc.org/cs4/?lab=ZPID&?special_code=220763592363205","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1360,768,1360,577,1360,625,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",802,0
"17e41",46736.99,21927,21906.934,22107.01,68844,68844,2022-08-27 06:17:13,68858.102,"male",1952,"high school","čeština",220814384056461,14775.017,6910,6901.234,7117.983,21893,21927,2022-08-27 06:16:26,22107.01,"ZPID","20.2.4","https://psa007.psysciacc.org/cs1/?lab=ZPID&?special_code=220814384056461","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs","cs","Europe/Prague",-120,1280,800,1264,568,1264,616,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",802,0.34788029925187
"291bd",22205.952,37986.1000000089,37968.135,38000.048,60206,60206.900000006,2022-08-27 11:08:34,60205.226,"male",1975,"high school",NA,220831122829324,37404.597000003,516.79999999702,392.561,575.603,37980.200000003,37985.299999997,2022-08-27 11:08:11,38000.048,"ZPID","20.2.4","https://psa007.psysciacc.org/cs2/?lab=ZPID&?special_code=220831122829324","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63","Win32","cs","cs","Europe/Prague",-120,1536,864,1536,706,1536,754,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.937655860349127
"29505",37781,12395,12395.56,12399,50180,50180,2022-08-26 20:47:27,50180.24,"male",1951,"master","čeština",220779441195042,10836.64,1528,1525.72,1542.36,12379,12394,2022-08-26 20:46:49,12399,"ZPID","20.2.4","https://psa007.psysciacc.org/cs12/?lab=ZPID&?special_code=220779441195042","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1536,864,1536,636,1536,684,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",602,0.925249169435216
"2aa31",62925.4500000007,178228.800000001,178202.743,178282.85,241208.300000001,241210,2022-08-28 18:25:44,241217.347,"male",1971,"high school","český",220947421156377,175250.903000002,2766.40000000037,2725.5,2958.697,178209.600000001,178227.800000001,2022-08-28 18:24:41,178282.85,"ZPID","20.2.4","https://psa007.psysciacc.org/cs9/?lab=ZPID&?special_code=220947421156377","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36 SznProhlizec/6.22.0","Win32","cs-CZ","cs","Europe/Prague",-120,1291,727,1291,584,1291,584,1.48750007152557,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.932668329177057
"2c89c",32896.2109999978,7092.89999999851,7080.002,7113.389,40009.5999999978,40009.8000000007,2022-08-26 17:45:09,40013.15,"male",1975,NA,"čeština",220768257075342,5271.84799999851,1781.89999999851,1741.33,1808.052,7079.89999999851,7091.80000000075,2022-08-26 17:44:36,7113.389,"ZPID","20.2.4","https://psa007.psysciacc.org/cs6/?lab=ZPID&?special_code=220768257075342","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Win32","cs-CZ","cs","Europe/Prague",-120,1920,1080,1920,921,1920,969,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","exclude",802,0.551122194513716
"31018",44694.22,138126,138126.28,138133.78,182828,182829,2022-08-27 19:21:41,182836.28,"male",1960,"high school","čeština",220862444078245,134527.22,3563,3576.1,3592.78,138120,138125,2022-08-27 19:20:56,138133.78,"ZPID","20.2.4","https://psa007.psysciacc.org/cs8/?lab=ZPID&?special_code=220862444078245","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0","Win32","cs","cs-CZ","Europe/Prague",-120,1536,864,1536,691,1536,739,1.25,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.922693266832918
"376e9",25223.1,76241,76240.44,76288.9,101512,101514,2022-08-26 16:57:47,101581.76,"female",1967,"college","český",220765261282475,73632.88,2517,2544.12,2594.12,76227,76238,2022-08-26 16:57:22,76288.9,"ZPID","20.2.4","https://psa007.psysciacc.org/cs8/?lab=ZPID&?special_code=220765261282475","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0","Win32","cs","cs-CZ","Europe/Prague",-120,1366,768,1354,588,1354,636,1,"production","f5b4a49f956347addd546a832a3327688c2c0fef","keep",802,0.968827930174564
