"sr_cue","sr_fake_cue","sr_target","sr_fake_target","en_cue","en_target"
"фирма","ноћма","агенција","умреција","firm","agency"
"управљање","златвљање","административни","вeрoвaтминистративни","management","administrative"
"хормон","хорнер","адреналин","адренаством","hormone","adrenaline"
"број","брхо","адреса","енерса","number","address"
"терминал","знајминал","аеродром","аерокорд","terminal","airport"
"окидач","умадач","активирати","стрпљетивирати","trigger","activate"
"активан","актистим","активност","активство","active","activity"
"глас","глеж","акценат","акцеквог","voice","accent"
"узбуна","ствуна","аларм","албер","alert","alarm"
"мотив","мовет","алиби","фраби","motive","alibi"
"браво","најво","алфа","ахфа","bravo","alpha"
"африка","партка","америка","отворика","africa","america"
"обдукција","обстранција","анализа","бренлиза","autopsy","analysis"
"смешан","смесем","апсурдан","албердан","ridiculous","absurd"
"незнање","некрешње","ароганција","зajeдганција","ignorance","arrogance"
"вена","брона","артерија","озбиљтерија","vein","artery"
"коњица","костарца","артиљерија","нeкoлитиљерија","cavalry","artillery"
"инжењер","инжетрај","архитекта","озбиљхитекта","engineer","architect"
"плаћени убица","окрећни убоцо","атентатор","озбитатор","mercenary","assassin"
"пацифик","струкцифик","атлантик","атланјор","pacific","atlantic"
"животна средина","животна средстрпљив","атмосфера","опкламосфера","environment","atmosphere"
"воз","боз","аутобус","аутосрет","train","bus"
"возило","воуспело","аутомобил","аутомосперт","vehicle","car"
"пут","онт","аутопут","аутоштај","road","highway"
"деда","монда","баба","итека","grandfather","grandmother"
"клуб","твуб","бар","спер","club","bar"
"одред","пуред","батаљон","батарпер","regiment","battalion"
"супермен","суперзнаш","бетмен","шваман","superman","batman"
"сигуран","шуф","безбедан","берлиндан","safe","secure"
"безбедност","сигурство","сигурност","безбедство","security","safety"
"бескористан","бескорилност","безвредан","екравредан","useless","worthless"
"стадион","брендион","бејзбол","опизбол","stadium","baseball"
"слободно","слокретно","бесплатно","берстично","freely","free"
"љутња","љушћу","бес","бимог","anger","rage"
"хемија","хеструја","биологија","опклалогија","chemistry","biology"
"хемијски","хешпански","биолошки","гладлошки","chemical","biological"
"рат","окт","битка","скука","war","battle"
"избеглица","избестранца","бегунац","шпангунац","refugee","fugitive"
"отворен","отвозак","затворен","опеврен","open","close"
"сиромашан","сиромалност","богат","бокиђ","poor","rich"
"благо","отиго","богатство","богатност","treasure","wealth"
"бог","руг","божански","бовјетски","god","divine"
"хорор","хојен","страх","стром","horror","fear"
"арена","обрна","бојно поље","истимно поље","arena","battlefield"
"патња","панам","бол","рил","suffering","pain"
"грип","грџу","болест","борант","flu","disease"
"нездрав","нездокс","болестан","болеквих","ill","sick"
"шампион","шарлотон","борац","бошеш","champion","fighter"
"битка","титка","борба","боранд","combat","fight"
"вашингтон","ваклејтон","бостон","боклин","washington","boston"
"стакло","стаћег","боца","штица","glass","bottle"
"коса","коник","брада","стода","hair","beard"
"развод","раздле","брак","брта","divorce","marriage"
"сестра","сесним","брат","ишат","sister","brother"
"ортак","орсме","брат","ишат","dude","bro"
"зрно","течно","брашно","брапис","grain","flour"
"спор","спиг","брз","физ","slow","fast"
"растојање","растојалност","брзина","брсрећна","distance","speed"
"полако","потрепко","брзо","брнар","slowly","quickly"
"посада","подручда","брод","брив","crew","ship"
"вредан","смидан","важан","вачем","valuable","important"
"противотров","осветров","вакцина","углецина","antidote","vaccine"
"зомби","триби","вампир","вадљим","zombie","vampire"
"нло","жио","ванземаљски","ванзеспортски","ufo","alien"
"цимет","цирто","ванила","громнила","cinnamon","vanilla"
"приколица","стварколица","камион","вашион","trailer","van"
"шерлок","мицрлок","вотсон","серсон","sherlock","watson"
"интернет","интерстан","веб","врб","internet","web"
"вежбање","трејсање","вежба","ветез","practice","exercise"
"одличан","одлистим","велики","вефренки","excellent","great"
"саосећајан","саосећамплекс","великодушан","великодумплекс","compassionate","generous"
"марс","парс","венера","вевоу","mars","venus"
"вентил","вензен","вентилација","стрпљетилација","valve","ventilation"
"веридба","струдба","венчање","главчање","engagement","wedding"
"нада","надатифаркт","вера","ведем","hope","faith"
"одан","одли","веран","весни","loyal","faithful"
"поверење","поздраврење","веровати","вероберасти","trust","believe"
"вероватноћа","вероватностингс","вероватно","вероискрено","probability","likely"
"можда","мопре","вероватно","вероискрено","maybe","probably"
"објашњење","објалностње","вероватан","веродостан","explanation","plausible"
"канал","казор","вести","ведем","channel","news"
"ноћ","зоћ","вече","ветши","night","evening"
"природни","приролтет","вештачки","вефренки","natural","artificial"
"клетва","клетарство","вештица","веударца","curse","witch"
"двд","уид","видео","вимак","dvd","video"
"откровење","испракровење","визија","сплозија","revelation","vision"
"кашика","каодлука","виљушка","виљурург","spoon","fork"
"тежина","тетрудна","висина","витребна","weight","height"
"низак","никла","висок","виглатко","low","high"
"величанство","величанлност","височанство","височанлност","majesty","highness"
"протеин","испреин","витамин","витаквом","protein","vitamin"
"управа","окрува","владавина","огромдавина","administration","government"
"својина","сканина","власник","спосник","property","owner"
"виски","виште","вотка","омока","whiskey","vodka"
"угљеник","узорник","водоник","водослов","carbon","hydrogen"
"члан","тран","вођа","уређа","member","leader"
"путник","викник","возач","вожва","passenger","driver"
"вожња","вожон","возити се","возитиблдор","drive","ride"
"цивилни","цивгој","војни","амени","civil","military"
"легија","лестерја","војска","војком","legion","army"
"медвед","межњен","вук","вун","bear","wolf"
"јабука","јаистока","воће","криће","apple","fruit"
"анђео","антум","ђаво","ђанд","angel","devil"
"грло","ojло","врат","ајат","throat","neck"
"прозор","просип","врата","днета","window","door"
"натраг","надонг","повратак","повратеда","back","return"
"изузетно","изуогромно","веома","свло","extremely","very"
"свемир","свевоз","галаксија","гаимпресија","universe","galaxy"
"радионица","радионистинкт","гаража","предража","workshop","garage"
"лезбијка","лепљачка","геј","шеј","lesbian","gay"
"клавир","кладок","гитара","освотара","piano","guitar"
"кувар","купир","шеф кухиње","шеф кемиље","cook","chef"
"уморан","ручран","гладан","главои","tired","hungry"
"већина","весрећна","гласање","адрање","majority","vote"
"кандидат","кандисном","гласач","глабео","candidate","voter"
"посматрати","посмадати","гледати","отводати","look","watch"
"национално","национастрпљив","глобално","другбално","national","global"
"аутор","аусте","глумац","глушен","author","actor"
"наиван","наистим","глуп","глуј","naïve","stupid"
"лудило","удредило","глупост","глујорк","madness","stupidity"
"слеп","ајеп","глув","глуф","blind","deaf"
"разговор","неколивор","говор","развор","talk","speak"
"наг","гоњац","голи","итали","nude","naked"
