"hi_target","hi_cue","type","target_type","cue_type","hi_cosine"
"त्यौहार","carnival","related","word","word",NA
"परिमाप","radius","related","word","word",NA
"जानबूझ कर","अकस्मात","related","word","word",NA
"गैर जिम्मेदार","अकारण","related","word","word",NA
"अकेला","अकेला","related","word","word",NA
"वास्तव में","अक्षरशः","related","word","word",NA
"लड़ाई का मैदान","अखाड़ा","related","word","word",NA
"फ्रांसीसी","अंग्रेज़ी","related","word","word",NA
"अप्रत्याशित रूप से","अचानक से","related","word","word",NA
"खराब","अच्छा","related","word","word",NA
"सुंदर","अच्छा","related","word","word",NA
"सिंह","अजगर","related","word","word",NA
"अभिमान","अज्ञान","related","word","word",NA
"दुनिया","अंतरराष्ट्रीय","related","word","word",NA
"पायलट","अंतरिक्ष यात्री","related","word","word",NA
"आपातकालीन","अति आवश्यक","related","word","word",NA
"महान","अति उत्कृष्ट","related","word","word",NA
"परम","अंतिम","related","word","word",NA
"बैटमैन","अतिमानव","related","word","word",NA
"अतिरिक्त","अतिरिक्त","related","word","word",NA
"बहुत","अत्यंत","related","word","word",NA
"बाहरी","अंदर का","related","word","word",NA
"बहरा","अंधा","related","word","word",NA
"भारी","अधिक वज़नदार","related","word","word",NA
"रोशनी","अंधेरा","related","word","word",NA
"लिखना","अध्ययन","related","word","word",NA
"आटा","अनाज","related","word","word",NA
"बेवकूफ","अनाड़ी","related","word","word",NA
"निंदक","अनाड़ी","related","word","word",NA
"मठ","अनाथालय","related","word","word",NA
"अनजान","अनाम","related","word","word",NA
"समझौता","अनुबंध","related","word","word",NA
"ज्ञान","अनुभव","related","word","word",NA
"अनुच्छेद","अनुभाग","related","word","word",NA
"होने देना","अनुमति","related","word","word",NA
"अनुमोदन","अनुमति","related","word","word",NA
"साथ","अनुरक्षण","related","word","word",NA
"पढाई","अनुसंधान","related","word","word",NA
"अनुचित","अन्याय","related","word","word",NA
"कष्ट पहुंचाना","अपमान","related","word","word",NA
"उदारवादी","अपरिवर्तनवादी","related","word","word",NA
"अपहरण","अपहरण करना","related","word","word",NA
"अमेरिका","अफ्रीका","related","word","word",NA
"चुनाव","अभियान","related","word","word",NA
"रिकॉर्डिंग","अभिलेख","related","word","word",NA
"जानना","अभी","related","word","word",NA
"हाल ही में","अभी - अभी","related","word","word",NA
"व्यायाम","अभ्यास","related","word","word",NA
"पूंजीवाद","अराजकता","related","word","word",NA
"महत्त्व","अर्थ","related","word","word",NA
"असाधारण","अलौकिक","related","word","word",NA
"उड़ान","अवतरण","related","word","word",NA
"मूल्यांकन","अवलोकन","related","word","word",NA
"अवधि","अवस्था","related","word","word",NA
"कानूनी","अवैध","related","word","word",NA
"उलझन","अव्यवस्था","related","word","word",NA
"आसान","असंभव","related","word","word",NA
"असमर्थ","असमर्थता","related","word","word",NA
"कल्पना","असलियत","related","word","word",NA
"उत्कृष्ट","असाधारण","related","word","word",NA
"अनोखा","असामान्य","related","word","word",NA
"अप्रिय","असुविधाजनक","related","word","word",NA
"क्लिनिक","अस्पताल","related","word","word",NA
"जानकारी","आंकड़े","related","word","word",NA
"आकर्षक","आकर्षक","related","word","word",NA
"सुंदरता","आकर्षण","related","word","word",NA
"लंबाई","आकार","related","word","word",NA
"स्वर्गीय","आकाश","related","word","word",NA
"बिजली","आकाशीय विद्युत","related","word","word",NA
"हमला","आक्रमण","related","word","word",NA
"कान","आंख","related","word","word",NA
"अंततः","आखिरकार","related","word","word",NA
"ज्योति","आग","related","word","word",NA
"प्रस्थान","आगमन","related","word","word",NA
"जारी रखें","आगे बढ़ना","related","word","word",NA
"बीता हुआ कल","आज","related","word","word",NA
"जनतंत्र","आजादी","related","word","word",NA
"नि: शुल्क","आज़ादी से","related","word","word",NA
"प्रतिष्ठा","आजीविका","related","word","word",NA
"हत्या","आत्मघाती","related","word","word",NA
"आत्मा","आत्मा","related","word","word",NA
"आत्मविश्वास","आदर करना","related","word","word",NA
"उत्तम","आदर्श","related","word","word",NA
"गण","आदेश","related","word","word",NA
"त्रिमास","आधा","related","word","word",NA
"मुख्यालय","आधार","related","word","word",NA
"अधिकारी","आधिकारिक तौर पर","related","word","word",NA
"दोपहर","आधी रात","related","word","word",NA
"परंपरागत","आधुनिक","related","word","word",NA
"हर्ष","आनंद","related","word","word",NA
"आइए","आना","related","word","word",NA
"प्रभात","आने वाला कल","related","word","word",NA
"कार्यात्मक","आपरेशनल","related","word","word",NA
"लोग","आबादी","related","word","word",NA
"धन्यवाद","आभारी","related","word","word",NA
"कर्नल","आम","related","word","word",NA
"समिति","आयोग","related","word","word",NA
"सुखद","आरामदायक","related","word","word",NA
"फाइनेंसिंग","आर्थिक रूप से","related","word","word",NA
"टमाटर","आलू","related","word","word",NA
"छिपाना","आवरण","related","word","word",NA
"लहज़ा","आवाज़","related","word","word",NA
"संकेत","आवृत्ति","related","word","word",NA
"आस्था","आशा","related","word","word",NA
"वास्तविक","आशावादी","related","word","word",NA
"निराशा","आश्चर्य","related","word","word",NA
"कट गया","आँसू","related","word","word",NA
"विभाजन","इकाई","related","word","word",NA
"वास्तुकार","इंजीनियर","related","word","word",NA
"वेब","इंटरनेट","related","word","word",NA
"निरीक्षण","इंतिहान","related","word","word",NA
"स्वीकार करें","इनकार","related","word","word",NA
"पदच्युति","इस्तीफा","related","word","word",NA
"गुस्सा","ईर्ष्या","related","word","word",NA
"अंगूठे","उंगली","related","word","word",NA
"लेफ्टिनेंट","उच्च श्रेणी का वकील","related","word","word",NA
"फिरौती","उठाईगीरा","related","word","word",NA
"जवाब दे दो","उत्तर","related","word","word",NA
"दिलचस्प","उत्तेजित करनेवाला","related","word","word",NA
"सक्रिय","उत्प्रेरक","related","word","word",NA
"व्यापार","उद्योग","related","word","word",NA
"लैस","उपकरण","related","word","word",NA
"उपनाम","उपनाम","related","word","word",NA
"प्रभावी","उपयोगी","related","word","word",NA
"अनुपस्थिति","उपस्थिति","related","word","word",NA
"विदेशी","उफौ","related","word","word",NA
"जुनून","उमंग","related","word","word",NA
"मतदाता","उम्मीदवार","related","word","word",NA
"असत्य","उल्लू बनाना","related","word","word",NA
"तल","ऊपर","related","word","word",0.30176693713766
"तीन","एक","related","word","word",NA
