hi_cue,hi_target,type,cue_type,target_type,hi_cosine
मेला,त्यौहार,related,word,word,
त्रिज्या,परिमाप,related,word,word,
अकस्मात,जानबूझ कर,related,word,word,
अकारण,गैर जिम्मेदार,related,word,word,
अकेले,अकेला,related,word,word,
अक्षरशः,वास्तव में,related,word,word,
अखाड़ा,लड़ाई का मैदान,related,word,word,
अंग्रेज़ी,फ्रांसीसी,related,word,word,
अचानक से,अप्रत्याशित रूप से,related,word,word,
अच्छा,खराब,related,word,word,
अच्छा,प्यारा,related,word,word,
ड्रैगन,सिंह,related,word,word,
अज्ञान,अभिमान,related,word,word,
अंतरराष्ट्रीय,दुनिया,related,word,word,
अंतरिक्ष यात्री,पायलट,related,word,word,
अति आवश्यक,आपातकालीन,related,word,word,
अति उत्कृष्ट,महान,related,word,word,
अंतिम,परम,related,word,word,
अतिमानव,बैटमैन,related,word,word,
अधिक,अतिरिक्त,related,word,word,
अत्यंत,बहुत,related,word,word,
अंदर का,बाहरी,related,word,word,
अंधा,बहरा,related,word,word,
अधिक वज़नदार,भारी,related,word,word,
अंधेरा,रोशनी,related,word,word,
पाठ,लिखना,related,word,word,
अनाज,आटा,related,word,word,
अनाड़ी,बेवकूफ,related,word,word,
अनाड़ी,निंदक,related,word,word,
अनाथालय,कान्वेंट,related,word,word,
अनाम,अनजान,related,word,word,
अनुबंध,समझौता,related,word,word,
अनुभव,ज्ञान,related,word,word,
अनुभाग,अनुच्छेद,related,word,word,
अनुमति,होने देना,related,word,word,
अनुमति,अनुमोदन,related,word,word,
अनुरक्षण,संगत करना,related,word,word,
अनुसंधान,पढाई,related,word,word,
अन्याय,अनुचित,related,word,word,
अपमान,कष्ट पहुंचाना,related,word,word,
अपरिवर्तनवादी,उदारवादी,related,word,word,
अपहरण करना,अपहरण,related,word,word,
अफ्रीका,अमेरिका,related,word,word,
अभियान,चुनाव,related,word,word,
अभिलेख,रिकॉर्डिंग,related,word,word,
अभी,जानना,related,word,word,
अभी - अभी,हाल ही में,related,word,word,
अभ्यास,व्यायाम,related,word,word,
अराजकता,पूंजीवाद,related,word,word,
अर्थ,महत्त्व,related,word,word,
अलौकिक,पैरानॉर्मल,related,word,word,
अवतरण,उड़ान,related,word,word,
अवलोकन,मूल्यांकन,related,word,word,
अवस्था,अवधि,related,word,word,
अवैध,कानूनी,related,word,word,
अव्यवस्था,उलझन,related,word,word,
असंभव,आसान,related,word,word,
असमर्थता,असमर्थ,related,word,word,
असलियत,कल्पना,related,word,word,
असाधारण,उत्कृष्ट,related,word,word,
असामान्य,अनोखा,related,word,word,
असुविधाजनक,अप्रिय,related,word,word,
अस्पताल,क्लिनिक,related,word,word,
आंकड़े,जानकारी,related,word,word,
मनोहर,आकर्षक,related,word,word,
आकर्षण,सुंदरता,related,word,word,
आकार,लंबाई,related,word,word,
आकाश,स्वर्गीय,related,word,word,
आकाशीय विद्युत,बिजली,related,word,word,
आक्रमण,हमला,related,word,word,
आंख,कान,related,word,word,
आखिरकार,अंततः,related,word,word,
आग,ज्योति,related,word,word,
आगमन,प्रस्थान,related,word,word,
आगे बढ़ना,जारी रखें,related,word,word,
आज,बीता हुआ कल,related,word,word,
आजादी,जनतंत्र,related,word,word,
आज़ादी से,मुक्त,related,word,word,
पेशा,प्रतिष्ठा,related,word,word,
आत्महत्या,हत्या,related,word,word,
प्राण,आत्मा,related,word,word,
आदर करना,आत्मविश्वास,related,word,word,
आदर्श,उत्तम,related,word,word,
आदेश,गण,related,word,word,
आधा,त्रिमास,related,word,word,
आधार,मुख्यालय,related,word,word,
आधिकारिक तौर पर,अधिकारी,related,word,word,
आधी रात,दोपहर,related,word,word,
आधुनिक,परंपरागत,related,word,word,
आनंद,हर्ष,related,word,word,
आना,आइए,related,word,word,
आने वाला कल,प्रभात,related,word,word,
आपरेशनल,कार्यात्मक,related,word,word,
आबादी,लोग,related,word,word,
आभारी,धन्यवाद,related,word,word,
आम,कर्नल,related,word,word,
आयोग,समिति,related,word,word,
आरामदायक,सुखद,related,word,word,
आर्थिक रूप से,फाइनेंसिंग,related,word,word,
आलू,टमाटर,related,word,word,
आवरण,छिपाना,related,word,word,
आवाज़,लहज़ा,related,word,word,
आवृत्ति,संकेत,related,word,word,
आशा,आस्था,related,word,word,
आशावादी,वास्तविक,related,word,word,
आश्चर्य,निराशा,related,word,word,
आँसू,कट गया,related,word,word,
इकाई,विभाजन,related,word,word,
इंजीनियर,वास्तुकार,related,word,word,
इंटरनेट,वेब,related,word,word,
इंतिहान,निरीक्षण,related,word,word,
इनकार,स्वीकार करें,related,word,word,
इस्तीफा,पदच्युति,related,word,word,
ईर्ष्या,गुस्सा,related,word,word,
उंगली,अंगूठा,related,word,word,
उच्च श्रेणी का वकील,लेफ्टिनेंट,related,word,word,
अपहरणकर्ता,फिरौती,related,word,word,
उत्तर,जवाब,related,word,word,
उत्तेजित करनेवाला,दिलचस्प,related,word,word,
उत्प्रेरक,सक्रिय,related,word,word,
उद्योग,व्यापार,related,word,word,
उपकरण,लैस,related,word,word,
लक़ब,उपनाम,related,word,word,
उपयोगी,प्रभावी,related,word,word,
उपस्थिति,अनुपस्थिति,related,word,word,
उफौ,विदेशी,related,word,word,
उमंग,जुनून,related,word,word,
उम्मीदवार,मतदाता,related,word,word,
नकली,असत्य,related,word,word,
ऊपर,तल,related,word,word,0.30176693713766
एक,तीन,related,word,word,
अकेला,विवाहित,related,word,word,
एजेंट,जासूस,related,word,word,
एड्स,hiv,related,word,word,
एल्बम,गीत,related,word,word,
एश,धूल,related,word,word,
एस्पिरिन,अफ़ीम का सत्त्व,related,word,word,
एहसास,समझ गए,related,word,word,
ऑर्केस्ट्रा,बैंड,related,word,word,
ओगाज़्म,खड़ा होना,related,word,word,
ओंठ,गाल,related,word,word,
ओवन,स्टोव,related,word,word,
कक्ष,शयनकक्ष,related,word,word,
कक्ष,कारागार,related,word,word,
कक्षा,स्कूल,related,word,word,
कूड़ा,कचरा,related,word,word,
कटोरा,प्लेट,related,word,word,
कठिन,मुश्किल,related,word,word,
कदम,स्थानांतरण,related,word,word,
कंधा,घुटना,related,word,word,
कप,कॉफ़ी,related,word,word,
कपड़ा,रूमाल,related,word,word,
कंपनी,निगम,related,word,word,
कंबल,तौलिया,related,word,word,
कभी - कभी,अक्सर,related,word,word,
कभी - कभी,शायद ही कभी,related,word,word,
कभी नहीँ,कभी,related,word,word,
कम,उच्च,related,word,word,
कम,अपर,related,word,word,0.210865965984804
कम,लंबा,related,word,word,
कम समझना,अतिरंजना करना,related,word,word,
कमांडर,कप्तान,related,word,word,
कमीज,जैकेट,related,word,word,
करोड़पति,उद्यमी,related,word,word,
कर्मी दल,समुंद्री जहाज,related,word,word,
कला,साहित्य,related,word,word,
कलाकार,चित्रकार,related,word,word,
कलेक्ट,इकट्ठा करना,related,word,word,
कल्पना,रचनात्मकता,related,word,word,
कल्पित कथा,दंतकथा,related,word,word,
कवि,लेखक,related,word,word,
कष्ट,दर्द,related,word,word,
कसम खाता,क़सम,related,word,word,
और कहीं,कहीं,related,word,word,
कहो,बताओ,related,word,word,
काउंटी,जिला,related,word,word,
कागज़,कलम,related,word,word,
कांच,बोतल,related,word,word,
कानून,संविधान,related,word,word,
रोजगार,काम,related,word,word,
प्लेबॉय,पत्रिका,related,word,word,
कारण,वजह,related,word,word,
कार्बन,हाइड्रोजन,related,word,word,
कार्यशाला,गेराज,related,word,word,
कालोनी,फेडरेशन,related,word,word,
किराये का,किराया,related,word,word,
किराये का,हत्यारा,related,word,word,
किरायेदार,मकान मालिक,related,word,word,
किलो,ग्राम,related,word,word,
किलोमीटर,मीटर,related,word,word,
किशोर का,किशोर,related,word,word,
किसान,मज़दूर,related,word,word,
की जांच,छान - बीन करना,related,word,word,
स्वस्थ होना,ठीक होना,related,word,word,
कीचड़,रेत,related,word,word,
कीड़ा,साँप,related,word,word,
कुछ नहीं,कोई चीज़,related,word,word,
कुत्ता,बिल्ली,related,word,word,
कुलाधिपति,अध्यक्ष,related,word,word,
केंद्र,ध्यान केंद्रित करना,related,word,word,
केबल,वायर,related,word,word,
केबिन,डेक,related,word,word,
केला,स्ट्रॉबेरी,related,word,word,
सरलता से,सरल,related,word,word,
केश,दाढ़ी,related,word,word,
कैथोलिक,ईसाई,related,word,word,
कैप्सूल,जांच,related,word,word,
कैमरा,माइक्रोफ़ोन,related,word,word,
कोकीन,हेरोइन,related,word,word,
कोच,खिलाड़ी,related,word,word,
कोड,पासवर्ड,related,word,word,
कोने,गली,related,word,word,
कोयला,तेल,related,word,word,
कोर्ट,न्यायाधीश,related,word,word,
कोशिश करो,प्रयास,related,word,word,
कोसना,डायन,related,word,word,
क्या,वह,related,word,word,
क्रमागत उन्नति,परिवर्तन,related,word,word,
क्रिसमस,छुट्टी का दिन,related,word,word,
क्रूर,निर्दयी,related,word,word,
क्रोध,तेज़ी,related,word,word,
क्लब,मधुशाला /बार,related,word,word,
क्षमता,योग्यता,related,word,word,
क्षमता,प्रतिभा,related,word,word,
क्षमा करना,क्षमा करें,related,word,word,
क्षेत्रफल,क्षेत्र,related,word,word,
क्षेत्राधिकार,अधिकार,related,word,word,
क्षेत्रीय,स्थानीय,related,word,word,
खजाना,संपत्ति,related,word,word,
खड़ा होना,बैठिये,related,word,word,
खरीदना,बेचना,related,word,word,
खरोंच,चोट,related,word,word,
खाड़ी,बंदरगाह,related,word,word,
खाना,भोजन,related,word,word,
खाली,भरा हुआ,related,word,word,
खांसी,बुखार,related,word,word,
खिड़की,द्वार,related,word,word,
खुराक,इंजेक्शन,related,word,word,
खुला हुआ,बंद करना,related,word,word,
गड्ढा करना,गाड़ना,related,word,word,
गंदा,घिनौना,related,word,word,
गधा,घोड़ा,related,word,word,
गपशप,कांड,related,word,word,
होश में,नशे में,related,word,word,
कब्र,कब्रिस्तान,related,word,word,
गरज,तोड़ना,related,word,word,
गरम,ठंडा,related,word,word,
गरम,सर्दी,related,word,word,
गरीब,धनी,related,word,word,
गरीबी,कष्ट,related,word,word,
गर्मी,सर्दी,related,word,word,
गर्मी,तापमान,related,word,word,
गर्व,जोश में,related,word,word,
गलत,सही,related,word,word,
गला,गर्दन,related,word,word,
गाय,सूअर,related,word,word,
गायक,संगीतकार,related,word,word,
गारंटी,वादा,related,word,word,
गिनती,आंकलन,related,word,word,
गिरना,ढहना,related,word,word,
गिरोह,समूह,related,word,word,
गिलहरी,रैकून,related,word,word,
गुड़िया,खिलौना,related,word,word,
गुनगुनाहट,झंकार,related,word,word,
गुप्त,रहस्य,related,word,word,
गुर्दा,यकृत,related,word,word,
गेलरी,प्रदर्शनी,related,word,word,
गैस,ईंधन,related,word,word,
गोल,चारों तरफ,related,word,word,
कैप्सूल,गोली,related,word,word,
गोल्फ़,टेनिस,related,word,word,
गौरव,गरिमा,related,word,word,
ग्रह,ग्रहकक्ष,related,word,word,
घटना,प्रतिस्पर्धा,related,word,word,
घटना,दुर्घटना,related,word,word,
घटित होना,होना,related,word,word,
घातक,जानलेवा,related,word,word,
घाव,चोट,related,word,word,
घुड़सवार सेना,आर्टिलरी,related,word,word,
घृणा,प्यार,related,word,word,
घृणित,कुरूप,related,word,word,
घोंघा,कछुआ,related,word,word,
घोंसला,अंडा,related,word,word,
छल्ला/घेरा,गले का हार,related,word,word,
चटनी,मेयोनेज़,related,word,word,
चट्टान,पत्थर,related,word,word,
चढना,कूदना,related,word,word,
चमक,चमकदार,related,word,word,
चम्मच,कांटा,related,word,word,
चरित्र,व्यक्तित्व,related,word,word,
चर्च,चैपल,related,word,word,
चलाना,सवारी,related,word,word,
चश्मा,टोपी,related,word,word,
चाचा,पिता,related,word,word,
चांद,रवि,related,word,word,
च्नद्र,सौर,related,word,word,
चापलूसी,प्रभावित करना,related,word,word,
चाभी,लॉक,related,word,word,
खिलाना,खाओ,related,word,word,
चिकित्सा,इलाज,related,word,word,
चिड़ियाघर,सर्कस,related,word,word,
वास्ता,चिंता,related,word,word,
चिंतित,बेचैन,related,word,word,
चित्र,तस्वीर,related,word,word,
चीनी,चॉकलेट,related,word,word,
चुनना,चुनें,related,word,word,
चुप,शांत,related,word,word,
चुंबकीय,बिजली,related,word,word,
चुम्मा,झप्पी,related,word,word,
चोर,अपराधी,related,word,word,
चुराना,लूटना,related,word,word,
चूसना,चाटना,related,word,word,
माउस,चूहा,related,word,word,
चेतावनी,अलार्म,related,word,word,
चेतावनी,संदेश,related,word,word,
चैनल,समाचार,related,word,word,
चैंपियन,योद्धा,related,word,word,
चोरी होना,लूट,related,word,word,
छड़ी,हथौड़ा,related,word,word,
छल,मज़ाक,related,word,word,
छात्र,अध्यापक,related,word,word,
छुट्टी,छोड़ देना,related,word,word,
ज़ंग खाया हुआ,मटमैला,related,word,word,
जंगल,वन,related,word,word,
जंजीर,रस्सी,related,word,word,
भीड़,दर्शक,related,word,word,
जनरेटर,रिएक्टर,related,word,word,
जन्म,गर्भावस्था,related,word,word,
ज़रूरी,ज़रूरत,related,word,word,
ज़हर,वध,related,word,word,
जाँच,जांचना,related,word,word,
जाज,संगीत,related,word,word,
नस्लवादी,साम्यवादी,related,word,word,
जादू,जादूगर,related,word,word,
पशु,जानवर,related,word,word,
जाल,प्रलोभन,related,word,word,
जासूस,गद्दार,related,word,word,
जासूसी,तोड़-फोड़,related,word,word,
ज़िद्दी,स्वार्थी,related,word,word,
ज़िम्मेदारी,कर्तव्य,related,word,word,
जीप,ट्रक,related,word,word,
जीवित,मृत,related,word,word,
जुआ,पोकर,related,word,word,
जून,जुलाई,related,word,word,
जेब,बटुआ,related,word,word,
जोखिम,खतरा,related,word,word,
जोखिम भरा,खतरनाक,related,word,word,
ज़ोंबी,पिशाच,related,word,word,
झंडा,प्रतीक,related,word,word,
झपकी,चहलक़दमी,related,word,word,
झूठ,झूठा,related,word,word,
टकराव,विवाद,related,word,word,
टैटू,चोट का निसान,related,word,word,
टर्मिनल,हवाई अड्डा,related,word,word,
कार्य,मकसद,related,word,word,
टिकट,पासपोर्ट,related,word,word,
टिप्पणी,बयान,related,word,word,
खंड,टुकड़ा,related,word,word,
टुकड़ा,युक्ति,related,word,word,
टूना,लॉबस्टर,related,word,word,
टूर्नामेंट,मैच,related,word,word,
मेज,कुर्सी,related,word,word,
टैंक,यन्त्र,related,word,word,
टैक्सी,लिमोसिन,related,word,word,
टोस्ट,सूअर का मांस,related,word,word,
ट्रेलर,वैन,related,word,word,
ट्रॉफी,पदक,related,word,word,
ठीक,हां,related,word,word,
ठीक करना,मरम्मत,related,word,word,
ठेठ,क्लासिक,related,word,word,
ठोस,इस्पात,related,word,word,
डराना,डरना,related,word,word,
डरावनी,डर,related,word,word,
डाक टिकट,हस्ताक्षर,related,word,word,
डालना,रखना,related,word,word,
डिप्लोमा,स्नातक,related,word,word,
डिब्बा,थैला,related,word,word,
डीएनए,अंगुली की छाप,related,word,word,
डीन,प्रोफ़ेसर,related,word,word,
डीवीडी,वीडियो,related,word,word,
डूबना,तैरना,related,word,word,
डेस्क,कार्यालय,related,word,word,
तकनीकी,यांत्रिक,related,word,word,
तन,लाश,related,word,word,
तनाव,डिप्रेशन,related,word,word,
तंबाकू,सिगरेट,related,word,word,
द्रव,तरल,related,word,word,
तरीका,तकनीक,related,word,word,
तलवार,चाकू,related,word,word,
तलाक,शादी,related,word,word,
तलाशी,पाना,related,word,word,
ताकत,बल,related,word,word,
ताज,सिंहासन,related,word,word,
ताज़ा,ताज़ा करना,related,word,word,
ताबूत,अंतिम संस्कार,related,word,word,
तार,पत्र,related,word,word,
ताल,अंदाज,related,word,word,
तितली,चिड़िया,related,word,word,
तीसरा,चौथा,related,word,word,
तूफान,बवंडर,related,word,word,
उद्यत,तैयार,related,word,word,
तैयारी,योजना,related,word,word,
त्रुटि,गलती,related,word,word,
त्वचा,ऊतक,related,word,word,
थका हुआ,भूखा,related,word,word,
थोड़ा,छोटा,related,word,word,
दक्षिण,उत्तर,related,word,word,
दक्षिण,वेस्टर्न,related,word,word,
दंड,कैद होना,related,word,word,
करुणा,उदार,related,word,word,
दरार,छेद,related,word,word,
आओ,जाओ,related,word,word,
दर्शन,धर्म,related,word,word,
दस लाख,एक अरब,related,word,word,
दस्त,जी मिचलाना,related,word,word,
दाई,नौकरानी,related,word,word,
दादा,दादी मा,related,word,word,
दान पुण्य,दान,related,word,word,
दालचीनी,वनीला,related,word,word,
दास,नौकर,related,word,word,
दिमाग,सेरिब्रल,related,word,word,
दिशा सूचक यंत्र,नक्शा,related,word,word,
दीपक,मोमबत्ती,related,word,word,
दीवार,बाड़,related,word,word,
मिल,दुकान,related,word,word,
दीन,दयनीय,related,word,word,
दुखी,दुखद,related,word,word,
बदकिस्मत,दुर्भाग्य,related,word,word,
दुश्मन,प्रतिद्वंद्वी,related,word,word,
दूत,मंत्री,related,word,word,
दूतावास,मंत्रालय,related,word,word,
दूध,रस,related,word,word,
दूरबीन,माइक्रोस्कोप,related,word,word,
दूरी,गति,related,word,word,
दूल्हा,दुल्हन,related,word,word,
दूषण,विकिरण,related,word,word,
सेकंड,मिनट,related,word,word,
फर्म,एजेंसी,related,word,word,
मजबूती से,दृढ़ता से,related,word,word,
दृश्य,परिप्रेक्ष्य,related,word,word,
देखना,निगरानी,related,word,word,
देखो,मिलना,related,word,word,
देर,शीघ्र,related,word,word,
देवदूत,शैतान,related,word,word,
देश,राष्ट्र,related,word,word,
दो,चार,related,word,word,
दोहरा,तिहरा,related,word,word,
दौड़ना,टहलना,related,word,word,
द्वार,दरवाजा,related,word,word,
धकेलना,खींचना,related,word,word,
नाड़ी,दबाव,related,word,word,
धार्मिक संस्कार,समारोह,related,word,word,
धीरे,तेज़,related,word,word,
धीरे से,जल्दी जल्दी,related,word,word,
धुआं,सिगार,related,word,word,
धैर्य,करुणा,related,word,word,
ध्यान,आकर्षित,related,word,word,
व्यर्थ,बेकार,related,word,word,
नकद,धन,related,word,word,0.417968939884536
नग्न,नंगा,related,word,word,
नतीजा,परिणाम,related,word,word,
नदी,झील,related,word,word,
नमस्ते,अलविदा,related,word,word,
नमूना,प्रोटोटाइप,related,word,word,
नर,नारी,related,word,word,
नर्तकी,नृत्य,related,word,word,
नवंबर,दिसंबर,related,word,word,
नवल,बेड़ा,related,word,word,
नस,मांसपेशी,related,word,word,
नस,धमनी,related,word,word,
नाखून,दांत,related,word,word,
नागरिक,सैन्य,related,word,word,
विकट,राजनीतिक,related,word,word,
नाज़ुक,संवेदनशील,related,word,word,
नाटक,कॉमेडी,related,word,word,
नाटकीय,रोमांच,related,word,word,
नाम,शीर्षक,related,word,word,
नायक,रक्षक,related,word,word,
अल्पाहार,दोपहर का भोजन,related,word,word,
निगलना,चबाने,related,word,word,
निंजा,समुराई,related,word,word,
निजी,गोपनीयता,related,word,word,
नितंब,बट,related,word,word,
नियंत्रण,हेरफेर करना,related,word,word,
नियम,मसविदा बनाना,related,word,word,
निरीक्षक,आयुक्त,related,word,word,
निर्माण,विनाश,related,word,word,
बनावट,निर्माण,related,word,word,
निर्माता,निर्देशक,related,word,word,
निषिद्ध,निषेध,related,word,word,
निष्कर्ष,कल्पना,related,word,word,
निष्ठा,ईमानदारी,related,word,word,
निष्ठावान,वफादार,related,word,word,
निष्पक्ष,तर्कसंगत,related,word,word,
नीचे,ऊपर,related,word,word,
नीति,राजनीतिज्ञ,related,word,word,
नींबु पानी,सोडा,related,word,word,
नीलामी,बिक्री,related,word,word,
नेटवर्क,सिस्टम,related,word,word,
नोबेल,इनाम,related,word,word,
न्यूनतम,ज्यादा से ज्यादा,related,word,word,
पकड़,रखना,related,word,word,
पंचांग,अनुसूची,related,word,word,
पढ़ना,लिखना,related,word,word,
पतला,मोटा,related,word,word,
पति,पत्नी,related,word,word,
पत्रकारिता,राजनीति,related,word,word,
पथ प्रदर्शन,संचार,related,word,word,
पनडुब्बी,नाव,related,word,word,
पंप,नली,related,word,word,
पब,रेस्टोरेंट,related,word,word,
परत,सतह,related,word,word,0.26011684735441
परमाणु,नाभिकीय,related,word,word,
हारनेवाला,विजेता,related,word,word,
परियोजना,कार्यक्रम,related,word,word,
परिवर्तन,सुधार,related,word,word,
परिस्थिति,संकट,related,word,word,
काफ़ी,पर्याप्त,related,word,word,
पश्चिम,पूर्व,related,word,word,
पसंद,विकल्प,related,word,word,
पहचानना,जानता था,related,word,word,
पहले से ही,फिर भी,related,word,word,
पहाड़ी,पहाड़,related,word,word,
पागलपन,मूर्खता,related,word,word,
पाप,अपराध,related,word,word,
पालन ​​करना,पीछा करना,related,word,word,
पास,दूर,related,word,word,
पिकनिक,डेरा डालना,related,word,word,
पिघल,फ्रीज,related,word,word,
पिता,मां,related,word,word,
पियानो,गिटार,related,word,word,
पिरामिड,संरचना,related,word,word,
पिस्तौल,हथियार,related,word,word,
पेय पदार्थ,बीयर,related,word,word,
बूढा,युवा,related,word,word,
पुरुष,मानव,related,word,word,
पुल,सुरंग,related,word,word,
पुष्टीकरण,पुष्टि करना,related,word,word,
पुस्तकालय,संग्रहालय,related,word,word,
पेट,छाती,related,word,word,
पेंशन,वेतन,related,word,word,
पैरानॉयड,पागल,related,word,word,
पॉर्न,चलचित्र,related,word,word,
पोता,भांजा,related,word,word,
पौंड,डॉलर,related,word,word,
पौधा,फूल,related,word,word,
प्रगति,प्रक्रिया,related,word,word,
प्रगति,विकास,related,word,word,
योनि,लिंग,related,word,word,
प्रतिबिंब,आईना,related,word,word,
प्रतिभावान,वैज्ञानिक,related,word,word,
प्रतिरोध,विरोध,related,word,word,
दिखाओ,प्रदर्शन,related,word,word,
प्रपत्र,संकेत,related,word,word,
प्रबंध,प्रशासनिक,related,word,word,
प्रबंधक,मालिक,related,word,word,
प्रतिबन्ध करना,सफल होना,related,word,word,
असर,प्रभाव,related,word,word,
प्रभाव,भावना,related,word,word,
प्रभावशाली,कमाल की,related,word,word,
प्रयोग,परीक्षा,related,word,word,
प्रयोजन,इरादा,related,word,word,
प्रशंसनीय,शानदार,related,word,word,
प्रशंसा,उपहार,related,word,word,
प्रशंसा करना,सराहना,related,word,word,
प्रशासन,सरकार,related,word,word,
प्रश्न,पूछना,related,word,word,
प्रस्ताव,सुझाना,related,word,word,
प्रस्ताव,देना,related,word,word,
प्राकृतिक,कृत्रिम,related,word,word,
प्रारंभिक,समापन,related,word,word,
प्रेरणा,अनुपस्थिति,related,word,word,
प्रेरित करना,प्रेरणा,related,word,word,
प्रोटीन,विटामिन,related,word,word,
प्रोफ़ाइल,विवरण,related,word,word,
प्रौद्योगिकी,विज्ञान,related,word,word,
जोड़,ऋण,related,word,word,
नाटक,खेल,related,word,word,
प्लेग,महामारी,related,word,word,
फ़ाइल,दस्तावेज़,related,word,word,
फायदा,आय,related,word,word,
फांसी,प्राणदण्ड,related,word,word,
कारक,तत्त्व,related,word,word,
फ़ैक्टरी,उत्पादन,related,word,word,
फैशनेबल,सुरुचिपूर्ण,related,word,word,
फोजी,योद्धा,related,word,word,
फोड़ना,विस्फोट,related,word,word,
ट्यूमर,कर्क रोग,related,word,word,
फ़्लू,रोग,related,word,word,
अधिलाभ,इनाम,related,word,word,
बचाव,बचाना,related,word,word,
आय-व्ययक,निधिकरण,related,word,word,
बटन,दबाएँ,related,word,word,
बड़ा,विशाल,related,word,word,
बढ़त,जीत,related,word,word,
बढ़ना,कम करना,related,word,word,
