target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
~에 대한,밖~에 대한,뼈~에 대한,밖,뼈
가게,백화점가게,문화가게,백화점,문화
가게.1,,특권가게,,특권
가격,값가격,화장실가격,값,화장실
가다,입력하다가다,수량가다,입력하다,수량
가득한,비어있는가득한,연설가득한,비어있는,연설
가르치다,배우다가르치다,투기장가르치다,배우다,투기장
가망,가능성가망,성인가망,가능성,성인
가방,상자가방,문화가방,상자,문화
가슴,배가슴,관리하다가슴,배,관리하다
가을,봄가을,사람가을,봄,사람
가족,집안가족,공기가족,집안,공기
가지고 있다,잡고있다가지고 있다,관리가지고 있다,잡고있다,관리
가치 없는,쓸모없는가치 없는,컵가치 없는,쓸모없는,컵
가치 있는,자격이 있는가치 있는,축제가치 있는,자격이 있는,축제
간,신장간,드라마간,신장,드라마
감독,제작자감독,태블릿감독,제작자,태블릿
감사하다,고맙다감사하다,일몰감사하다,고맙다,일몰
감옥,유치장감옥,준비감옥,유치장,준비
감정,인상감정,피크닉감정,인상,피크닉
감정을 상하게 하다,모욕하다감정을 상하게 하다,첫 번째감정을 상하게 하다,모욕하다,첫 번째
감정적 인,정신적 인감정적 인,단다나게감정적 인,정신적 인,단다나게
감탄시키다,아첨하다감탄시키다,척추감탄시키다,아첨하다,척추
갑옷,방패갑옷,잔인한 것갑옷,방패,잔인한 것
갑판,선실갑판,활동적인갑판,선실,활동적인
강도,절도강도,무게강도,절도,무게
강의,세미나강의,초자연의강의,세미나,초자연의
강철,콘크리트강철,연습강철,콘크리트,연습
강하게,단다나게강하게,부검강하게,단다나게,부검
개미,벌개미,좋은개미,벌,좋은
개발,진전개발,쉬다개발,진전,쉬다
개선,변화개선,경비원개선,변화,경비원
개인,사람개인,역겨운개인,사람,역겨운
거대한,큰거대한,열다거대한,큰,열다
거리,길거리,작동하다거리,길,작동하다
거만,무지함거만,사전거만,무지함,사전
거북이,달팽이거북이,진행거북이,달팽이,진행
거울,반사거울,더하기거울,반사,더하기
거짓,가짜거짓,월요일거짓,가짜,월요일
거짓말 쟁이,거짓말하다거짓말 쟁이,출구거짓말 쟁이,거짓말하다,출구
