"he_target","he_cue","type","target_type","cue_type","he_cosine"
"מְכוֹעָר","digusting","related","word","word",NA
"וִידֵאוֹ","dvd","related","word","word",NA
"ווטסון","sherlock","related","word","word",NA
"- אמא","א ב  א","related","word","word",NA
"צהוב","א דו ם","related","word","word",NA
"גברת","א דו ן","related","word","word",NA
"הוֹדָעָה","א זה ר ה","related","word","word",NA
"אֵזוֹר","א זו ר","related","word","word",NA
"מְקוֹמִי","א זו ר י","related","word","word",NA
"צבאי","א זר ח י","related","word","word",NA
"חוֹבָה","א ח ר יו ת","related","word","word",NA
"אָח","א חו ת","related","word","word",NA
"גַרעִינִי","א טו מ י","related","word","word",NA
"מושלם","א יד א ל י","related","word","word",NA
"אִירוֹנִי","א ירו נ י ה","related","word","word",NA
"אַכְזָרִי","א כ ז ר י","related","word","word",NA
"שִׁיר","א לב ו ם","related","word","word",NA
"לוֹחֶם","א לו ף","related","word","word",NA
"אִשָׁה","א למ נ ה","related","word","word",NA
"אַבָּא","א מ א","related","word","word",NA
"מַסוֹק","א מב ו ל נס","related","word","word",NA
"פְּסִיכוֹלוֹגִיָה","א נ טו מ י ה","related","word","word",NA
"קָפִּיטָלִיזם","א נ רכ י ה","related","word","word",NA
"פסל","א נד רט ה","related","word","word",NA
"טַיָס","א סטרו נ או ט","related","word","word",NA
"מוֹרפִין","א ספ  יר ין","related","word","word",NA
"אָבָק","א פ ר","related","word","word",NA
"אמריקה","א פ ר יק ה","related","word","word",NA
"אַמִיץ","א צ יל י","related","word","word",NA
"אֲגוּדָל","א צב  ע","related","word","word",NA
"בייסבול","א צט דיו ן","related","word","word",NA
"נֶשֶׁק","א ק ד ח","related","word","word",NA
"טִירָה","א ר מו ן","related","word","word",NA
"ארוחת בוקר","א רו ח ת ע ר ב","related","word","word",NA
"לֶהָבָה","א ש ","related","word","word",NA
"הֲזָיָה","א ש  ל י ה","related","word","word",NA
"לְאַשֵׁר","א ש ו ר","related","word","word",NA
"אַשׁפָּה","א ש פ  ה","related","word","word",NA
"לְהַלווֹת","א ש ר אי","related","word","word",NA
"מוּטָצִיָה","אבולוציה","related","word","word",NA
"סתָיו","אביב","related","word","word",NA
"דִינָמִיט","אבקת שריפה","related","word","word",NA
"אִישִׁי","אדם","related","word","word",NA
"יָרִיב","או י ב","related","word","word",NA
"אֲנָשִׁים","או כ לו ס י ה","related","word","word",NA
"מעורר רחמים","או מל ל","related","word","word",NA
"מְצִיאוּתִי","או פ ט ימ י","related","word","word",NA
"עוֹשֶׁר","או צ ר","related","word","word",NA
"זִקפָּה","או רג זמ ה","related","word","word",NA
