"hi_cue","hi_target","hi_fake_target","hi_fake_cue","en_cue","en_target"
"carnival","त्यौहार","त्यbill","casiival","carnival","festival"
"radius","परिमाप","परहममद","radito","radius","perimeter"
"अकस्मात","जानबूझ कर","जानबएन०ए०","अकसस हग","accidentally","intentionally"
"अकारण","गैर जिम्मेदार","गैर जधpardhi","अकलईल","unreasonable","irresponsible"
"अकेला","अकेला","अकषमा","अकसरा","alone","lonely"
"अक्षरशः","वास्तव में","वासधpardhi","अक्णड०४","literally","practically"
"अखाड़ा","लड़ाई का मैदान","लड़ाईशaddition","अखाडفي","arena","battlefield"
"अंग्रेज़ी","फ्रांसीसी","फ्धpardhi","अंधpardhi","english","french"
"अचानक से","अप्रत्याशित रूप से","अप्रत्याशaddition","अचाए०एस०","suddenly","unexpectedly"
"अच्छा","खराब","खरपउ","नइ्छा","good","bad"
"अच्छा","सुंदर","ऱखंदर","नइ्छा","nice","lovely"
"अजगर","सिंह","यƨंह","एनएगर","dragon","lion"
"अज्ञान","अभिमान","अभहममद","अजअलइन","ignorance","arrogance"
"अंतरराष्ट्रीय","दुनिया","भफनिया","अंतरराधpardhi","international","world"
"अंतरिक्ष यात्री","पायलट","पावएव","अंतरिकशaddition","astronaut","pilot"
"अति आवश्यक","आपातकालीन","आपातयbill","अति आए०एस०","urgent","emergency"
"अति उत्कृष्ट","महान","महହମ","अति उधpardhi","excellent","great"
"अंतिम","परम","मथम","यउतिम","final","ultimate"
"अतिमानव","बैटमैन","बैअलइन","अतिणड०४","superman","batman"
"अतिरिक्त","अतिरिक्त","अतियbill","अतिष०पर०","extra","additional"
"अत्यंत","बहुत","बहپر","अतणड०४","extremely","very"
"अंदर का","बाहरी","वऊहरी","अंआर०ए०","internal","external"
"अंधा","बहरा","बहपघ","अंरझ","blind","deaf"
"अधिक वज़नदार","भारी","भाzc","अधिक वधpardhi","heavy","heavily"
"अंधेरा","रोशनी","cxशनी","एउधेरा","darkness","light"
"अध्ययन","लिखना","féखना","अध्सस क","reading","writing"
"अनाज","आटा","icा","अनवऊ","grain","flour"
"अनाड़ी","बेवकूफ","बेवupp","अनाडvw","naïve","stupid"
"अनाड़ी","निंदक","hhंदक","अनाडvw","naive","cynical"
"अनाथालय","मठ","एआ","अनाणड०४","orphanage","convent"
"अनाम","अनजान","अनर क","अनफख","anonymous","unknown"
"अनुबंध","समझौता","समसibs","अनणड०४","contract","agreement"
"अनुभव","ज्ञान","ୟଶञान","अनसइक","experience","knowledge"
"अनुभाग","अनुच्छेद","अनुतajay","अनस हग","section","paragraph"
"अनुमति","होने देना","होधpardhi","अनहममद","allow","let"
"अनुमति","अनुमोदन","अनुगढ०२","अनहममद","permission","approval"
"अनुरक्षण","साथ","ठलथ","अनुरतpppp","escort","accompany"
"अनुसंधान","पढाई","पढफइ","अनुष०पर०","research","study"
"अन्याय","अनुचित","अन	जमम","अनगढ०२","injustice","unfair"
"अपमान","कष्ट पहुंचाना","कष्ट धpardhi","अपरएव","insult","offend"
"अपरिवर्तनवादी","उदारवादी","उदातpppp","अपरिवर्शaddition","conservative","liberal"
"अपहरण करना","अपहरण","textहरण","अपहरण धpardhi","kidnap","abduct"
"अफ्रीका","अमेरिका","अमआर०ए०","अफआर०ए०","africa","america"
"अभियान","चुनाव","चुदएव","अभअलइन","campaign","election"
"अभिलेख","रिकॉर्डिंग","रिकधpardhi","अभभ दख","record","recording"
"अभी","जानना","कवनना","वसी","now","know"
"अभी - अभी","हाल ही में","इशअल ही में","अभी  अअभ","just","recently"
"अभ्यास","व्यायाम","व्यbill","अभ	जमम","practice","exercise"
"अराजकता","पूंजीवाद","पूज०म०म०","अराअलइन","anarchy","capitalism"
"अर्थ","महत्त्व","महतअलइन","अरऔन","meaning","importance"
"अलौकिक","असाधारण","असासibs","अलय		क","supernatural","paranormal"
"अवतरण","उड़ान","ह ़ान","textतरण","landing","flight"
"अवलोकन","मूल्यांकन","मूलज०म०म०","अवल	गलम","observation","evaluation"
"अवस्था","अवधि","अवऔज","अवसibs","phase","period"
"अवैध","कानूनी","कानूbv","अवআছ","illegal","legal"
"अव्यवस्था","उलझन","उलमआर","अव्यआई०ड०","chaos","confusion"
"असंभव","आसान","आसतऑ","असयअस","impossible","easy"
"असमर्थता","असमर्थ","असमभ दख","असमरआर०ए०","inability","unable"
"असलियत","कल्पना","कलसस क","असलच०ड०","reality","fantasy"
"असाधारण","उत्कृष्ट","उत्यbill","असा	जमम","exceptional","remarkable"
"असामान्य","अनोखा","अनवरा","असातpppp","unusual","strange"
"असुविधाजनक","अप्रिय","अपहममद","असुवितsunil","uncomfortable","unpleasant"
"अस्पताल","क्लिनिक","क्यbill","अस्य		क","hospital","clinic"
"आंकड़े","जानकारी","जाष०पर०","आंकडढए","data","information"
"आकर्षक","आकर्षक","आकरवupp","आकरस हग","attractive","charming"
"आकर्षण","सुंदरता","सुतpppp","आकरहममद","charm","beauty"
"आकार","लंबाई","यƨबाई","आकठच","size","length"
"आकाश","स्वर्गीय","स्वतajay","आकvc","sky","heavenly"
"आकाशीय विद्युत","बिजली","ढतजली","आकाशीयधpardhi","lightning","thunder"
"आक्रमण","हमला","हमभप","आक्अलइन","invasion","attack"
"आंख","कान","ନରन","ऱखख","eye","ear"
"आखिरकार","अंततः","ञवततः","आखिस हग","finally","eventually"
"आग","ज्योति","ज्योअफ","ef","fire","flame"
"आगमन","प्रस्थान","प्रतajay","एनएमन","arrival","departure"
"आगे बढ़ना","जारी रखें","जाधpardhi","आगेतsunil","proceed","continue"
"आज","बीता हुआ कल","बीताधpardhi","ल१","today","yesterday"
"आजादी","जनतंत्र","जनतच०ड०","उमादी","freedom","democracy"
"आज़ादी से","नि: शुल्क","निधpardhi","आजधpardhi","freely","free"
"आजीविका","प्रतिष्ठा","प्रतsunil","आजआई०ड०","career","reputation"
"आत्मघाती","हत्या","हतरमा","आत्यbill","suicide","murder"
"आत्मा","आत्मा","आतरता","si्मा","soul","spirit"
"आदर करना","आत्मविश्वास","आत्मवयmayur","आदर आई०ड०","respect","confidence"
"आदर्श","उत्तम","उतनऑफ","आदगड०","ideal","perfect"
"आदेश","गण","षठ","आदઆવ","command","order"
"आधा","त्रिमास","त्आर०ए०","अचा","half","quarter"
"आधार","मुख्यालय","मुखएन०ए०","आधउङ","base","headquarters"
"आधिकारिक तौर पर","अधिकारी","अधष०पर०","आधिकारिधpardhi","officially","official"
"आधी रात","दोपहर","दोफएम","आधतajay","midnight","noon"
"आधुनिक","परंपरागत","परंपतajay","आधत एक","modern","traditional"
"आनंद","हर्ष","हरऔस","आनej","pleasure","joy"
"आना","आइए","चदए","अबा","arrive","come"
"आने वाला कल","प्रभात","प्गढ०२","आने धpardhi","tomorrow","morning"
"आपरेशनल","कार्यात्मक","कार्यmayur","आपरेआई०ड०","operational","functional"
"आबादी","लोग","ढतग","हचादी","population","people"
"आभारी","धन्यवाद","धन्च०ड०","नथारी","grateful","thank"
"आम","कर्नल","करकआई","yu","general","colonel"
"आयोग","समिति","समआईि","आयbk","commission","committee"
"आरामदायक","सुखद","नऊखद","आरामष०पर०","comfortable","pleasant"
"आर्थिक रूप से","फाइनेंसिंग","फाइधpardhi","आर्थिधpardhi","financially","financing"
"आलू","टमाटर","टमपएड","बटू","potato","tomato"
"आवरण","छिपाना","छिपाλk","एनएरण","cover","hide"
"आवाज़","लहज़ा","लहसरा","२०ाज़","voice","accent"
"आवृत्ति","संकेत","औशकेत","आवष०पर०","frequency","signal"
"आशा","आस्था","रह्था","पएा","hope","faith"
"आशावादी","वास्तविक","वासआर०ए०","आशए०एस०","optimistic","realistic"
"आश्चर्य","निराशा","चञराशा","आश्एसस०","surprise","disappointment"
"आँसू","कट गया","कट	गलम","उईसू","tear","cut"
"इकाई","विभाजन","विअलइन","इकmx","unit","division"
"इंजीनियर","वास्तुकार","वासयmayur","इंजएन०ए०","engineer","architect"
"इंटरनेट","वेब","हóब","इंटणड०४","internet","web"
"इंतिहान","निरीक्षण","निरएन०ए०","इंतajay","examination","inspection"
"इनकार","स्वीकार करें","स्वीधpardhi","इननओट","refuse","accept"
"इस्तीफा","पदच्युति","पदचतpppp","इसआई०ड०","resignation","dismissal"
"ईर्ष्या","गुस्सा","गुस्لى","ईरतajay","jealous","angry"
"उंगली","अंगूठे","कȧगूठे","એકगली","finger","thumb"
"उच्च श्रेणी का वकील","लेफ्टिनेंट","लेफधpardhi","उच्च श्रयsiddhartha","sergeant","lieutenant"
"उठाईगीरा","फिरौती","फिरौજત","ससएईगीरा","kidnapper","ransom"
"उत्तर","जवाब दे दो","जवाधpardhi","उतवईय","answer","reply"
"उत्तेजित करनेवाला","दिलचस्प","दिलभ दख","उत्तेजितशaddition","exciting","interesting"
"उत्प्रेरक","सक्रिय","सक	जमम","उत्पए०एस०","trigger","activate"
"उद्योग","व्यापार","व्ष०पर०","उदस हग","industry","business"
"उपकरण","लैस","بهस","textकरण","equipment","equip"
"उपनाम","उपनाम","उपठईस","उपकइस","nickname","surname"
"उपयोगी","प्रभावी","प्ष०पर०","उपय		क","useful","effective"
"उपस्थिति","अनुपस्थिति","अनुपयmayur","उपसयbill","presence","absence"
"उफौ","विदेशी","विदेતમ","kmौ","ufo","alien"
"उमंग","जुनून","	बनून","उमrī","enthusiasm","passion"
"उम्मीदवार","मतदाता","मतच०ड०","उम्मतajay","candidate","voter"
"उल्लू बनाना","असत्य","असस क","उल्लधpardhi","fake","FALSE"
"ऊपर","तल","ly","vcर","top","bottom"
