"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
68,"ul","ul-at","at",1,15,"rn-at","rn",15,0,0,1,"calculate","calcrnate"
4,"first_blank","first_blank-hi","hi",1,89,"first_blank-२७","२७",89,0,0,1,"hiv","२७v"
492,"st","st-last_blank","last_blank",1,97,"ra-last_blank","ra",97,0,0,1,"specialist","specialira"
36,"ph","ph-on","on",1,11,"as-on","as",11,0,0,1,"telephone","teleasone"
8,"अक","अक-ेल","ेल",1,1,"अक-षम","षम",1,0,0,1,"अकेला","अकषमा"
388,"टूबर","टूबर-last_blank","last_blank",3,1,"स हग-last_blank","स हग",1,0,0,1,"अक्टूबर","अक्स हग"
276,"्सर","्सर-last_blank","last_blank",2,1,"कइव-last_blank","कइव",1,0,0,1,"अक्सर","अककइव"
487,"बार","बार-last_blank","last_blank",2,1,"डइव-last_blank","डइव",1,0,0,1,"अखबार","अखडइव"
962,"ली की छाप","ली की छाप-last_blank","last_blank",4,1,"शaddition-last_blank","शaddition",1,0,0,5,"अंगुली की छाप","अंगुशaddition"
552,"first_blank","first_blank-अं","अं",1,1,"first_blank-कȧ","कȧ",1,0,0,1,"अंगूठे","कȧगूठे"
855,"ांटिक","ांटिक-last_blank","last_blank",3,1,"ए०एस०-last_blank","ए०एस०",1,0,0,2,"अटलांटिक","अटलए०एस०"
182,"डा","डा-last_blank","last_blank",1,1,"ری-last_blank","ری",1,0,0,1,"अंडा","अंری"
860,"first_blank","first_blank-अं","अं",1,1,"first_blank-ञव","ञव",1,0,0,1,"अंततः","ञवततः"
110,"first_blank","first_blank-अं","अं",1,1,"first_blank-हi","हi",1,0,0,1,"अंतिम","हiतिम"
53," संस्कार"," संस्कार-last_blank","last_blank",5,1,"धpardhi-last_blank","धpardhi",1,0,1,3,"अंतिम संस्कार","अंतिमधpardhi"
929,"ना करना","ना करना-last_blank","last_blank",6,1,"धpardhi-last_blank","धpardhi",1,0,0,1,"अतिरंजना करना","अतिरंजधpardhi"
948,"रिक्त","रिक्त-last_blank","last_blank",3,1,"यbill-last_blank","यbill",1,0,0,2,"अतिरिक्त","अतियbill"
752,"याचार","याचार-last_blank","last_blank",3,1,"यbill-last_blank","यbill",1,0,0,1,"अत्याचार","अत्यbill"
250,"first_blank","first_blank-अं","अं",1,1,"first_blank-छश","छश",1,0,0,1,"अंदाज","छशदाज"
717,"िकार","िकार-last_blank","last_blank",2,1,"	जमम-last_blank","जमम",1,0,0,2,"अधिकार","अध	जमम"
428,"िकारी","िकारी-last_blank","last_blank",2,1,"ष०पर०-last_blank","ष०पर०",1,0,0,2,"अधिकारी","अधष०पर०"
267,"first_blank","first_blank-अं","अं",1,1,"first_blank-ഒര","ഒര",1,0,0,1,"अंधेरा","ഒരधेरा"
42,"यक्ष","यक्ष-last_blank","last_blank",3,1,"सस क-last_blank","सस क",1,0,0,1,"अध्यक्ष","अध्सस क"
337,"यापक","यापक-last_blank","last_blank",3,1,"च०ड०-last_blank","च०ड०",1,0,0,1,"अध्यापक","अध्च०ड०"
14,"जान","जान-last_blank","last_blank",2,1,"र क-last_blank","र क",1,0,0,1,"अनजान","अनर क"
662,"ुकूल","ुकूल-last_blank","last_blank",2,1,"सस क-last_blank","सस क",1,0,0,2,"अनुकूल","अनसस क"
145,"ुचित","ुचित-last_blank","last_blank",2,1,"	जमम-last_blank","जमम",1,0,0,2,"अनुचित","अन	जमम"
816,"च्छेद","च्छेद-last_blank","last_blank",3,1,"तajay-last_blank","तajay",1,0,0,2,"अनुच्छेद","अनुतajay"
377,"स्थिति","स्थिति-last_blank","last_blank",4,1,"यmayur-last_blank","यmayur",1,0,0,2,"अनुपस्थिति","अनुपयmayur"
684,"मोदन","मोदन-last_blank","last_blank",3,1,"गढ०२-last_blank","गढ०२",1,0,0,1,"अनुमोदन","अनुगढ०२"
713,"ुसूची","ुसूची-last_blank","last_blank",2,1,"तpppp-last_blank","तpppp",1,0,0,3,"अनुसूची","अनतpppp"
403,"अन","अन-ोख","ोख",1,1,"अन-वर","वर",1,0,0,1,"अनोखा","अनवरा"
818,"उपस्थिति","उपस्थिति-last_blank","last_blank",7,1,"धpardhi-last_blank","धpardhi",1,0,1,1,"अन्यत्र उपस्थिति","अन्यत्र धpardhi"
951,"वेषक","वेषक-last_blank","last_blank",3,1,"मन०i-last_blank","मन०i",1,0,0,1,"अन्वेषक","अन्मन०i"
691,"first_blank","first_blank-अप","अप",1,341,"first_blank-pa","pa",342,1,0,1,"अपर","paर"
270,"राध","राध-last_blank","last_blank",2,1,"वर०-last_blank","वर०",1,0,0,1,"अपराध","अपवर०"
955,"अप","अप-ह","ह",3,8,"text-ह","text",1,7,2,1,"अपहरण","textहरण"
312,"षा करना","षा करना-last_blank","last_blank",5,1,"धpardhi-last_blank","धpardhi",1,0,0,2,"अपेक्षा करना","अपेक्धpardhi"
765,"शित रूप से","शित रूप से-last_blank","last_blank",8,1,"शaddition-last_blank","शaddition",1,0,1,1,"अप्रत्याशित रूप से","अप्रत्याशaddition"
309,"्रिय","्रिय-last_blank","last_blank",2,1,"हममद-last_blank","हममद",1,0,0,2,"अप्रिय","अपहममद"
725,"का सत्त्व","का सत्त्व-last_blank","last_blank",6,1,"शaddition-last_blank","शaddition",1,0,0,3,"अफ़ीम का सत्त्व","अफ़ीम शaddition"
20,"िनेता","िनेता-last_blank","last_blank",2,1,"एन०ए०-last_blank","एन०ए०",1,0,0,2,"अभिनेता","अभएन०ए०"
843,"िमान","िमान-last_blank","last_blank",2,1,"हममद-last_blank","हममद",1,0,0,1,"अभिमान","अभहममद"
441,"योक्ता","योक्ता-last_blank","last_blank",3,1,"यmayur-last_blank","यmayur",1,0,0,2,"अभियोक्ता","अभियmayur"
405,"ेरिका","ेरिका-last_blank","last_blank",2,1,"आर०ए०-last_blank","आर०ए०",1,0,0,2,"अमेरिका","अमआर०ए०"
131,"विदा","विदा-last_blank","last_blank",2,1,"भ दख-last_blank","भ दख",1,0,0,1,"अलविदा","अलभ दख"
821,"ार्म","ार्म-last_blank","last_blank",2,1,"	गलम-last_blank","गलम",1,0,0,1,"अलार्म","अल	गलम"
31,"first_blank","first_blank-अल","अल",1,325,"first_blank-sa","sa",325,0,0,1,"अल्फा","sa्फा"
702,"धि","धि-last_blank","last_blank",1,1,"औज-last_blank","औज",1,0,0,1,"अवधि","अवऔज"
104,"त्य","त्य-last_blank","last_blank",2,1,"स क-last_blank","स क",1,0,0,1,"असत्य","असस क"
374,"लता","लता-last_blank","last_blank",3,1,"च०ड०-last_blank","च०ड०",1,0,1,1,"असफलता","असफच०ड०"
969,"र्थ","र्थ-last_blank","last_blank",3,1,"भ दख-last_blank","भ दख",1,0,1,1,"असमर्थ","असमभ दख"
302,"ली","ली-last_blank","last_blank",1,1,"ञश-last_blank","ञश",1,0,0,1,"असली","असञश"
959,"धारण","धारण-last_blank","last_blank",3,1,"सibs-last_blank","सibs",1,0,0,1,"असाधारण","असासibs"
17,"first_blank","first_blank-आइ","आइ",1,116,"first_blank-चद","चद",117,1,0,1,"आइए","चदए"
576,"ना","ना-last_blank","last_blank",1,1,"औए-last_blank","औए",1,0,0,1,"आईना","आईऔए"
19,"्षक","्षक-last_blank","last_blank",3,1,"वupp-last_blank","वupp",1,0,1,1,"आकर्षक","आकरवupp"
802,"्षित","्षित-last_blank","last_blank",3,1,"भ दख-last_blank","भ दख",1,0,0,1,"आकर्षित","आकरभ दख"
399,"शगंगा","शगंगा-last_blank","last_blank",3,1,"तajay-last_blank","तajay",1,0,0,2,"आकाशगंगा","आकातajay"
923,"first_blank","first_blank-आट","आट",1,23,"first_blank-ic","ic",23,0,0,1,"आटा","icा"
246,"िश्वास","िश्वास-last_blank","last_blank",5,1,"यmayur-last_blank","यmayur",1,0,0,1,"आत्मविश्वास","आत्मवयmayur"
466,"आत","आत-्म","्म",1,1,"आत-रत","रत",1,0,0,1,"आत्मा","आतरता"
357,"धी","धी-last_blank","last_blank",1,1,"ऊण-last_blank","ऊण",1,0,0,1,"आंधी","आंऊण"
292,"ाधिक","ाधिक-last_blank","last_blank",3,1,"गढ०२-last_blank","गढ०२",1,0,0,1,"आपराधिक","आपरगढ०२"
661,"कालीन","कालीन-last_blank","last_blank",4,1,"यbill-last_blank","यbill",1,0,0,1,"आपातकालीन","आपातयbill"
972,"ौर पर","ौर पर-last_blank","last_blank",4,1,"तajay-last_blank","तajay",1,0,0,1,"आम तौर पर","आम ततajay"
187,"र पर","र पर-last_blank","last_blank",4,1,"आई०ड०-last_blank","आई०ड०",1,0,1,1,"आमतौर पर","आमतौआई०ड०"
566,"आय","आय-last_blank","last_blank",1,2,"ov-last_blank","ov",2,0,0,1,"आय","ov"
617,"ुक्त","ुक्त-last_blank","last_blank",2,1,"स हग-last_blank","स हग",1,0,0,2,"आयुक्त","आयस हग"
59,"ोप","ोप-last_blank","last_blank",1,1,"खझ-last_blank","खझ",1,0,0,1,"आरोप","आरखझ"
753,"्रय","्रय-last_blank","last_blank",2,1,"रओप-last_blank","रओप",1,0,0,1,"आश्रय","आशरओप"
550,"ान","ान-last_blank","last_blank",1,1,"तऑ-last_blank","तऑ",1,0,0,1,"आसान","आसतऑ"
139,"first_blank","first_blank-आस","आस",1,94,"first_blank-रह","रह",94,0,0,1,"आस्था","रह्था"
689,"ा करना","ा करना-last_blank","last_blank",5,1,"तsunil-last_blank","तsunil",1,0,0,1,"इकट्ठा करना","इकट्ठतsunil"
579,"ेक्शन","ेक्शन-last_blank","last_blank",3,1,"ष०पर०-last_blank","ष०पर०",1,0,0,2,"इंजेक्शन","इंजष०पर०"
837,"first_blank","first_blank-इत","इत",1,69,"first_blank-भष","भष",69,0,0,1,"इत्र","भष्र"
134,"ेरिट","ेरिट-last_blank","last_blank",3,1,"गढ०२-last_blank","गढ०२",1,0,0,1,"इनहेरिट","इनहगढ०२"
709,"ाम","ाम-last_blank","last_blank",1,1,"xb-last_blank","xb",1,0,0,1,"इनाम","इनxb"
24,"ेस्टर","ेस्टर-last_blank","last_blank",4,1,"तajay-last_blank","तajay",1,0,0,1,"इन्वेस्टर","इन्वतajay"
527,"ारत","ारत-last_blank","last_blank",2,1,"बइड-last_blank","बइड",1,0,0,1,"इमारत","इमबइड"
770,"इर","इर-ाद","ाद",1,1,"इर-वर","वर",1,0,0,1,"इरादा","इरवरा"
489,"ाज","ाज-last_blank","last_blank",1,1,"ऊष-last_blank","ऊष",1,0,0,1,"इलाज","इलऊष"
575,"्पात","्पात-last_blank","last_blank",2,1,"च०ड०-last_blank","च०ड०",1,0,0,2,"इस्पात","इसच०ड०"
600,"first_blank","first_blank-ईं","ईं",1,1,"first_blank-qf","qf",1,0,0,1,"ईंधन","qfधन"
80,"नदार","नदार-last_blank","last_blank",3,1,"मन०i-last_blank","मन०i",1,0,0,1,"ईमानदार","ईमामन०i"
159,"नदारी","नदारी-last_blank","last_blank",3,1,"ष०पर०-last_blank","ष०पर०",1,0,0,1,"ईमानदारी","ईमाष०पर०"
38,"ाई","ाई-last_blank","last_blank",1,1,"oj-last_blank","oj",1,0,0,1,"ईसाई","ईसoj"
158,"्च","्च-last_blank","last_blank",1,1,"स२-last_blank","स२",1,0,0,1,"उच्च","उचस२"
149,"first_blank","first_blank-उड","उड",1,30,"first_blank-खग","खग",30,0,0,1,"उड़ना","खग़ना"
568,"first_blank","first_blank-उड","उड",1,30,"first_blank-ह ","ह ",30,0,0,1,"उड़ान","ह ़ान"
960,"कृष्ट","कृष्ट-last_blank","last_blank",3,1,"यbill-last_blank","यbill",1,0,0,2,"उत्कृष्ट","उत्यbill"
364,"्तम","्तम-last_blank","last_blank",2,1,"नऑफ-last_blank","नऑफ",1,0,0,1,"उत्तम","उतनऑफ"
320,"्तर","्तर-last_blank","last_blank",2,1,"रओप-last_blank","रओप",1,0,0,1,"उत्तर","उतरओप"
72,"्पाद","्पाद-last_blank","last_blank",2,1,"हममद-last_blank","हममद",1,0,0,1,"उत्पाद","उतहममद"
103,"पादन","पादन-last_blank","last_blank",3,1,"हममद-last_blank","हममद",1,0,0,1,"उत्पादन","उत्हममद"
988,"ार","ार-last_blank","last_blank",1,1,"धस-last_blank","धस",1,0,0,1,"उदार","उदधस"
932,"रवादी","रवादी-last_blank","last_blank",3,1,"तpppp-last_blank","तpppp",1,0,0,2,"उदारवादी","उदातpppp"
977,"्यमी","्यमी-last_blank","last_blank",2,1,"हममद-last_blank","हममद",1,0,0,1,"उद्यमी","उदहममद"
431,"्रह","्रह-last_blank","last_blank",3,1,"	गलम-last_blank","गलम",1,0,1,1,"उपग्रह","उपग	गलम"
865,"देश","देश-last_blank","last_blank",2,1,"तइस-last_blank","तइस",1,0,0,1,"उपदेश","उपतइस"
835,"नाम","नाम-last_blank","last_blank",2,1,"ठईस-last_blank","ठईस",1,0,0,1,"उपनाम","उपठईस"
229,"ुक्त","ुक्त-last_blank","last_blank",3,1,"य		क-last_blank","यक",1,0,0,1,"उपयुक्त","उपयय		क"
16,"योग","योग-last_blank","last_blank",2,1,"मइस-last_blank","मइस",1,0,0,1,"उपयोग","उपमइस"
667,"हार","हार-last_blank","last_blank",2,1,"यइन-last_blank","यइन",1,0,0,1,"उपहार","उपयइन"
452,"झन","झन-last_blank","last_blank",2,8,"मआर-last_blank","मआर",8,0,1,1,"उलझन","उलमआर"
642,"चा","चा-ई","ई",1,1,"टर-ई","टर",1,0,0,1,"ऊंचाई","ऊंटरई"
801,"first_blank","first_blank-ऊत","ऊत",1,9,"first_blank-पञ","पञ",9,0,0,1,"ऊतक","पञक"
541,"first_blank","first_blank-ऊर","ऊर",1,31,"first_blank-नड","नड",31,0,0,1,"ऊर्जा","नड्जा"
220,"ऋण","ऋण-last_blank","last_blank",1,1,"رت-last_blank","رت",1,0,0,1,"ऋण","رت"
173,"first_blank","first_blank-एक ","एक ",2,1,"first_blank-मबई","मबई",1,0,0,1,"एक अरब","मबईअरब"
841," का जानवर"," का जानवर-last_blank","last_blank",9,1,"यsiddhartha-last_blank","यsiddhartha",1,0,2,2,"एक प्रकार का जानवर","एक प्रकारयsiddhartha"
174,"र का वृक्ष","र का वृक्ष-last_blank","last_blank",8,1,"शaddition-last_blank","शaddition",1,0,1,2,"एक प्रकार का वृक्ष","एक प्रकाशaddition"
109,"सी","सी-last_blank","last_blank",1,1,"म३-last_blank","म३",1,0,0,1,"एजेंसी","एजेंम३"
793,"ेनालाईन","ेनालाईन-last_blank","last_blank",4,1,"धpardhi-last_blank","धpardhi",1,0,0,3,"एड्रेनालाईन","एड्रधpardhi"
5,"सीजन","सीजन-last_blank","last_blank",3,1,"गढ०२-last_blank","गढ०२",1,0,0,1,"ऑक्सीजन","ऑक्गढ०२"
908,"रा","रा-last_blank","last_blank",1,1,"अई-last_blank","अई",1,0,0,1,"कचरा","कचअई"
991,"ुए","ुए-last_blank","last_blank",1,1,"भच-last_blank","भच",1,0,0,1,"कछुए","कछभच"
290," गया"," गया-last_blank","last_blank",2,1,"	गलम-last_blank","गलम",1,0,0,1,"कट गया","कट	गलम"
167,"कण","कण-last_blank","last_blank",1,41,"णन-last_blank","णन",43,2,0,1,"कण","णन"
836,"ास","ास-last_blank","last_blank",1,1,"wc-last_blank","wc",1,0,0,1,"कपास","कपwc"
344,"्तान","्तान-last_blank","last_blank",2,1,"अलइन-last_blank","अलइन",1,0,0,1,"कप्तान","कपअलइन"
556,"िस्तान","िस्तान-last_blank","last_blank",4,1,"ज०म०म०-last_blank","ज०म०म०",1,0,0,2,"कब्रिस्तान","कब्रज०म०म०"
183,"first_blank","first_blank-कभ","कभ",1,18,"first_blank-वख","वख",18,0,0,1,"कभी","वखी"
